‘¬∑›,AQI,∑∂Œß,÷ ¡øµ»º∂,PM2.5,PM10,SO2,CO,NO2,O3
2014-12,130,130~130,«·∂»Œ€»æ,99,121,31,1.1,19,59
2015-01,118,58~246,«·∂»Œ€»æ,88,111,23,1.084,33,72
2015-02,101,43~233,«·∂»Œ€»æ,70,92,20,1.221,26,87
2015-03,68,40~145,¡º,45,72,21,0.881,15,88
2015-04,70,36~123,¡º,47,81,16,0.66,18,84
2015-05,51,31~94,¡º,31,47,12,0.416,15,76
2015-06,48,24~71,”≈,28,42,12,0.44,12,83
2015-07,49,27~70,”≈,28,44,13,0.352,16,85
2015-08,45,26~63,”≈,25,44,15,0.313,15,65
2015-09,57,40~91,¡º,28,65,12,0.43,17,42
2015-10,77,23~232,¡º,51,93,12,0.381,21,29
2015-11,142,60~437,«·∂»Œ€»æ,112,154,11,0.727,23,27
2015-12,98,32~234,¡º,66,107,21,1.261,28,47
2016-01,77,32~128,¡º,55,79,11,0.939,22,40
2016-02,60,33~152,¡º,42,54,5,0.9,19,68
2016-03,65,32~110,¡º,40,75,9,0.684,16,61
2016-04,78,35~142,¡º,48,96,12,0.513,20,73
2016-05,64,32~125,¡º,34,70,12,0.423,25,99
2016-06,71,25~140,¡º,33,62,11,0.63,13,80
2016-07,55,32~77,¡º,37,58,12,0.668,27,51
2016-08,62,29~85,¡º,33,73,14,0.823,25,56
2016-09,57,28~87,¡º,33,63,11,1.113,24,72
2016-10,74,35~172,¡º,49,87,10,0.781,27,69
2016-11,104,60~221,«·∂»Œ€»æ,74,127,15,0.873,34,68
2016-12,102,61~217,«·∂»Œ€»æ,75,127,25,1.023,46,58
2017-01,117,54~254,«·∂»Œ€»æ,86,130,29,1.155,41,59
2017-02,77,52~172,¡º,51,87,24,0.857,29,82
2017-03,78,40~134,¡º,52,98,12,0.806,31,88
2017-04,77,37~180,¡º,47,100,15,0.633,29,100
2017-05,74,34~377,¡º,29,85,13,0.371,25,101
2017-06,55,26~97,¡º,27,53,20,0.473,24,90
2017-07,59,38~95,¡º,23,57,11,0.465,26,99
2017-08,51,25~66,¡º,18,54,11,0.529,20,64
2017-09,53,40~68,¡º,19,57,12,0.46,28,68
2017-10,108,35~323,«·∂»Œ€»æ,75,127,14,0.742,39,67
2017-11,111,41~413,«·∂»Œ€»æ,82,105,14,0.84,36,50
2017-12,82,54~172,¡º,56,95,17,0.903,36,46
2018-01,79,51~124,¡º,54,95,12,0.829,35,59
2018-02,83,44~169,¡º,53,93,22,0.761,30,85
2018-03,73,48~153,¡º,43,95,18,0.765,31,104
2018-04,128,71~209,«·∂»Œ€»æ,75,152,16,0.675,29,114
