月份,AQI,范围,质量等级,PM2.5,PM10,SO2,CO,NO2,O3
2013-12,103,103~103,轻度污染,77,109,12,1,31,158
2014-01,73,38~124,良,47,70,5,0.768,15,118
2014-02,34,20~51,优,17,30,2,0.789,13,62
2014-03,38,20~58,优,18,35,2,0.613,12,65
2014-04,35,18~83,优,18,30,1,0.553,10,55
2014-05,29,18~39,优,13,23,1,0.529,11,57
2014-06,31,18~41,优,11,25,2,0.517,15,57
2014-07,26,18~40,优,9,24,2,0.519,15,50
2014-08,26,16~37,优,8,24,2,0.506,14,49
2014-09,33,16~76,优,13,30,2,0.567,16,60
2014-10,60,19~128,良,27,49,2,0.574,13,103
2014-11,42,28~71,优,18,37,2,0.58,13,78
2014-12,48,30~76,优,23,40,2,0.703,16,89
2015-01,60,33~107,良,31,51,2,0.642,21,106
2015-02,50,22~84,良,28,43,2,0.661,11,87
2015-03,37,24~60,优,17,32,2,0.548,9,70
2015-04,43,20~88,优,16,33,2,0.61,12,79
2015-05,33,17~50,优,13,27,3,0.59,10,63
2015-06,26,17~43,优,10,23,3,0.51,11,51
2015-07,35,20~72,优,14,29,4,0.584,16,68
2015-08,28,18~47,优,11,24,3,0.594,13,54
2015-09,32,20~60,优,13,24,4,0.703,14,62
2015-10,54,20~120,良,24,40,3,0.748,19,95
2015-11,35,21~69,优,13,27,3,0.59,9,67
2015-12,42,26~80,优,16,30,3,0.732,13,82
2016-01,39,26~60,优,15,28,3,0.803,17,71
2016-02,46,27~86,优,20,34,5,0.759,12,87
2016-03,45,24~119,优,16,33,3,0.655,15,79
2016-04,34,23~51,优,16,32,2,0.647,12,61
2016-05,33,21~75,优,12,24,3,0.623,10,62
2016-06,31,16~45,优,8,20,3,0.587,12,61
2016-07,24,15~30,优,9,22,3,0.552,9,46
2016-08,30,23~42,优,11,27,3,0.532,13,55
2016-09,34,15~75,优,12,26,4,0.607,12,64
2016-10,36,17~72,优,13,28,3,0.629,13,69
2016-11,37,17~64,优,12,26,2,0.597,12,71
2016-12,50,35~103,良,20,39,3,0.677,13,95
2017-01,42,29~58,优,17,31,3,0.594,11,83
2017-02,44,22~75,优,17,28,3,0.632,9,84
2017-03,43,26~95,优,20,38,2,0.581,11,76
2017-04,42,24~89,优,15,29,2,0.57,10,79
2017-05,35,19~82,优,11,23,2,0.552,11,67
2017-06,30,18~38,优,10,21,2,0.523,11,57
2017-07,26,15~38,优,9,18,3,0.51,11,51
2017-08,24,16~36,优,9,20,3,0.474,11,46
2017-09,26,15~41,优,12,24,3,0.527,13,46
2017-10,52,15~129,良,22,35,4,0.619,13,91
2017-11,43,19~101,优,16,29,2,0.66,14,79
2017-12,50,28~79,良,24,40,3,0.648,14,95
2018-01,36,20~69,优,15,30,2,0.616,13,69
2018-02,45,22~75,优,25,39,3,0.671,12,79
2018-03,42,20~89,优,18,33,3,0.558,10,77
2018-04,48,35~85,优,19,40,2,0.575,11,93
