月份,AQI,范围,质量等级,PM2.5,PM10,SO2,CO,NO2,O3
2014-12,84,84~84,良,63,96,43,2.1,55,23
2015-01,63,23~110,良,45,69,40,1.606,37,48
2015-02,62,21~108,良,45,61,24,1.696,23,47
2015-03,44,18~81,优,28,44,16,1.348,20,44
2015-04,54,16~108,良,33,62,20,1.353,28,66
2015-05,44,16~61,优,24,43,11,1.387,26,51
2015-06,49,30~61,优,23,52,15,1.187,25,58
2015-07,45,20~72,优,22,48,14,1.123,24,56
2015-08,46,24~74,优,23,48,13,1.194,24,65
2015-09,49,25~72,优,26,52,13,1.16,26,64
2015-10,53,22~70,良,31,59,19,1.052,33,63
2015-11,45,23~63,优,25,46,21,1.117,26,38
2015-12,45,22~73,优,26,44,22,1.119,27,36
2016-01,49,22~105,优,30,46,22,1.471,28,34
2016-02,49,24~83,优,30,51,13,1.176,22,59
2016-03,59,25~145,良,37,60,17,1.319,35,67
2016-04,53,32~80,良,29,52,18,1.58,34,63
2016-05,49,32~79,优,26,49,15,1.365,31,71
2016-06,48,35~75,优,20,44,15,1.29,28,75
2016-07,47,28~98,优,22,42,13,1.316,23,77
2016-08,47,26~80,优,21,40,13,1.039,20,86
2016-09,46,20~74,优,23,40,13,1.14,21,80
2016-10,34,19~55,优,17,32,11,0.961,21,45
2016-11,45,20~73,优,25,47,13,1.157,29,39
2016-12,60,25~107,良,40,64,17,1.294,37,50
2017-01,52,29~104,良,34,52,17,1.274,27,51
2017-02,48,22~75,优,29,46,16,1.004,29,79
2017-03,49,27~80,优,26,47,17,1.094,31,67
2017-04,59,25~92,良,27,49,15,1.29,35,93
2017-05,60,30~139,良,24,44,13,1.232,32,105
2017-06,39,27~59,优,16,33,9,1.153,22,61
2017-07,47,24~93,优,19,38,11,0.923,20,87
2017-08,50,26~75,优,22,39,11,1.068,23,92
2017-09,57,35~103,良,27,44,13,0.977,22,103
2017-10,52,30~83,良,28,44,11,0.861,24,96
2017-11,49,18~85,优,31,46,12,0.87,27,70
2017-12,59,20~90,良,40,56,13,0.977,36,74
2018-01,50,22~94,优,31,46,13,1.029,34,61
2018-02,53,23~183,良,35,48,14,0.964,25,74
2018-03,56,28~80,良,30,50,14,1.19,32,88
2018-04,70,41~94,良,43,73,15,1.275,30,116
