‘¬∑›,AQI,∑∂Œß,÷ ¡øµ»º∂,PM2.5,PM10,SO2,CO,NO2,O3
2013-05,93,32~276,¡º,0,72,18,1.258,20,0
2013-06,98,40~260,¡º,0,108,44,1.273,24,0
2013-07,90,45~139,¡º,0,82,33,1.297,17,0
2013-08,122,39~185,«·∂»Œ€»æ,0,63,52,1.168,19,165
2013-09,102,35~150,«·∂»Œ€»æ,0,96,56,2.031,33,100
2013-10,133,48~355,«·∂»Œ€»æ,37,177,78,1.165,50,114
2013-11,137,49~286,«·∂»Œ€»æ,96,163,77,1.817,44,59
2013-12,185,55~427,÷–∂»Œ€»æ,146,204,152,2.726,71,36
2014-01,159,61~357,÷–∂»Œ€»æ,120,175,126,2.368,59,39
2014-02,181,26~378,÷–∂»Œ€»æ,139,169,112,2.243,48,49
2014-03,119,70~216,«·∂»Œ€»æ,77,149,69,1.535,43,97
2014-04,100,52~183,¡º,64,104,47,1.667,37,99
2014-05,99,41~152,¡º,56,133,33,1.194,28,97
2014-06,116,55~217,«·∂»Œ€»æ,68,116,42,1.46,26,158
2014-07,96,39~176,¡º,53,96,27,0.977,24,150
2014-08,83,38~136,¡º,53,100,23,0.868,27,116
2014-09,71,27~133,¡º,46,85,20,0.933,26,50
2014-10,95,43~198,¡º,63,119,35,1.242,39,49
2014-11,139,42~293,«·∂»Œ€»æ,101,160,45,1.74,52,42
2014-12,98,46~221,¡º,66,100,92,1.823,62,35
2015-01,150,62~362,÷–∂»Œ€»æ,112,186,86,1.765,64,38
2015-02,138,70~220,«·∂»Œ€»æ,95,191,73,1.257,44,73
2015-03,132,64~240,«·∂»Œ€»æ,90,182,56,1.39,49,86
2015-04,94,42~173,¡º,56,130,43,1.29,41,98
2015-05,91,56~168,¡º,58,118,39,1.09,34,116
2015-06,89,49~121,¡º,54,98,27,1.1,28,128
2015-07,95,63~155,¡º,60,98,22,1.026,25,136
2015-08,94,39~155,¡º,54,95,24,1.177,28,131
2015-09,66,36~100,¡º,37,71,29,1.089,29,101
2015-10,95,47~222,¡º,60,104,41,1.481,47,83
2015-11,101,44~198,«·∂»Œ€»æ,71,111,52,1.937,49,42
2015-12,183,52~414,÷–∂»Œ€»æ,142,211,68,2.716,60,37
2016-01,171,56~434,÷–∂»Œ€»æ,132,202,73,2.945,59,49
2016-02,111,48~269,«·∂»Œ€»æ,68,149,52,2.231,36,80
2016-03,143,56~500,«·∂»Œ€»æ,77,206,49,1.794,43,104
2016-04,101,60~154,«·∂»Œ€»æ,59,144,35,1.813,39,122
2016-05,97,50~152,¡º,45,103,29,1.303,35,139
2016-06,98,67~156,¡º,41,83,24,1.297,31,156
2016-07,88,36~148,¡º,42,70,14,0.929,21,137
2016-08,80,40~102,¡º,47,74,16,1.019,20,130
2016-09,87,57~149,¡º,54,92,20,1.103,38,118
2016-10,66,28~129,¡º,41,75,21,0.897,35,70
2016-11,127,39~206,«·∂»Œ€»æ,88,170,28,1.46,50,48
2016-12,148,56~363,«·∂»Œ€»æ,111,173,33,2.019,54,44
2017-01,159,58~389,÷–∂»Œ€»æ,119,187,40,2.074,54,56
2017-02,127,45~257,«·∂»Œ€»æ,90,138,38,1.621,50,81
2017-03,104,53~200,«·∂»Œ€»æ,70,106,28,1.187,51,88
2017-04,92,44~283,¡º,50,103,18,1.103,42,113
2017-05,124,47~500,«·∂»Œ€»æ,47,128,19,0.971,41,148
2017-06,112,50~174,«·∂»Œ€»æ,41,79,14,0.92,30,171
2017-07,115,52~185,«·∂»Œ€»æ,45,83,10,0.874,23,172
2017-08,85,34~137,¡º,41,75,13,0.839,26,136
2017-09,73,37~122,¡º,42,84,16,0.887,34,106
2017-10,71,31~125,¡º,47,82,15,1.023,37,55
2017-11,108,66~225,«·∂»Œ€»æ,76,127,22,1.17,52,50
2017-12,119,51~283,«·∂»Œ€»æ,82,137,28,1.368,54,46
2018-01,146,42~341,«·∂»Œ€»æ,111,146,27,1.458,47,57
2018-02,110,45~350,«·∂»Œ€»æ,70,128,26,1.289,39,87
2018-03,120,66~285,«·∂»Œ€»æ,87,131,17,1.113,42,109
2018-04,121,82~165,«·∂»Œ€»æ,47,191,14,0.863,46,110
