‘¬∑›,AQI,∑∂Œß,÷ ¡øµ»º∂,PM2.5,PM10,SO2,CO,NO2,O3
2014-12,89,89~89,¡º,66,107,132,0.9,27,86
2015-01,74,32~153,¡º,55,80,80,0.919,40,64
2015-02,65,24~106,¡º,46,65,28,0.821,28,73
2015-03,46,22~73,”≈,30,45,39,0.774,28,68
2015-04,71,28~112,¡º,50,75,67,0.877,31,85
2015-05,76,41~119,¡º,51,70,56,0.629,22,105
2015-06,54,27~79,¡º,38,51,52,0.47,21,76
2015-07,55,28~96,¡º,35,44,33,0.394,15,90
2015-08,61,30~100,¡º,41,60,48,0.429,19,97
2015-09,62,36~113,¡º,34,60,42,0.337,25,97
2015-10,79,39~114,¡º,56,90,38,0.448,35,89
2015-11,58,29~99,¡º,40,63,22,0.643,34,36
2015-12,66,40~93,¡º,39,75,34,0.713,44,41
2016-01,71,42~127,¡º,42,83,36,0.735,46,41
2016-02,81,35~292,¡º,54,99,25,0.555,27,95
2016-03,78,41~115,¡º,47,77,45,0.677,41,113
2016-04,60,36~100,¡º,36,45,35,0.443,30,95
2016-05,62,31~155,¡º,33,46,32,0.503,24,103
2016-06,56,23~102,¡º,32,48,34,0.77,24,97
2016-07,55,37~117,¡º,29,46,34,0.742,19,96
2016-08,65,38~107,¡º,33,52,26,0.861,18,113
2016-09,75,23~148,¡º,39,68,35,0.913,27,116
2016-10,61,30~87,¡º,36,65,13,0.813,30,86
2016-11,69,32~107,¡º,46,85,24,1.063,38,55
2016-12,92,39~163,¡º,66,123,53,1.103,49,69
2017-01,91,47~221,¡º,65,109,36,1.329,39,65
2017-02,75,37~100,¡º,53,89,25,1.254,32,81
2017-03,65,42~120,¡º,41,72,29,0.968,40,80
2017-04,79,36~134,¡º,43,82,43,1.01,37,117
2017-05,100,39~159,«·∂»Œ€»æ,46,76,37,0.913,26,153
2017-06,47,29~80,”≈,27,43,16,0.923,20,76
2017-07,59,35~130,¡º,30,56,30,0.906,18,91
2017-08,51,29~63,¡º,30,53,41,0.997,17,83
2017-09,65,38~114,¡º,42,69,33,1.067,20,98
2017-10,65,30~111,¡º,43,70,32,1.087,25,94
2017-11,72,33~120,¡º,51,81,38,1.127,41,52
2017-12,88,28~122,¡º,65,113,57,1.184,45,49
2018-01,71,28~125,¡º,49,85,45,1.181,39,38
2018-02,73,28~190,¡º,51,86,20,1.096,22,64
2018-03,59,28~87,¡º,37,69,24,1.019,29,66
2018-04,63,46~91,¡º,34,76,19,0.825,17,83
