‘¬∑›,AQI,∑∂Œß,÷ ¡øµ»º∂,PM2.5,PM10,SO2,CO,NO2,O3
2013-12,157,56~345,÷–∂»Œ€»æ,121,194,132,1.497,73,42
2014-01,162,44~347,÷–∂»Œ€»æ,124,204,117,1.716,62,48
2014-02,113,36~260,«·∂»Œ€»æ,81,130,80,1.268,39,81
2014-03,145,67~267,«·∂»Œ€»æ,102,207,90,1.452,64,112
2014-04,112,60~188,«·∂»Œ€»æ,66,159,69,1.073,47,147
2014-05,127,67~203,«·∂»Œ€»æ,64,171,72,1.032,40,174
2014-06,118,60~176,«·∂»Œ€»æ,55,110,46,0.973,27,173
2014-07,135,60~202,«·∂»Œ€»æ,64,129,58,1.197,34,196
2014-08,129,40~201,«·∂»Œ€»æ,61,117,57,1.277,37,189
2014-09,99,41~177,¡º,55,109,54,1.167,39,143
2014-10,94,43~208,¡º,64,122,52,1.284,49,113
2014-11,136,42~267,«·∂»Œ€»æ,100,159,72,1.6,64,63
2014-12,128,47~321,«·∂»Œ€»æ,93,152,96,1.535,59,42
2015-01,122,41~272,«·∂»Œ€»æ,91,136,86,1.587,54,47
2015-02,110,37~200,«·∂»Œ€»æ,78,130,69,1.425,41,67
2015-03,133,49~446,«·∂»Œ€»æ,84,184,69,1.21,48,94
2015-04,109,52~163,«·∂»Œ€»æ,72,144,49,0.95,35,132
2015-05,104,50~198,«·∂»Œ€»æ,62,127,49,0.877,31,153
2015-06,121,63~192,«·∂»Œ€»æ,57,111,47,0.897,27,180
2015-07,104,53~182,«·∂»Œ€»æ,62,107,41,0.868,22,159
2015-08,107,56~170,«·∂»Œ€»æ,59,100,41,0.948,26,164
2015-09,93,48~202,¡º,49,94,32,0.933,32,145
2015-10,124,47~229,«·∂»Œ€»æ,89,157,44,1.3,53,114
2015-11,120,29~343,«·∂»Œ€»æ,91,126,39,1.443,42,57
2015-12,196,38~408,÷–∂»Œ€»æ,157,211,75,1.919,67,37
2016-01,124,41~292,«·∂»Œ€»æ,92,135,65,1.361,52,47
2016-02,88,36~168,¡º,62,104,60,1.052,42,74
2016-03,113,51~208,«·∂»Œ€»æ,74,157,57,1.1,51,113
2016-04,119,56~368,«·∂»Œ€»æ,66,169,50,0.91,39,143
2016-05,106,55~201,«·∂»Œ€»æ,53,115,46,0.913,37,157
2016-06,118,75~198,«·∂»Œ€»æ,47,92,45,1.053,29,178
2016-07,93,49~175,¡º,43,82,34,1.01,21,147
2016-08,80,37~167,¡º,32,69,27,1.01,25,126
2016-09,95,44~190,¡º,52,102,34,1.093,32,149
2016-10,89,43~206,¡º,59,109,35,1.11,39,105
2016-11,114,36~207,«·∂»Œ€»æ,83,146,53,1.45,54,64
2016-12,142,40~258,«·∂»Œ€»æ,107,164,67,1.948,55,48
2017-01,129,38~335,«·∂»Œ€»æ,96,147,55,1.81,46,57
2017-02,118,41~238,«·∂»Œ€»æ,83,129,57,1.254,43,78
2017-03,97,53~196,¡º,67,122,56,1.184,41,106
2017-04,98,61~150,¡º,59,132,52,1.15,32,136
2017-05,128,62~208,«·∂»Œ€»æ,55,133,52,0.913,28,173
2017-06,129,65~202,«·∂»Œ€»æ,46,107,30,0.937,28,186
2017-07,94,49~164,¡º,39,79,21,0.952,22,147
2017-08,74,36~148,¡º,29,61,15,0.735,21,125
2017-09,95,37~155,¡º,43,96,22,0.867,36,147
2017-10,86,29~173,¡º,55,102,25,1.055,45,94
2017-11,89,44~163,¡º,52,121,32,0.967,51,64
2017-12,106,44~245,«·∂»Œ€»æ,72,136,43,1.206,52,50
2018-01,105,34~275,«·∂»Œ€»æ,72,133,36,1.274,47,49
2018-02,94,46~170,¡º,61,116,33,0.989,32,80
2018-03,98,47~202,¡º,65,123,25,0.926,37,121
2018-04,91,50~147,¡º,48,128,18,0.688,27,123
