‘¬∑›,AQI,∑∂Œß,÷ ¡øµ»º∂,PM2.5,PM10,SO2,CO,NO2,O3
2014-12,137,137~137,«·∂»Œ€»æ,104,160,54,1.2,35,56
2015-01,110,47~252,«·∂»Œ€»æ,76,126,58,0.753,24,53
2015-02,105,54~205,«·∂»Œ€»æ,61,137,34,0.644,14,64
2015-03,104,49~421,«·∂»Œ€»æ,51,147,31,0.829,16,72
2015-04,95,47~294,¡º,44,136,12,1.433,14,71
2015-05,85,51~214,¡º,44,109,10,1.329,12,93
2015-06,88,53~177,¡º,35,101,10,0.673,13,118
2015-07,87,70~131,¡º,28,65,12,1.052,16,141
2015-08,84,54~122,¡º,31,67,13,0.955,17,137
2015-09,68,47~125,¡º,31,61,8,0.673,18,109
2015-10,79,40~240,¡º,48,100,22,0.645,25,97
2015-11,89,31~142,¡º,59,102,67,0.973,31,60
2015-12,94,32~212,¡º,63,93,71,1.123,30,62
2016-01,91,52~185,¡º,57,89,84,0.839,25,58
2016-02,113,34~464,«·∂»Œ€»æ,57,145,54,0.662,17,59
2016-03,98,46~373,¡º,57,127,49,0.635,20,74
2016-04,76,53~165,¡º,39,96,17,0.557,18,92
2016-05,95,60~200,¡º,37,97,8,0.671,14,138
2016-06,82,55~130,¡º,33,76,14,0.537,17,128
2016-07,78,49~112,¡º,25,61,8,0.616,16,129
2016-08,76,36~192,¡º,28,61,7,0.629,14,125
2016-09,72,48~115,¡º,34,64,12,0.65,23,117
2016-10,78,37~417,¡º,39,97,16,0.787,23,79
2016-11,120,48~500,«·∂»Œ€»æ,66,175,41,1.063,30,52
2016-12,100,57~218,¡º,68,122,55,1.377,35,45
2017-01,101,30~500,«·∂»Œ€»æ,57,134,56,1.135,27,45
2017-02,94,35~166,¡º,55,121,51,1,27,73
2017-03,75,46~206,¡º,40,90,35,0.752,23,99
2017-04,104,59~500,«·∂»Œ€»æ,34,106,15,0.547,19,141
2017-05,136,58~500,«·∂»Œ€»æ,58,162,14,0.626,19,128
2017-06,93,72~128,¡º,27,81,13,0.653,21,144
2017-07,96,64~154,¡º,25,84,11,0.648,18,147
2017-08,79,34~134,¡º,19,62,11,0.681,24,130
2017-09,72,51~115,¡º,29,91,13,0.703,31,101
2017-10,72,33~114,¡º,38,94,17,0.848,33,78
2017-11,81,42~116,¡º,42,111,28,0.94,36,68
2017-12,104,39~500,«·∂»Œ€»æ,50,154,26,1.052,35,72
2018-01,82,52~136,¡º,45,107,25,0.9,28,70
2018-02,92,50~500,¡º,44,128,23,0.911,25,94
2018-03,130,62~455,«·∂»Œ€»æ,57,194,22,0.768,27,114
2018-04,205,70~500,÷ÿ∂»Œ€»æ,66,300,16,0.675,21,114
