‘¬∑›,AQI,∑∂Œß,÷ ¡øµ»º∂,PM2.5,PM10,SO2,CO,NO2,O3
2013-12,114,19~178,«·∂»Œ€»æ,86,114,42,1.423,63,66
2014-01,95,52~172,¡º,70,101,35,1.277,54,99
2014-02,58,19~152,¡º,40,55,25,1.264,35,62
2014-03,63,28~119,¡º,44,65,23,1.455,38,59
2014-04,62,34~143,¡º,35,48,14,1.29,31,93
2014-05,35,17~79,”≈,19,27,8,0.9,18,57
2014-06,54,23~195,¡º,23,36,8,0.763,15,92
2014-07,54,17~144,¡º,21,32,11,0.765,16,94
2014-08,39,14~109,”≈,14,24,13,0.871,13,73
2014-09,70,22~152,¡º,29,43,17,1.073,21,116
2014-10,87,43~127,¡º,52,77,21,1.323,33,132
2014-11,67,34~102,¡º,47,72,23,1.093,33,58
2014-12,83,20~130,¡º,61,90,22,1.323,38,50
2015-01,72,25~134,¡º,52,80,18,1.51,41,63
2015-02,74,17~149,¡º,54,73,13,1.325,37,61
2015-03,48,23~76,”≈,32,50,12,1.074,32,43
2015-04,54,21~111,¡º,28,44,11,0.873,23,85
2015-05,33,16~115,”≈,15,24,9,0.897,16,60
2015-06,26,19~40,”≈,10,20,9,0.727,11,51
2015-07,49,21~125,”≈,19,32,6,0.852,18,87
2015-08,61,22~171,¡º,26,39,9,0.958,22,99
2015-09,68,27~162,¡º,31,44,10,0.923,22,109
2015-10,75,23~148,¡º,46,64,15,0.984,37,113
2015-11,62,28~115,¡º,42,59,11,1.143,40,76
2015-12,60,38~124,¡º,37,60,14,1.468,41,40
2016-01,55,29~87,¡º,33,53,13,1.223,41,38
2016-02,51,23~94,¡º,28,49,10,1.041,34,54
2016-03,68,37~124,¡º,36,57,12,1.032,51,61
2016-04,49,27~120,”≈,30,40,8,1.097,25,65
2016-05,53,23~155,¡º,24,35,8,0.858,20,91
2016-06,34,25~52,”≈,12,23,7,0.687,16,65
2016-07,52,20~146,¡º,16,29,8,0.748,19,89
2016-08,80,27~163,¡º,26,39,8,0.897,26,127
2016-09,80,25~156,¡º,29,43,12,0.86,31,122
2016-10,60,24~110,¡º,30,44,15,0.858,31,96
2016-11,64,28~156,¡º,37,54,15,0.917,41,79
2016-12,87,37~134,¡º,57,82,19,1.081,68,93
2017-01,80,42~125,¡º,53,69,12,1.097,49,87
2017-02,68,43~131,¡º,43,55,11,0.811,39,97
2017-03,66,35~109,¡º,39,60,11,0.877,47,66
2017-04,68,28~158,¡º,28,46,8,0.803,32,91
2017-05,89,22~202,¡º,31,47,10,0.787,28,134
2017-06,32,21~55,”≈,11,22,6,0.643,13,61
2017-07,52,21~204,¡º,15,28,8,0.677,23,77
2017-08,57,21~203,¡º,17,31,8,0.694,18,95
2017-09,83,24~206,¡º,26,42,10,0.793,24,128
2017-10,91,31~188,¡º,34,53,13,0.861,36,141
2017-11,77,44~126,¡º,46,69,12,1.04,56,82
2017-12,88,42~140,¡º,60,82,16,0.984,65,99
2018-01,80,38~145,¡º,51,70,12,1.006,60,68
2018-02,62,23~102,¡º,42,54,9,0.7,37,76
2018-03,59,26~100,¡º,29,47,10,0.671,34,97
2018-04,70,38~97,¡º,29,65,11,0.588,24,111
