‘¬∑›,AQI,∑∂Œß,÷ ¡øµ»º∂,PM2.5,PM10,SO2,CO,NO2,O3
2013-12,198,198~198,÷–∂»Œ€»æ,148,121,25,1,41,94
2014-01,157,59~486,÷–∂»Œ€»æ,124,170,23,1.235,37,85
2014-02,94,36~253,¡º,68,93,11,1.136,31,76
2014-03,95,47~212,¡º,67,121,16,0.79,35,92
2014-04,93,42~152,¡º,66,120,12,0.8,37,94
2014-05,93,58~153,¡º,63,124,14,0.781,31,105
2014-06,85,44~146,¡º,58,101,10,0.793,24,104
2014-07,68,38~107,¡º,39,78,9,0.7,22,99
2014-08,60,29~109,¡º,39,65,11,0.871,19,96
2014-09,82,35~180,¡º,45,71,12,0.883,21,118
2014-10,115,44~185,«·∂»Œ€»æ,56,98,16,0.884,22,165
2014-11,89,36~166,¡º,64,113,21,1.08,40,79
2014-12,94,60~119,¡º,66,121,28,0.894,56,110
2015-01,120,57~256,«·∂»Œ€»æ,87,134,22,1.139,47,128
2015-02,89,27~187,¡º,65,102,12,0.925,22,57
2015-03,73,36~121,¡º,48,89,12,0.848,23,39
2015-04,71,28~118,¡º,45,91,13,0.79,23,55
2015-05,89,43~171,¡º,54,110,12,0.826,25,103
2015-06,69,47~113,¡º,33,76,8,0.793,24,108
2015-07,65,28~135,¡º,31,69,8,0.689,20,106
2015-08,75,42~124,¡º,35,76,10,0.707,22,125
2015-09,82,45~130,¡º,40,76,10,0.8,27,136
2015-10,80,51~117,¡º,48,100,13,0.819,33,124
2015-11,64,33~99,¡º,38,71,12,1.04,41,81
2015-12,101,60~222,«·∂»Œ€»æ,71,128,15,1.2,52,92
2016-01,93,51~189,¡º,63,108,12,1.081,53,88
2016-02,82,44~158,¡º,55,102,9,0.69,37,93
2016-03,96,48~224,¡º,65,133,10,0.832,47,103
2016-04,79,51~175,¡º,46,93,6,0.76,36,100
2016-05,68,44~96,¡º,38,78,5,0.787,28,100
2016-06,60,30~99,¡º,31,66,5,0.7,27,86
2016-07,47,31~82,”≈,25,49,6,0.603,20,58
2016-08,51,40~69,¡º,28,49,4,0.661,23,85
2016-09,66,21~280,¡º,34,60,52,0.66,17,93
2016-10,134,29~287,«·∂»Œ€»æ,35,67,484,0.771,16,64
2016-11,67,20~124,¡º,45,79,7,0.893,24,39
2016-12,85,36~142,¡º,60,101,13,0.948,32,45
2017-01,86,40~195,¡º,60,93,8,0.971,32,57
2017-02,77,26~124,¡º,55,86,11,0.839,24,50
2017-03,71,28~133,¡º,47,85,13,0.655,29,49
2017-04,70,34~133,¡º,45,87,16,0.803,25,68
2017-05,65,37~108,¡º,40,79,15,0.729,25,76
2017-06,52,25~92,¡º,30,56,14,0.65,22,58
2017-07,51,26~132,¡º,22,43,11,0.613,14,77
2017-08,48,30~82,”≈,20,38,12,0.635,17,90
2017-09,69,28~115,¡º,33,58,10,0.7,20,107
2017-10,62,33~109,¡º,35,67,10,0.69,23,93
2017-11,77,37~124,¡º,50,95,10,0.79,35,83
2017-12,91,64~160,¡º,63,116,12,0.984,46,62
2018-01,88,43~182,¡º,61,92,12,0.974,45,64
2018-02,74,32~149,¡º,49,87,10,0.793,21,84
2018-03,66,32~115,¡º,38,71,10,0.706,26,107
2018-04,73,60~92,¡º,35,78,10,0.738,22,107
