‘¬∑›,AQI,∑∂Œß,÷ ¡øµ»º∂,PM2.5,PM10,SO2,CO,NO2,O3
2013-12,127,22~486,«·∂»Œ€»æ,100,99,55,4.014,23,37
2014-01,114,33~251,«·∂»Œ€»æ,85,125,76,3.445,24,47
2014-02,84,30~148,¡º,60,95,40,2.607,25,40
2014-03,89,48~135,¡º,61,111,48,2.674,32,67
2014-04,100,49~203,«·∂»Œ€»æ,71,122,47,2.977,37,88
2014-05,94,46~149,¡º,65,121,55,2.255,35,76
2014-06,86,43~161,¡º,62,95,44,2.027,35,74
2014-07,78,32~154,¡º,56,78,51,1.448,31,96
2014-08,68,21~173,¡º,48,69,33,1.994,26,67
2014-09,56,21~83,¡º,39,58,24,2.1,29,46
2014-10,90,26~132,¡º,66,105,47,2.261,43,47
2014-11,100,33~279,¡º,73,90,115,2.197,37,45
2014-12,81,21~238,¡º,59,74,125,3.045,27,33
2015-01,152,51~328,÷–∂»Œ€»æ,116,166,260,3.868,49,38
2015-02,81,48~155,¡º,54,101,138,3.211,40,61
2015-03,81,38~133,¡º,57,98,57,2.368,41,64
2015-04,65,40~84,¡º,44,74,35,2.043,30,77
2015-05,66,41~94,¡º,42,75,36,1.742,29,96
2015-06,56,21~118,¡º,30,56,24,1.807,25,84
2015-07,68,41~105,¡º,33,53,18,1.145,20,118
2015-08,57,39~100,¡º,32,57,17,1.616,21,97
2015-09,59,37~88,¡º,38,59,16,2.013,23,81
2015-10,83,45~156,¡º,57,94,22,2.465,36,70
2015-11,115,35~300,«·∂»Œ€»æ,88,128,64,2.71,39,34
2015-12,143,28~238,«·∂»Œ€»æ,108,155,75,3.365,43,28
2016-01,132,43~288,«·∂»Œ€»æ,97,140,70,3.955,38,37
2016-02,100,50~220,¡º,66,97,54,3.397,25,66
2016-03,86,34~147,¡º,56,113,30,2.858,29,84
2016-04,80,52~143,¡º,47,104,23,2.767,26,95
2016-05,87,55~123,¡º,54,106,40,2.3,25,124
2016-06,82,58~108,¡º,46,94,57,2.273,24,123
2016-07,63,33~105,¡º,32,69,32,1.31,18,93
2016-08,65,32~92,¡º,29,62,30,1.21,20,112
2016-09,63,39~106,¡º,36,68,28,1.39,32,99
2016-10,56,32~103,¡º,30,60,39,1.413,36,64
2016-11,219,65~365,÷ÿ∂»Œ€»æ,173,261,241,3.617,65,43
2016-12,251,78~433,÷ÿ∂»Œ€»æ,206,277,351,3.768,66,41
2017-01,243,93~500,÷ÿ∂»Œ€»æ,206,277,308,3.981,57,48
2017-02,163,42~349,÷–∂»Œ€»æ,126,179,167,2.7,45,83
2017-03,101,51~159,«·∂»Œ€»æ,74,121,67,1.742,36,97
2017-04,97,51~152,¡º,61,117,41,1.687,37,126
2017-05,124,63~191,«·∂»Œ€»æ,57,109,31,1.4,31,178
2017-06,155,68~207,÷–∂»Œ€»æ,58,97,34,1.393,23,219
2017-07,137,41~206,«·∂»Œ€»æ,53,89,29,1.419,18,197
2017-08,114,38~182,«·∂»Œ€»æ,56,90,32,1.658,22,166
2017-09,101,60~150,«·∂»Œ€»æ,57,99,36,1.953,38,136
2017-10,79,35~201,¡º,53,90,32,1.955,40,62
2017-11,116,54~219,«·∂»Œ€»æ,85,138,59,2.257,49,48
2017-12,143,35~272,«·∂»Œ€»æ,106,164,115,2.674,50,45
2018-01,179,51~376,÷–∂»Œ€»æ,139,196,128,2.99,57,43
2018-02,142,39~363,«·∂»Œ€»æ,103,162,122,2.161,42,85
2018-03,117,52~216,«·∂»Œ€»æ,83,145,46,1.761,42,120
2018-04,114,75~176,«·∂»Œ€»æ,57,177,42,1.5,42,108
