‘¬∑›,AQI,∑∂Œß,÷ ¡øµ»º∂,PM2.5,PM10,SO2,CO,NO2,O3
2013-12,243,84~499,÷ÿ∂»Œ€»æ,194,313,136,3.661,91,21
2014-01,215,58~393,÷ÿ∂»Œ€»æ,172,252,108,2.932,77,31
2014-02,130,40~301,«·∂»Œ€»æ,99,137,62,1.921,48,45
2014-03,156,80~396,÷–∂»Œ€»æ,111,209,80,1.739,73,59
2014-04,127,45~235,«·∂»Œ€»æ,90,180,60,1.503,65,67
2014-05,124,52~255,«·∂»Œ€»æ,85,185,68,1.448,62,97
2014-06,112,40~225,«·∂»Œ€»æ,75,148,29,1.373,47,134
2014-07,105,43~168,«·∂»Œ€»æ,54,125,37,1.558,42,154
2014-08,96,45~174,¡º,56,140,46,1.59,48,115
2014-09,85,36~139,¡º,46,120,42,1.293,43,77
2014-10,108,36~263,«·∂»Œ€»æ,76,148,55,1.455,57,68
2014-11,158,56~330,÷–∂»Œ€»æ,120,194,78,1.75,72,55
2014-12,171,72~420,÷–∂»Œ€»æ,130,223,91,2.152,80,33
2015-01,161,49~366,÷–∂»Œ€»æ,125,190,66,1.929,64,46
2015-02,135,44~241,«·∂»Œ€»æ,100,167,53,1.696,50,73
2015-03,129,68~368,«·∂»Œ€»æ,87,171,43,1.281,51,94
2015-04,105,41~196,«·∂»Œ€»æ,68,139,38,1.063,49,124
2015-05,106,53~174,«·∂»Œ€»æ,56,131,32,1.097,41,159
2015-06,123,44~226,«·∂»Œ€»æ,58,120,27,1.207,35,177
2015-07,96,43~166,¡º,44,100,12,1.058,31,142
2015-08,92,38~168,¡º,41,96,17,1.142,36,139
2015-09,90,38~170,¡º,45,100,24,1.16,41,139
2015-10,132,43~342,«·∂»Œ€»æ,94,175,34,1.461,61,113
2015-11,111,29~291,«·∂»Œ€»æ,83,134,30,1.473,52,55
2015-12,169,54~368,÷–∂»Œ€»æ,129,216,56,1.91,68,40
2016-01,169,58~398,÷–∂»Œ€»æ,132,216,61,1.977,65,45
2016-02,119,29~230,«·∂»Œ€»æ,87,148,50,1.586,44,75
2016-03,122,54~206,«·∂»Œ€»æ,83,167,42,1.316,51,105
2016-04,119,56~217,«·∂»Œ€»æ,80,177,34,1.33,45,126
2016-05,90,43~173,¡º,54,120,27,1.045,35,126
2016-06,86,54~121,¡º,38,94,14,1.023,28,135
2016-07,79,41~141,¡º,31,76,10,0.977,23,126
2016-08,80,41~157,¡º,25,62,12,0.897,24,130
2016-09,94,28~165,¡º,48,97,19,1.18,39,147
2016-10,69,33~134,¡º,43,84,15,1.084,39,76
2016-11,102,41~206,«·∂»Œ€»æ,73,132,29,1.3,54,55
2016-12,144,45~363,«·∂»Œ€»æ,111,174,38,1.787,64,42
2017-01,138,39~356,«·∂»Œ€»æ,106,162,33,1.7,53,54
2017-02,118,52~274,«·∂»Œ€»æ,87,135,39,1.261,48,85
2017-03,90,53~192,¡º,63,111,28,1.048,49,105
2017-04,97,62~142,¡º,53,129,26,1.013,47,139
2017-05,139,46~451,«·∂»Œ€»æ,52,150,27,1.045,38,176
2017-06,126,57~201,«·∂»Œ€»æ,36,101,20,1.023,32,186
2017-07,91,35~188,¡º,28,81,14,0.977,27,139
2017-08,88,36~176,¡º,25,65,11,0.958,29,141
2017-09,82,35~135,¡º,30,80,15,1.01,37,134
2017-10,80,34~202,¡º,48,93,15,1,46,93
2017-11,99,54~209,¡º,66,127,25,1.133,57,64
2017-12,127,51~259,«·∂»Œ€»æ,94,157,39,1.548,66,45
2018-01,136,50~350,«·∂»Œ€»æ,102,155,36,1.471,55,52
2018-02,98,41~176,¡º,69,116,33,1.179,40,75
2018-03,91,43~163,¡º,61,112,20,0.997,45,107
2018-04,95,59~138,¡º,50,137,15,0.838,38,109
