月份,AQI,范围,质量等级,PM2.5,PM10,SO2,CO,NO2,O3
2014-12,105,105~105,轻度污染,56,160,13,1.7,54,79
2015-01,60,36~92,良,39,50,12,1.745,23,85
2015-02,63,38~111,良,42,56,18,1.085,20,91
2015-03,79,41~128,良,56,64,17,0.89,21,95
2015-04,67,40~120,良,42,64,10,1.197,15,107
2015-05,60,22~105,良,35,56,7,1.458,13,80
2015-06,31,22~41,优,16,28,12,0.403,9,51
2015-07,33,22~59,优,15,30,11,0.445,10,52
2015-08,32,25~50,优,13,27,18,0.383,11,50
2015-09,34,24~54,优,20,30,23,0.562,10,41
2015-10,31,23~52,优,20,30,15,0.948,11,48
2015-11,41,34~52,优,21,34,18,1.54,17,55
2015-12,44,32~55,优,22,42,12,1.071,17,75
2016-01,48,25~78,优,31,46,9,1.055,18,78
2016-02,64,41~103,良,42,58,11,0.966,14,100
2016-03,83,35~124,良,49,77,13,0.974,19,127
2016-04,62,40~102,良,41,67,11,0.72,13,69
2016-05,53,32~73,良,34,54,10,0.681,10,73
2016-06,34,27~50,优,22,31,7,0.857,6,55
2016-07,29,23~34,优,15,27,6,0.932,6,39
2016-08,34,0~44,优,17,31,14,0.81,6,60
2016-09,37,0~57,优,23,34,16,1.013,7,52
2016-10,33,20~48,优,14,30,16,0.71,7,56
2016-11,42,24~123,优,14,29,9,0.667,17,77
2016-12,40,28~52,优,17,38,15,0.806,22,67
2017-01,41,24~89,优,24,36,20,0.884,17,72
2017-02,63,43~122,良,39,58,20,1.086,20,108
2017-03,75,53~109,良,48,68,17,0.958,24,121
2017-04,70,41~120,良,41,61,13,0.89,19,115
2017-05,55,30~85,良,27,47,15,0.794,16,102
2017-06,36,26~64,优,15,33,13,0.7,15,67
2017-07,30,20~50,优,14,27,8,0.665,12,52
2017-08,29,21~42,优,14,27,7,0.8,11,49
2017-09,28,22~36,优,14,27,6,0.777,17,48
2017-10,39,26~49,优,15,30,8,0.819,30,60
2017-11,43,32~60,优,19,40,11,0.92,31,70
2017-12,46,32~58,优,25,47,13,1.1,23,74
2018-01,49,29~59,优,31,49,13,1.081,22,80
2018-02,66,50~97,良,42,63,12,1.054,16,106
2018-03,78,55~107,良,49,80,12,1.042,20,127
2018-04,81,44~104,良,41,72,11,0.863,15,136
