‘¬∑›,AQI,∑∂Œß,÷ ¡øµ»º∂,PM2.5,PM10,SO2,CO,NO2,O3
2013-12,92,40~161,¡º,67,109,85,1.25,38,38
2014-01,84,38~157,¡º,58,95,79,1.329,33,45
2014-02,97,47~246,¡º,67,109,67,1.579,30,60
2014-03,73,47~141,¡º,50,85,38,0.919,27,77
2014-04,87,42~201,¡º,60,108,19,1.387,33,99
2014-05,74,45~135,¡º,42,84,16,1.155,27,122
2014-06,74,43~142,¡º,40,66,16,1.293,24,117
2014-07,65,23~105,¡º,33,54,16,1.555,20,111
2014-08,61,32~128,¡º,33,55,19,1.545,23,104
2014-09,56,34~96,¡º,28,55,21,1.623,29,96
2014-10,64,42~94,¡º,39,73,23,1.242,31,90
2014-11,91,50~149,¡º,65,107,63,1.903,41,54
2014-12,91,38~277,¡º,62,105,84,1.755,36,35
2015-01,87,37~178,¡º,62,93,82,1.868,36,36
2015-02,96,37~401,¡º,60,112,67,1.607,31,43
2015-03,80,44~189,¡º,56,97,43,1.503,28,65
2015-04,73,35~95,¡º,48,92,18,1.138,27,95
2015-05,67,42~114,¡º,36,64,15,1.119,24,115
2015-06,66,28~116,¡º,36,52,10,1.277,18,115
2015-07,50,31~91,”≈,26,43,10,1.1,17,82
2015-08,50,29~77,¡º,26,46,9,1.187,13,90
2015-09,52,34~80,¡º,26,49,12,1.327,20,92
2015-10,58,33~135,¡º,37,61,15,1.529,27,74
2015-11,103,35~418,«·∂»Œ€»æ,79,99,40,1.653,33,59
2015-12,88,42~159,¡º,64,87,78,1.926,36,44
2016-01,80,40~168,¡º,56,89,70,1.703,30,53
2016-02,70,34~119,¡º,49,74,62,1.669,28,65
2016-03,97,41~426,¡º,60,111,39,1.461,28,100
2016-04,79,51~152,¡º,45,94,20,1.227,26,122
2016-05,92,47~122,¡º,44,74,18,1.152,26,147
2016-06,77,47~126,¡º,40,59,15,1.3,18,129
2016-07,49,29~73,”≈,25,40,6,1.029,14,91
2016-08,45,28~95,”≈,19,34,8,1.123,15,81
2016-09,53,29~70,¡º,30,52,12,1.373,20,88
2016-10,56,31~127,¡º,34,60,14,1.316,27,64
2016-11,73,33~133,¡º,50,83,38,1.403,34,50
2016-12,81,32~190,¡º,59,84,55,1.539,37,43
2017-01,81,37~203,¡º,56,84,56,1.445,34,57
2017-02,69,38~147,¡º,46,67,43,1.25,29,79
2017-03,91,43~195,¡º,66,98,32,1.187,32,98
2017-04,68,45~107,¡º,37,76,13,0.897,26,108
2017-05,71,36~128,¡º,28,67,11,0.719,19,115
2017-06,70,37~175,¡º,25,49,10,0.697,17,121
2017-07,52,29~78,¡º,20,33,5,0.681,12,100
2017-08,41,20~82,”≈,15,30,6,0.703,14,78
2017-09,53,33~94,¡º,24,45,9,0.773,20,98
2017-10,52,27~90,¡º,30,55,12,0.816,27,75
2017-11,57,32~104,¡º,33,62,25,0.913,26,58
2017-12,66,35~128,¡º,44,72,35,1.335,31,47
2018-01,57,33~107,¡º,37,59,34,1.206,29,59
2018-02,72,33~180,¡º,49,74,33,1.204,27,78
2018-03,64,41~144,¡º,39,59,21,0.874,21,103
2018-04,50,45~59,¡º,26,45,11,0.675,17,93
