‘¬∑›,AQI,∑∂Œß,÷ ¡øµ»º∂,PM2.5,PM10,SO2,CO,NO2,O3
2013-12,128,41~204,«·∂»Œ€»æ,93,134,38,1.127,57,65
2014-01,105,43~242,«·∂»Œ€»æ,79,106,28,0.935,47,74
2014-02,54,17~77,¡º,37,47,15,0.657,32,69
2014-03,69,28~93,¡º,45,67,22,0.774,39,100
2014-04,73,36~128,¡º,42,63,15,0.673,28,119
2014-05,78,33~115,¡º,40,59,14,0.697,31,123
2014-06,76,29~145,¡º,34,51,12,0.627,23,123
2014-07,54,27~89,¡º,21,40,11,0.548,22,101
2014-08,55,23~100,¡º,28,44,13,0.623,26,99
2014-09,58,25~96,¡º,33,53,12,0.63,27,101
2014-10,76,41~105,¡º,51,81,13,0.677,31,122
2014-11,73,34~124,¡º,52,78,16,0.857,39,76
2014-12,88,53~130,¡º,64,100,27,0.839,49,72
2015-01,94,29~199,¡º,70,101,24,0.958,51,72
2015-02,70,20~155,¡º,48,64,9,0.736,28,83
2015-03,70,24~134,¡º,38,52,12,0.703,30,103
2015-04,75,41~112,¡º,41,59,12,0.613,33,121
2015-05,68,35~113,¡º,37,50,9,0.655,25,110
2015-06,49,33~87,”≈,23,39,8,0.54,21,88
2015-07,44,23~70,”≈,20,34,8,0.51,15,86
2015-08,55,19~104,¡º,26,43,8,0.539,15,100
2015-09,64,29~119,¡º,35,51,9,0.613,20,98
2015-10,62,28~106,¡º,40,59,11,0.6,26,91
2015-11,56,27~125,¡º,36,51,12,0.833,33,44
2015-12,70,40~113,¡º,46,62,12,0.929,38,43
2016-01,67,37~189,¡º,45,58,10,0.9,35,46
2016-02,67,28~134,¡º,45,67,8,0.672,21,78
2016-03,68,28~99,¡º,46,71,11,0.69,31,99
2016-04,56,29~102,¡º,28,45,7,0.663,25,92
2016-05,62,27~132,¡º,27,42,7,0.671,18,107
2016-06,48,25~79,”≈,20,35,8,0.53,19,90
2016-07,51,22~97,¡º,19,34,9,0.442,16,93
2016-08,63,25~122,¡º,21,37,6,0.545,14,109
2016-09,56,18~113,¡º,27,44,6,0.677,19,95
2016-10,45,25~89,”≈,26,43,8,0.71,23,67
2016-11,53,29~92,¡º,36,53,12,0.827,29,55
2016-12,75,30~132,¡º,53,74,15,0.81,37,56
2017-01,61,28~150,¡º,40,58,11,0.687,26,68
2017-02,64,35~114,¡º,44,61,12,0.621,23,89
2017-03,58,37~104,¡º,35,53,11,0.571,26,88
2017-04,64,28~100,¡º,33,57,11,0.62,23,110
2017-05,68,40~133,¡º,28,49,9,0.519,17,119
2017-06,46,28~76,”≈,20,34,6,0.577,21,85
2017-07,55,20~131,¡º,20,39,9,0.477,16,98
2017-08,53,25~76,¡º,19,36,8,0.571,16,100
2017-09,63,34~108,¡º,24,41,7,0.707,18,113
2017-10,61,30~101,¡º,33,49,9,0.884,23,101
2017-11,59,29~96,¡º,38,52,10,1.02,32,68
2017-12,85,36~160,¡º,62,82,9,1.126,40,62
2018-01,65,25~147,¡º,41,60,7,0.929,33,55
2018-02,66,22~132,¡º,42,57,7,0.657,20,89
2018-03,56,30~80,¡º,27,45,6,0.616,26,94
2018-04,62,39~80,¡º,29,65,7,0.513,22,108
