月份,AQI,范围,质量等级,PM2.5,PM10,SO2,CO,NO2,O3
2014-12,52,52~52,良,23,53,18,1.4,25,88
2015-01,39,30~55,优,14,32,8,0.923,10,76
2015-02,41,37~50,优,13,30,6,0.736,8,82
2015-03,48,41~62,优,16,42,7,0.771,10,94
2015-04,53,42~69,良,13,34,8,0.453,11,102
2015-05,55,40~92,良,15,34,10,0.455,9,105
2015-06,42,28~61,优,16,32,10,0.513,9,80
2015-07,47,24~78,优,15,27,9,0.565,14,90
2015-08,37,28~45,优,17,30,7,1.01,14,69
2015-09,34,28~49,优,18,30,5,0.917,13,62
2015-10,36,27~51,优,16,25,7,0.758,16,71
2015-11,34,24~57,优,17,26,8,0.493,14,65
2015-12,39,28~58,优,19,30,7,0.855,13,67
2016-01,36,26~42,优,18,26,10,0.597,12,70
2016-02,41,30~50,优,22,31,7,0.728,8,76
2016-03,46,34~67,优,18,27,8,0.687,12,90
2016-04,41,22~60,优,16,26,10,0.517,12,80
2016-05,43,26~62,优,16,26,8,0.603,12,84
2016-06,29,20~59,优,15,23,10,0.527,10,50
2016-07,29,20~43,优,16,22,7,0.526,10,51
2016-08,49,30~72,优,14,22,10,0.629,13,95
2016-09,35,0~63,优,15,24,12,0.633,10,69
2016-10,39,26~55,优,13,21,11,0.51,14,77
2016-11,42,25~73,优,12,23,11,0.767,14,82
2016-12,42,32~57,优,13,27,10,0.584,15,84
2017-01,43,35~49,优,13,22,8,0.461,15,87
2017-02,42,36~49,优,13,22,9,0.414,14,84
2017-03,47,35~60,优,13,23,11,0.4,14,93
2017-04,59,36~94,良,14,26,10,0.537,11,108
2017-05,54,36~69,良,14,26,11,0.552,11,102
2017-06,48,22~85,优,11,26,10,0.543,11,91
2017-07,44,26~74,优,12,31,12,0.597,12,82
2017-08,40,27~60,优,12,30,14,0.842,12,76
2017-09,31,21~46,优,11,25,12,0.787,13,61
2017-10,38,22~55,优,13,28,11,0.887,18,74
2017-11,42,33~50,优,14,30,12,0.84,22,83
2017-12,49,34~70,优,23,48,12,0.923,26,84
2018-01,53,35~65,良,28,54,11,0.771,17,90
2018-02,52,44~61,良,14,40,11,0.904,9,100
2018-03,61,44~79,良,19,48,12,0.881,11,112
2018-04,60,37~76,良,16,51,14,1,11,109
