‘¬∑›,AQI,∑∂Œß,÷ ¡øµ»º∂,PM2.5,PM10,SO2,CO,NO2,O3
2013-12,134,134~134,«·∂»Œ€»æ,102,165,45,1.1,115,63
2014-01,150,56~331,«·∂»Œ€»æ,115,164,47,1.248,67,65
2014-02,79,22~142,¡º,58,71,18,1.129,37,65
2014-03,84,31~143,¡º,61,95,29,0.981,54,96
2014-04,83,37~171,¡º,58,89,31,1.347,50,104
2014-05,84,38~143,¡º,52,91,25,1.135,41,124
2014-06,78,32~147,¡º,45,67,18,0.967,35,121
2014-07,79,33~129,¡º,36,60,24,0.9,31,127
2014-08,76,25~134,¡º,40,61,26,1.039,34,124
2014-09,76,28~120,¡º,48,74,29,1.1,41,114
2014-10,95,61~184,¡º,59,102,37,1.142,53,140
2014-11,94,35~150,¡º,70,108,41,1.363,54,61
2014-12,111,69~163,«·∂»Œ€»æ,83,142,45,1.316,59,45
2015-01,127,38~262,«·∂»Œ€»æ,96,149,35,1.39,59,43
2015-02,86,30~145,¡º,63,89,14,1.036,33,68
2015-03,73,31~128,¡º,51,76,18,1.061,47,75
2015-04,77,34~117,¡º,50,85,28,1.093,56,115
2015-05,89,53~130,¡º,48,73,20,1.006,42,137
2015-06,64,40~114,¡º,35,55,18,1.017,32,109
2015-07,74,23~129,¡º,30,47,18,0.8,25,125
2015-08,77,23~145,¡º,35,55,20,0.994,35,123
2015-09,91,32~161,¡º,44,67,26,1.18,51,129
2015-10,83,40~144,¡º,49,80,30,1.174,57,110
2015-11,66,33~107,¡º,38,59,21,1.383,50,36
2015-12,107,53~189,«·∂»Œ€»æ,77,114,26,1.294,58,37
2016-01,95,57~206,¡º,65,97,19,1.368,56,44
2016-02,84,42~169,¡º,59,88,13,1.117,30,96
2016-03,95,39~210,¡º,66,105,19,1.177,55,109
2016-04,74,45~122,¡º,41,65,15,0.903,53,89
2016-05,74,45~120,¡º,36,59,12,1.006,39,113
2016-06,72,37~124,¡º,31,52,17,1.087,28,117
2016-07,72,0~147,¡º,25,43,19,1.265,20,122
2016-08,74,26~138,¡º,24,41,15,0.826,19,124
2016-09,60,23~104,¡º,30,48,16,0.96,29,99
2016-10,53,27~83,¡º,30,50,18,1.016,37,58
2016-11,73,33~107,¡º,48,77,28,1.243,52,48
2016-12,83,39~147,¡º,58,90,26,1.229,58,53
2017-01,77,38~186,¡º,52,74,16,1.21,39,60
2017-02,78,29~129,¡º,55,84,16,1.046,36,87
2017-03,68,38~107,¡º,45,73,18,0.984,43,84
2017-04,77,41~110,¡º,38,70,19,1.08,44,121
2017-05,79,39~152,¡º,32,57,17,0.723,30,129
2017-06,56,33~142,¡º,25,37,11,0.71,34,87
2017-07,67,22~162,¡º,22,40,10,0.51,24,114
2017-08,60,26~107,¡º,21,38,7,0.619,22,108
2017-09,68,34~119,¡º,26,45,6,0.777,32,110
2017-10,55,32~87,¡º,29,53,7,0.632,35,91
2017-11,74,34~152,¡º,46,78,9,0.907,55,58
2017-12,94,57~189,¡º,68,105,14,0.939,62,47
2018-01,80,37~173,¡º,53,78,9,0.816,49,47
2018-02,67,26~123,¡º,46,66,7,0.654,29,80
2018-03,67,30~109,¡º,42,65,10,0.7,42,92
2018-04,67,54~80,¡º,39,71,9,0.7,36,84
