‘¬∑›,AQI,∑∂Œß,÷ ¡øµ»º∂,PM2.5,PM10,SO2,CO,NO2,O3
2013-12,138,55~296,«·∂»Œ€»æ,106,145,37,2.55,70,11
2014-01,151,58~289,÷–∂»Œ€»æ,114,185,50,2.858,67,16
2014-02,109,31~201,«·∂»Œ€»æ,81,123,50,2.475,74,39
2014-03,127,41~264,«·∂»Œ€»æ,90,158,40,1.994,76,55
2014-04,125,41~402,«·∂»Œ€»æ,45,179,16,0.807,45,58
2014-05,106,36~186,«·∂»Œ€»æ,37,162,13,0.69,46,72
2014-06,80,53~134,¡º,35,111,14,0.557,44,94
2014-07,86,54~122,¡º,30,122,15,0.619,44,102
2014-08,96,54~208,¡º,35,141,17,0.729,51,93
2014-09,104,41~149,«·∂»Œ€»æ,47,158,21,0.897,55,62
2014-10,97,30~155,¡º,55,144,24,1.206,58,35
2014-11,81,20~142,¡º,52,111,20,1.123,32,21
2014-12,179,38~325,÷–∂»Œ€»æ,140,216,44,2.484,68,14
2015-01,154,59~302,÷–∂»Œ€»æ,119,169,39,2.758,78,18
2015-02,167,45~357,÷–∂»Œ€»æ,126,207,33,2.682,78,35
2015-03,96,34~236,¡º,65,116,19,1.51,50,44
2015-04,91,35~253,¡º,47,127,12,0.937,42,65
2015-05,88,35~159,¡º,41,126,10,0.781,40,79
2015-06,72,41~110,¡º,29,93,8,0.707,38,97
2015-07,86,50~119,¡º,33,118,9,0.742,38,123
2015-08,77,39~130,¡º,29,96,9,0.645,40,112
2015-09,63,30~98,¡º,24,77,10,0.65,36,80
2015-10,82,34~144,¡º,45,111,13,1.006,47,41
2015-11,97,44~204,¡º,69,111,11,1.707,51,17
2015-12,188,43~377,÷–∂»Œ€»æ,147,220,16,2.845,72,16
2016-01,231,123~432,÷ÿ∂»Œ€»æ,185,257,28,3.165,82,16
2016-02,245,55~398,÷ÿ∂»Œ€»æ,201,287,32,3.448,90,32
2016-03,112,48~209,«·∂»Œ€»æ,79,130,19,1.781,60,50
2016-04,65,34~151,¡º,24,81,9,0.687,40,64
2016-05,58,30~91,¡º,25,67,7,0.61,35,68
2016-06,61,45~85,¡º,25,67,6,0.527,37,93
2016-07,63,36~102,¡º,24,65,7,0.59,37,110
2016-08,66,40~95,¡º,26,78,10,0.677,46,103
2016-09,65,41~83,¡º,28,76,13,0.803,48,84
2016-10,65,27~119,¡º,43,68,12,1.055,44,41
2016-11,105,40~253,«·∂»Œ€»æ,75,110,14,1.787,56,31
2016-12,181,77~347,÷–∂»Œ€»æ,142,184,16,2.487,64,20
2017-01,277,169~402,÷ÿ∂»Œ€»æ,228,271,31,3.255,90,28
2017-02,219,54~400,÷ÿ∂»Œ€»æ,176,206,24,2.654,85,55
2017-03,134,68~247,«·∂»Œ€»æ,101,129,12,1.59,56,63
2017-04,56,35~87,¡º,27,63,10,0.823,35,75
2017-05,66,37~102,¡º,23,81,9,0.771,33,91
2017-06,62,47~109,¡º,23,68,9,0.757,33,101
2017-07,72,54~96,¡º,22,73,9,0.8,36,123
2017-08,65,39~128,¡º,19,61,8,0.803,33,112
2017-09,68,38~102,¡º,23,82,9,0.83,42,98
2017-10,81,38~125,¡º,46,105,14,1.216,54,63
2017-11,98,39~172,¡º,70,115,15,1.547,52,37
2017-12,125,55~274,«·∂»Œ€»æ,93,131,13,1.877,49,30
2018-01,171,67~296,÷–∂»Œ€»æ,132,183,16,2.6,66,34
2018-02,158,62~263,÷–∂»Œ€»æ,120,161,16,2.393,68,68
2018-03,89,34~353,¡º,44,108,11,1.174,38,84
2018-04,81,49~113,¡º,30,107,11,0.838,30,95
