‘¬∑›,AQI,∑∂Œß,÷ ¡øµ»º∂,PM2.5,PM10,SO2,CO,NO2,O3
2014-12,137,137~137,«·∂»Œ€»æ,104,123,16,1.2,34,81
2015-01,145,48~259,«·∂»Œ€»æ,110,142,28,1.461,43,33
2015-02,97,28~267,¡º,73,97,14,1.289,28,62
2015-03,83,45~136,¡º,59,89,24,1.087,36,88
2015-04,77,33~149,¡º,55,84,24,1.02,35,107
2015-05,80,37~151,¡º,40,63,22,0.874,32,129
2015-06,67,49~132,¡º,30,48,22,0.883,29,117
2015-07,69,32~100,¡º,34,52,20,0.903,29,118
2015-08,69,33~149,¡º,41,62,18,0.916,27,105
2015-09,54,35~127,¡º,35,52,15,0.95,27,69
2015-10,83,39~160,¡º,60,87,21,1.174,38,74
2015-11,76,34~117,¡º,55,78,16,1.213,34,40
2015-12,103,42~206,«·∂»Œ€»æ,76,102,19,1.235,39,34
2016-01,96,30~182,¡º,71,107,17,1.29,38,45
2016-02,98,37~327,¡º,73,101,15,1.279,37,71
2016-03,83,30~128,¡º,59,99,26,1.261,44,82
2016-04,67,35~118,¡º,44,73,21,1.1,38,85
2016-05,75,34~169,¡º,43,70,18,0.942,30,120
2016-06,69,32~121,¡º,22,38,17,1.007,23,121
2016-07,67,39~116,¡º,26,42,17,0.829,24,116
2016-08,78,34~142,¡º,41,58,13,0.955,26,131
2016-09,55,36~84,¡º,33,47,16,0.983,31,89
2016-10,69,29~131,¡º,48,66,16,1.006,34,73
2016-11,112,35~202,«·∂»Œ€»æ,83,120,19,1.193,39,59
2016-12,131,65~189,«·∂»Œ€»æ,99,140,18,1.342,44,36
2017-01,163,46~410,÷–∂»Œ€»æ,127,166,18,1.313,42,52
2017-02,121,52~217,«·∂»Œ€»æ,91,124,13,1.139,40,64
2017-03,83,43~132,¡º,60,86,15,0.971,42,77
2017-04,76,36~133,¡º,45,71,15,0.783,34,113
2017-05,93,43~151,¡º,48,74,13,0.81,33,141
2017-06,75,30~116,¡º,33,50,13,0.783,29,123
2017-07,98,54~174,¡º,31,46,10,0.787,24,156
2017-08,64,25~98,¡º,23,33,5,0.732,18,113
2017-09,50,29~74,”≈,31,45,7,0.767,27,69
2017-10,50,27~92,”≈,31,44,7,0.794,29,45
2017-11,81,40~134,¡º,59,82,10,0.903,37,52
2017-12,122,54~225,«·∂»Œ€»æ,91,132,13,1.116,48,41
2018-01,104,28~208,«·∂»Œ€»æ,77,106,9,1.074,43,52
2018-02,100,38~229,«·∂»Œ€»æ,73,110,7,0.861,34,72
2018-03,79,35~162,¡º,54,83,11,0.826,38,102
2018-04,78,55~114,¡º,43,91,9,0.763,38,117
