‘¬∑›,AQI,∑∂Œß,÷ ¡øµ»º∂,PM2.5,PM10,SO2,CO,NO2,O3
2013-12,229,229~229,÷ÿ∂»Œ€»æ,179,199,42,1.3,74,29
2014-01,120,30~245,«·∂»Œ€»æ,88,134,50,1.077,47,29
2014-02,51,10~117,¡º,34,51,22,0.8,23,26
2014-03,60,15~88,¡º,35,72,28,0.813,27,40
2014-04,55,28~95,¡º,30,64,18,0.867,32,46
2014-05,74,28~133,¡º,43,95,24,0.684,26,51
2014-06,80,33~157,¡º,50,82,22,0.86,20,113
2014-07,55,20~95,¡º,32,60,23,0.603,17,84
2014-08,56,32~83,¡º,31,65,18,0.561,18,79
2014-09,65,33~114,¡º,40,78,23,0.623,23,89
2014-10,81,33~116,¡º,51,106,42,0.665,32,116
2014-11,74,24~193,¡º,47,91,54,0.847,36,61
2014-12,55,36~75,¡º,29,61,66,0.939,41,44
2015-01,93,24~191,¡º,67,108,52,1.265,43,51
2015-02,81,24~150,¡º,59,90,38,1.075,31,57
2015-03,57,27~99,¡º,35,64,37,0.881,28,60
2015-04,63,34~88,¡º,39,73,36,0.807,29,87
2015-05,92,33~220,¡º,65,90,43,0.939,25,104
2015-06,55,35~80,¡º,31,55,36,0.743,18,91
2015-07,62,37~102,¡º,34,56,33,0.742,17,105
2015-08,70,33~132,¡º,40,65,41,0.671,19,117
2015-09,70,29~107,¡º,40,63,40,0.68,22,116
2015-10,81,32~148,¡º,57,97,42,0.784,35,100
2015-11,58,33~84,¡º,40,55,35,0.83,35,35
2015-12,111,41~243,«·∂»Œ€»æ,81,109,38,0.974,40,36
2016-01,99,42~208,¡º,71,93,33,0.981,36,38
2016-02,99,38~242,¡º,71,111,36,0.948,30,63
2016-03,97,32~268,¡º,71,104,42,0.923,36,69
2016-04,58,36~100,¡º,35,60,41,0.913,26,78
2016-05,72,45~109,¡º,44,77,41,0.903,25,109
2016-06,75,32~137,¡º,32,57,35,0.86,19,124
2016-07,61,22~112,¡º,31,57,23,0.735,15,104
2016-08,72,38~150,¡º,32,61,17,0.974,18,121
2016-09,77,26~134,¡º,42,72,22,0.917,24,125
2016-10,57,29~108,¡º,35,50,15,0.884,27,67
2016-11,77,23~142,¡º,55,80,24,1.057,37,52
2016-12,108,40~213,«·∂»Œ€»æ,81,107,25,1.01,46,61
2017-01,114,32~273,«·∂»Œ€»æ,86,101,22,1.029,37,58
2017-02,95,46~168,¡º,71,89,21,0.921,32,81
2017-03,75,45~130,¡º,52,71,18,0.703,31,81
2017-04,79,36~133,¡º,43,83,21,0.713,32,111
2017-05,91,41~135,¡º,45,85,21,0.645,29,134
2017-06,60,27~119,¡º,30,47,19,0.617,21,101
2017-07,64,24~129,¡º,27,58,21,0.581,18,111
2017-08,55,28~90,¡º,21,48,18,0.597,17,98
2017-09,66,33~113,¡º,27,58,17,0.68,21,105
2017-10,62,24~112,¡º,34,63,17,0.529,27,101
2017-11,96,41~168,¡º,70,103,20,0.79,41,74
2017-12,104,43~193,«·∂»Œ€»æ,77,109,22,0.916,48,55
2018-01,95,25~200,¡º,70,81,14,0.971,38,47
2018-02,86,29~173,¡º,62,88,13,0.821,32,66
2018-03,65,35~112,¡º,42,73,14,0.658,33,80
2018-04,79,60~101,¡º,42,105,14,0.625,28,87
