‘¬∑›,AQI,∑∂Œß,÷ ¡øµ»º∂,PM2.5,PM10,SO2,CO,NO2,O3
2013-12,127,127~127,«·∂»Œ€»æ,67,204,55,1,46,37
2014-01,124,36~312,«·∂»Œ€»æ,94,132,44,1.31,26,52
2014-02,94,34~415,¡º,69,79,25,1.464,14,82
2014-03,95,59~195,¡º,65,90,21,1.784,19,104
2014-04,78,52~185,¡º,47,72,13,0.6,14,116
2014-05,123,55~324,«·∂»Œ€»æ,54,67,17,0.739,12,169
2014-06,65,41~158,¡º,28,43,13,0.552,10,113
2014-07,67,28~149,¡º,38,51,15,0.842,6,113
2014-08,80,28~154,¡º,42,43,17,0.765,9,128
2014-09,64,28~105,¡º,35,38,18,1.077,9,110
2014-10,73,39~137,¡º,46,58,20,1.445,15,106
2014-11,92,44~216,¡º,67,82,34,1.541,21,74
2014-12,101,33~304,«·∂»Œ€»æ,72,75,35,1.11,16,46
2015-01,97,32~307,¡º,72,91,42,1.061,18,51
2015-02,71,35~147,¡º,44,85,39,1.461,14,72
2015-03,66,40~125,¡º,38,78,26,1.468,14,84
2015-04,68,43~159,¡º,32,63,16,0.73,10,115
2015-05,62,36~101,¡º,22,53,17,0.752,12,109
2015-06,64,29~93,¡º,25,50,14,0.787,9,109
2015-07,74,31~145,¡º,18,38,13,0.716,9,126
2015-08,83,23~159,¡º,24,46,10,0.919,10,132
2015-09,74,43~116,¡º,18,38,12,0.783,13,128
2015-10,68,37~149,¡º,27,53,15,0.91,15,110
2015-11,57,26~99,¡º,36,63,16,0.843,16,65
2015-12,85,28~221,¡º,58,106,26,1.829,15,52
2016-01,70,25~175,¡º,44,87,30,1.329,20,48
2016-02,63,28~166,¡º,39,75,29,1.59,15,64
2016-03,62,32~147,¡º,32,76,22,1.287,13,86
2016-04,80,43~260,¡º,33,99,17,1.193,16,107
2016-05,77,41~120,¡º,25,59,17,0.974,18,130
2016-06,81,40~163,¡º,18,41,14,0.61,11,135
2016-07,74,27~139,¡º,17,37,13,0.784,8,126
2016-08,66,28~171,¡º,14,31,9,0.539,8,114
2016-09,79,36~144,¡º,25,46,8,0.567,12,133
2016-10,58,29~98,¡º,27,44,6,0.532,21,101
2016-11,63,33~111,¡º,39,70,11,0.853,29,75
2016-12,72,32~150,¡º,47,84,15,1.303,34,69
2017-01,74,36~175,¡º,48,83,16,1.484,30,74
2017-02,61,42~123,¡º,34,64,14,0.871,23,95
2017-03,68,48~105,¡º,35,64,13,0.735,30,117
2017-04,85,54~135,¡º,27,65,10,0.72,28,141
2017-05,92,42~168,¡º,23,72,8,0.648,19,143
2017-06,69,39~165,¡º,19,39,7,0.627,18,120
2017-07,73,31~207,¡º,22,40,3,1.597,12,116
2017-08,60,25~127,¡º,12,25,6,0.745,13,105
2017-09,75,37~133,¡º,19,42,8,0.64,13,129
2017-10,50,28~92,”≈,19,40,10,0.745,14,92
2017-11,54,31~102,¡º,27,59,12,0.943,15,81
2017-12,60,32~103,¡º,37,70,16,1.265,24,66
2018-01,61,34~117,¡º,35,72,14,1.29,25,72
2018-02,59,39~103,¡º,30,61,12,1.025,19,97
2018-03,67,43~139,¡º,25,49,9,0.748,16,119
2018-04,61,47~77,¡º,22,57,7,0.788,14,105
