‘¬∑›,AQI,∑∂Œß,÷ ¡øµ»º∂,PM2.5,PM10,SO2,CO,NO2,O3
2013-12,115,115~115,«·∂»Œ€»æ,87,150,42,1.6,52,102
2014-01,94,28~230,¡º,63,87,29,2.155,39,108
2014-02,51,25~93,¡º,30,50,16,1.729,20,58
2014-03,48,15~94,”≈,24,46,15,1.732,27,53
2014-04,47,22~93,”≈,25,42,11,1.85,19,69
2014-05,45,20~101,”≈,19,41,10,1.71,19,64
2014-06,64,28~169,¡º,23,43,13,0.857,16,107
2014-07,48,22~88,”≈,17,30,13,1.019,15,89
2014-08,46,19~127,”≈,23,37,19,1.119,16,79
2014-09,54,19~108,¡º,33,53,21,1.417,20,90
2014-10,88,44~143,¡º,59,88,26,1.552,28,137
2014-11,59,18~106,¡º,40,60,25,1.903,26,78
2014-12,55,21~97,¡º,31,65,35,1.158,27,60
2015-01,75,18~158,¡º,49,81,28,1.303,38,69
2015-02,68,21~137,¡º,49,68,21,1.443,31,57
2015-03,46,16~91,”≈,32,44,15,1.229,34,29
2015-04,49,13~127,”≈,30,50,15,1.163,21,69
2015-05,40,21~81,”≈,24,36,11,0.948,18,47
2015-06,34,22~52,”≈,15,35,11,0.9,11,33
2015-07,43,22~76,”≈,23,43,15,1.081,14,46
2015-08,57,34~108,¡º,33,63,21,0.932,20,70
2015-09,59,28~107,¡º,37,63,18,1.083,21,61
2015-10,72,27~134,¡º,51,78,22,1.029,25,59
2015-11,59,26~107,¡º,38,61,17,1.097,29,41
2015-12,49,22~104,”≈,29,49,22,1.268,29,24
2016-01,53,27~104,¡º,32,46,21,1.403,33,23
2016-02,51,20~159,¡º,34,42,20,1.028,19,40
2016-03,62,16~124,¡º,40,56,19,1.094,35,35
2016-04,50,29~124,”≈,33,46,16,0.963,24,32
2016-05,56,30~104,¡º,34,51,13,0.748,20,67
2016-06,42,28~63,”≈,22,41,14,0.843,23,66
2016-07,47,27~116,”≈,22,44,17,0.897,19,73
2016-08,60,27~135,¡º,32,56,20,1,27,93
2016-09,59,29~117,¡º,32,56,19,1.097,30,98
2016-10,45,23~70,”≈,19,32,10,0.945,27,77
2016-11,66,20~147,¡º,45,69,12,1.06,36,74
2016-12,85,44~132,¡º,62,90,17,1.094,47,93
2017-01,89,28~304,¡º,65,84,12,1.113,35,82
2017-02,67,27~102,¡º,47,62,13,0.829,28,86
2017-03,64,25~95,¡º,38,63,13,1.016,38,62
2017-04,62,30~111,¡º,34,57,12,0.813,27,88
2017-05,66,35~163,¡º,32,56,11,0.803,28,103
2017-06,38,26~52,”≈,17,36,9,0.69,18,62
2017-07,54,22~131,¡º,25,48,15,0.739,24,88
2017-08,46,25~74,”≈,24,43,13,0.684,24,73
2017-09,67,27~168,¡º,36,65,17,0.89,33,103
2017-10,61,18~130,¡º,38,61,16,0.858,34,100
2017-11,59,23~112,¡º,39,59,15,0.937,36,63
2017-12,74,34~132,¡º,52,73,18,0.9,45,93
2018-01,90,28~200,¡º,64,78,17,0.984,47,76
2018-02,60,25~104,¡º,42,57,13,0.775,26,76
2018-03,62,28~139,¡º,34,57,12,0.742,32,95
2018-04,69,40~86,¡º,37,68,12,0.7,28,112
