‘¬∑›,AQI,∑∂Œß,÷ ¡øµ»º∂,PM2.5,PM10,SO2,CO,NO2,O3
2014-12,119,119~119,«·∂»Œ€»æ,90,48,80,2.4,74,19
2015-01,104,29~252,«·∂»Œ€»æ,76,104,48,2.232,50,36
2015-02,92,39~191,¡º,59,122,43,2.089,41,76
2015-03,60,27~124,¡º,36,67,17,1.442,27,71
2015-04,71,29~221,¡º,38,83,13,0.743,27,93
2015-05,76,40~184,¡º,39,98,10,0.565,27,105
2015-06,60,32~101,¡º,28,63,8,0.507,23,93
2015-07,71,42~110,¡º,38,86,10,0.503,29,112
2015-08,73,36~145,¡º,31,93,11,0.574,28,102
2015-09,59,26~145,¡º,32,70,9,0.62,22,76
2015-10,81,26~203,¡º,53,104,12,1.332,29,56
2015-11,95,30~228,¡º,69,97,13,1.64,33,30
2015-12,233,38~479,÷ÿ∂»Œ€»æ,197,241,23,2.365,57,23
2016-01,240,147~369,÷ÿ∂»Œ€»æ,193,241,34,2.581,56,45
2016-02,273,58~424,÷ÿ∂»Œ€»æ,225,287,38,3,60,110
2016-03,129,33~288,«·∂»Œ€»æ,95,117,20,1.574,31,78
2016-04,59,34~193,¡º,27,68,12,0.673,22,85
2016-05,51,35~70,¡º,19,44,9,0.529,18,91
2016-06,62,42~85,¡º,21,48,8,0.633,18,112
2016-07,69,41~105,¡º,20,51,5,0.619,19,121
2016-08,70,42~135,¡º,30,61,11,0.7,23,111
2016-09,71,0~108,¡º,33,93,13,0.803,29,94
2016-10,66,27~209,¡º,40,78,11,0.916,25,55
2016-11,102,22~268,«·∂»Œ€»æ,74,114,18,1.303,30,36
2016-12,170,68~325,÷–∂»Œ€»æ,133,208,19,2.106,43,23
2017-01,306,0~500,—œ÷ÿŒ€»æ,256,365,36,3.074,70,29
2017-02,254,35~394,÷ÿ∂»Œ€»æ,209,300,26,2.911,58,48
2017-03,109,0~358,«·∂»Œ€»æ,81,128,13,1.419,29,60
2017-04,58,31~96,¡º,27,67,11,1.143,28,75
2017-05,68,30~155,¡º,30,81,10,0.8,27,94
2017-06,65,33~91,¡º,20,60,9,0.81,28,111
2017-07,72,48~112,¡º,19,65,8,0.652,29,123
2017-08,61,37~138,¡º,16,60,8,0.703,28,104
2017-09,67,30~103,¡º,23,81,9,0.783,33,99
2017-10,85,26~146,¡º,52,122,15,1.303,49,66
2017-11,97,33~294,¡º,69,118,15,1.487,45,43
2017-12,135,56~315,«·∂»Œ€»æ,103,148,17,1.958,44,31
2018-01,244,52~476,÷ÿ∂»Œ€»æ,200,276,22,3.081,65,35
2018-02,199,77~384,÷–∂»Œ€»æ,159,211,26,2.586,51,63
2018-03,70,24~182,¡º,39,84,16,1.252,26,66
2018-04,71,46~122,¡º,24,86,15,1.05,22,101
