‘¬∑›,AQI,∑∂Œß,÷ ¡øµ»º∂,PM2.5,PM10,SO2,CO,NO2,O3
2014-12,53,53~53,¡º,28,56,33,0.6,48,60
2015-01,104,54~203,«·∂»Œ€»æ,77,96,36,1.2,43,53
2015-02,92,49~156,¡º,68,91,33,1.157,30,69
2015-03,76,41~130,¡º,53,72,30,1.277,31,71
2015-04,77,44~188,¡º,53,73,27,1.16,35,85
2015-05,73,50~99,¡º,50,81,36,0.681,19,74
2015-06,82,31~182,¡º,54,85,34,0.66,20,91
2015-07,61,44~100,¡º,41,63,31,0.384,25,66
2015-08,70,40~118,¡º,47,72,42,0.632,39,85
2015-09,85,44~135,¡º,61,93,33,0.91,42,87
2015-10,116,50~238,«·∂»Œ€»æ,80,123,47,1.229,63,135
2015-11,91,42~168,¡º,61,86,40,1.21,40,84
2015-12,118,58~270,«·∂»Œ€»æ,83,115,52,1.717,63,78
2016-01,111,48~236,«·∂»Œ€»æ,80,114,37,1.445,59,56
2016-02,93,37~152,¡º,63,87,37,1.297,50,81
2016-03,86,46~148,¡º,55,80,32,0.884,38,120
2016-04,89,50~158,¡º,61,96,22,0.813,28,109
2016-05,86,60~121,¡º,48,82,28,0.781,33,131
2016-06,72,39~119,¡º,34,48,20,0.85,29,117
2016-07,64,0~100,¡º,35,44,14,1.013,25,110
2016-08,80,45~131,¡º,39,59,17,1.313,24,127
2016-09,71,38~122,¡º,41,68,30,1.317,37,106
2016-10,66,25~149,¡º,43,68,20,1.155,29,61
2016-11,103,40~240,«·∂»Œ€»æ,76,113,30,1.157,35,78
2016-12,158,59~326,÷–∂»Œ€»æ,121,160,39,1.406,47,73
2017-01,143,66~280,«·∂»Œ€»æ,108,160,30,1.39,36,71
2017-02,144,62~266,«·∂»Œ€»æ,107,163,30,1.107,37,97
2017-03,95,44~169,¡º,67,113,28,0.755,33,112
2017-04,88,62~147,¡º,50,99,18,0.8,23,127
2017-05,113,49~398,«·∂»Œ€»æ,47,114,13,0.787,19,146
2017-06,117,46~181,«·∂»Œ€»æ,39,78,13,0.833,20,175
2017-07,82,35~131,¡º,27,60,11,0.945,21,132
2017-08,85,37~124,¡º,28,56,15,1.01,17,140
2017-09,77,32~113,¡º,38,68,18,0.903,24,124
2017-10,89,32~218,¡º,63,92,24,1.071,40,101
2017-11,111,54~198,«·∂»Œ€»æ,81,122,28,1.047,52,86
2017-12,149,60~334,«·∂»Œ€»æ,115,161,30,1.219,56,62
2018-01,144,57~318,«·∂»Œ€»æ,109,149,20,1.119,45,64
2018-02,125,63~376,«·∂»Œ€»æ,92,143,19,0.943,30,79
2018-03,95,55~160,¡º,68,102,15,0.819,29,110
2018-04,97,53~144,¡º,55,131,11,0.663,25,114
