月份,AQI,范围,质量等级,PM2.5,PM10,SO2,CO,NO2,O3
2015-01,55,28~86,良,33,63,17,0.581,26,55
2015-02,58,34~194,良,24,66,10,0.607,23,77
2015-03,55,36~98,良,23,55,7,0.552,16,98
2015-04,54,33~95,良,21,50,5,0.47,13,96
2015-05,40,27~62,优,17,33,5,0.352,10,77
2015-06,48,31~62,优,29,44,6,0.55,11,60
2015-07,53,34~64,良,35,48,6,0.6,11,58
2015-08,55,36~94,良,37,48,5,0.455,10,61
2015-09,40,17~63,优,18,41,7,0.437,10,50
2015-10,56,22~117,良,35,60,12,0.516,18,69
2015-11,55,23~248,良,32,57,13,0.693,25,53
2015-12,49,20~97,优,26,48,14,0.823,31,35
2016-01,51,23~101,良,29,49,14,0.897,25,50
2016-02,46,31~77,优,25,42,13,0.566,23,71
2016-03,45,36~75,优,16,33,9,0.49,16,85
2016-04,49,33~80,优,14,35,7,0.4,14,90
2016-05,51,26~119,良,13,31,15,0.361,13,94
2016-06,32,14~56,优,7,21,11,0.423,10,63
2016-07,34,12~77,优,5,19,6,0.513,4,66
2016-08,24,10~58,优,4,17,6,0.503,8,45
2016-09,28,15~66,优,11,22,5,0.65,11,47
2016-10,38,19~109,优,19,30,6,0.668,13,57
2016-11,55,25~108,良,37,52,9,0.527,24,52
2016-12,57,24~94,良,40,56,12,0.465,25,42
2017-01,72,25~142,良,51,70,13,0.6,27,45
2017-02,45,33~99,优,23,37,10,0.343,17,79
2017-03,45,39~57,优,14,27,7,0.31,14,90
2017-04,51,28~105,良,20,38,9,0.413,10,95
2017-05,63,25~153,良,19,54,8,0.374,9,103
2017-06,39,16~92,优,10,21,7,0.407,9,76
2017-07,41,22~77,优,11,23,8,0.452,9,80
2017-08,32,17~75,优,12,22,7,0.519,7,58
2017-09,27,16~55,优,9,21,6,0.42,8,51
2017-10,46,22~108,优,27,38,8,0.523,16,66
2017-11,57,23~222,良,38,53,9,0.517,18,52
2017-12,52,28~97,良,34,50,11,0.613,23,46
2018-01,59,27~102,良,40,57,14,0.648,23,54
2018-02,54,34~86,良,34,56,11,0.6,20,73
2018-03,59,43~92,良,25,45,8,0.494,16,106
2018-04,57,46~78,良,23,43,5,0.375,9,106
