‘¬∑›,AQI,∑∂Œß,÷ ¡øµ»º∂,PM2.5,PM10,SO2,CO,NO2,O3
2014-12,75,75~75,¡º,53,99,46,3.5,66,45
2015-01,104,49~226,«·∂»Œ€»æ,77,108,38,3.471,51,39
2015-02,85,39~206,¡º,60,91,35,2.757,44,60
2015-03,54,30~82,¡º,29,60,23,1.587,27,75
2015-04,70,44~133,¡º,32,88,12,1.011,22,97
2015-05,61,42~124,¡º,22,64,6,0.887,14,101
2015-06,61,39~90,¡º,19,57,6,0.683,18,106
2015-07,70,43~124,¡º,29,71,6,0.981,26,118
2015-08,60,39~87,¡º,27,65,8,1.239,26,99
2015-09,58,27~108,¡º,29,65,8,0.977,27,81
2015-10,66,22~112,¡º,38,83,14,1.603,36,55
2015-11,80,35~180,¡º,54,82,24,2.773,43,36
2015-12,91,33~140,¡º,64,77,34,3.706,46,44
2016-01,125,43~244,«·∂»Œ€»æ,94,108,35,3.848,55,43
2016-02,101,43~158,«·∂»Œ€»æ,71,95,59,3.445,51,77
2016-03,56,28~76,¡º,29,60,25,1.5,30,76
2016-04,55,37~73,¡º,23,50,11,1.027,25,98
2016-05,60,38~80,¡º,15,40,7,0.926,20,108
2016-06,69,38~104,¡º,20,48,5,0.857,21,120
2016-07,72,45~118,¡º,18,42,4,1.068,19,124
2016-08,67,44~106,¡º,22,61,9,1.281,27,118
2016-09,65,47~81,¡º,27,72,11,1.197,29,100
2016-10,61,29~143,¡º,39,67,23,1.439,38,56
2016-11,96,37~229,¡º,69,91,34,2.417,47,48
2016-12,88,30~228,¡º,64,83,37,3.071,49,34
2017-01,151,55~326,÷–∂»Œ€»æ,117,137,50,4.326,72,52
2017-02,126,44~220,«·∂»Œ€»æ,94,115,44,3.121,56,68
2017-03,69,38~123,¡º,46,74,23,1.574,32,69
2017-04,47,30~70,”≈,22,46,14,1.093,25,83
2017-05,61,42~80,¡º,29,56,13,0.835,23,108
2017-06,66,46~85,¡º,22,46,12,0.877,19,118
2017-07,90,69~113,¡º,26,60,12,0.939,24,148
2017-08,78,55~96,¡º,24,56,11,0.932,26,133
2017-09,74,42~85,¡º,37,91,12,1.08,34,112
2017-10,80,33~125,¡º,53,108,19,1.884,44,76
2017-11,77,35~129,¡º,54,94,28,2.21,44,47
2017-12,124,29~283,«·∂»Œ€»æ,94,128,46,2.965,50,32
2018-01,173,39~276,÷–∂»Œ€»æ,133,165,64,3.748,65,47
2018-02,121,53~208,«·∂»Œ€»æ,91,108,43,2.557,50,80
2018-03,52,29~84,¡º,28,50,19,1.084,24,84
2018-04,76,39~194,¡º,35,96,13,0.738,19,90
