‘¬∑›,AQI,∑∂Œß,÷ ¡øµ»º∂,PM2.5,PM10,SO2,CO,NO2,O3
2013-12,239,71~484,÷ÿ∂»Œ€»æ,189,306,121,3.586,95,30
2014-01,254,95~477,÷ÿ∂»Œ€»æ,202,321,127,3.603,95,35
2014-02,222,52~470,÷ÿ∂»Œ€»æ,175,274,111,3.235,74,48
2014-03,176,68~304,÷–∂»Œ€»æ,127,254,73,3.268,70,74
2014-04,135,84~270,«·∂»Œ€»æ,87,202,31,1.297,39,103
2014-05,122,46~179,«·∂»Œ€»æ,69,193,33,1.152,31,118
2014-06,122,61~216,«·∂»Œ€»æ,72,136,37,1.21,33,167
2014-07,134,60~222,«·∂»Œ€»æ,88,143,32,1.239,32,170
2014-08,133,53~204,«·∂»Œ€»æ,76,131,32,1.142,33,179
2014-09,117,52~196,«·∂»Œ€»æ,82,140,27,1.327,47,124
2014-10,193,56~439,÷–∂»Œ€»æ,148,258,37,1.51,65,70
2014-11,193,61~468,÷–∂»Œ€»æ,149,245,82,2.689,79,44
2014-12,213,57~449,÷ÿ∂»Œ€»æ,168,229,145,4.133,76,38
2015-01,236,86~500,÷ÿ∂»Œ€»æ,191,303,135,4.113,71,35
2015-02,204,68~334,÷ÿ∂»Œ€»æ,159,259,116,3.154,55,59
2015-03,157,70~304,÷–∂»Œ€»æ,110,229,70,1.777,55,85
2015-04,114,52~215,«·∂»Œ€»æ,81,147,35,1.107,44,121
2015-05,108,51~180,«·∂»Œ€»æ,65,114,32,0.855,37,157
2015-06,116,50~178,«·∂»Œ€»æ,61,112,27,0.93,39,175
2015-07,112,64~194,«·∂»Œ€»æ,67,112,27,0.906,31,162
2015-08,105,52~183,«·∂»Œ€»æ,71,128,16,0.903,32,141
2015-09,91,35~212,¡º,62,108,16,0.78,42,113
2015-10,120,42~294,«·∂»Œ€»æ,82,143,28,1.097,65,84
2015-11,140,40~500,«·∂»Œ€»æ,112,155,63,2.32,72,34
2015-12,258,46~440,÷ÿ∂»Œ€»æ,214,294,93,4.652,100,24
2016-01,189,55~430,÷–∂»Œ€»æ,149,208,85,3.448,86,35
2016-02,116,40~233,«·∂»Œ€»æ,83,118,70,2.3,60,71
2016-03,116,52~231,«·∂»Œ€»æ,77,158,53,1.403,64,96
2016-04,112,52~199,«·∂»Œ€»æ,68,160,27,0.847,46,125
2016-05,104,59~200,«·∂»Œ€»æ,65,130,29,0.839,41,144
2016-06,111,51~179,«·∂»Œ€»æ,54,97,24,0.807,38,160
2016-07,105,36~176,«·∂»Œ€»æ,71,107,20,0.89,36,138
2016-08,68,37~124,¡º,38,58,19,0.742,35,107
2016-09,103,43~225,«·∂»Œ€»æ,70,118,23,0.883,45,122
2016-10,128,50~296,«·∂»Œ€»æ,96,149,23,1.148,62,54
2016-11,183,43~332,÷–∂»Œ€»æ,143,217,37,2.03,78,28
2016-12,233,64~438,÷ÿ∂»Œ€»æ,191,243,57,3.768,100,22
2017-01,229,72~500,÷ÿ∂»Œ€»æ,188,248,65,3.245,80,38
2017-02,182,44~404,÷–∂»Œ€»æ,145,200,54,2.007,67,68
2017-03,116,45~264,«·∂»Œ€»æ,85,134,33,1.016,52,99
2017-04,101,60~214,«·∂»Œ€»æ,67,132,28,0.91,47,105
2017-05,143,65~500,«·∂»Œ€»æ,66,176,25,0.865,39,169
2017-06,143,62~203,«·∂»Œ€»æ,53,101,21,0.81,34,205
2017-07,124,54~203,«·∂»Œ€»æ,55,88,14,0.729,26,179
2017-08,103,48~202,«·∂»Œ€»æ,49,75,11,0.635,27,155
2017-09,124,52~203,«·∂»Œ€»æ,66,128,21,0.827,49,173
2017-10,89,32~185,¡º,62,105,14,0.984,50,63
2017-11,107,54~239,«·∂»Œ€»æ,75,134,27,1.223,64,50
2017-12,133,53~374,«·∂»Œ€»æ,99,153,35,1.929,69,46
2018-01,129,51~264,«·∂»Œ€»æ,96,146,37,1.842,68,47
2018-02,119,43~275,«·∂»Œ€»æ,87,130,33,1.421,44,85
2018-03,127,58~300,«·∂»Œ€»æ,90,154,22,1.106,51,109
2018-04,93,40~186,¡º,57,119,18,0.738,38,121
