月份,AQI,范围,质量等级,PM2.5,PM10,SO2,CO,NO2,O3
2014-12,112,112~112,轻度污染,84,120,26,2.8,43,39
2015-01,80,54~140,良,59,76,23,1.326,24,74
2015-02,82,57~155,良,61,61,18,1.482,17,94
2015-03,83,53~143,良,59,70,13,0.671,21,124
2015-04,65,48~88,良,36,57,16,0.56,9,113
2015-05,71,54~99,良,45,61,17,0.597,13,123
2015-06,51,30~103,良,24,44,18,0.487,13,91
2015-07,51,25~92,良,23,38,11,0.626,17,90
2015-08,36,22~60,优,20,36,10,0.745,14,58
2015-09,39,29~52,优,18,33,10,0.657,18,66
2015-10,48,31~64,优,24,46,9,0.697,16,78
2015-11,55,40~71,良,32,61,15,1.067,18,63
2015-12,60,35~78,良,40,67,17,1.652,18,77
2016-01,66,45~94,良,46,70,14,0.887,22,87
2016-02,73,40~197,良,38,68,16,0.769,22,116
2016-03,63,43~102,良,28,56,14,0.723,16,112
2016-04,70,50~102,良,22,57,11,0.55,11,123
2016-05,59,37~87,良,16,44,21,0.694,9,108
2016-06,39,23~77,优,9,26,11,0.327,8,73
2016-07,30,16~60,优,9,24,9,0.519,9,53
2016-08,50,21~80,优,13,33,12,0.371,10,93
2016-09,40,24~69,优,11,32,7,0.457,11,76
2016-10,44,18~70,优,13,28,7,0.968,11,81
2016-11,43,22~63,优,17,34,9,0.96,13,82
2016-12,55,40~72,良,33,57,9,1.81,17,91
2017-01,59,43~82,良,38,60,11,1.645,15,100
2017-02,74,54~102,良,46,67,10,1.046,13,126
2017-03,71,40~92,良,34,56,9,0.742,16,121
2017-04,72,47~133,良,32,54,8,1.117,15,124
2017-05,68,40~100,良,26,46,9,1.029,12,121
2017-06,47,26~92,优,14,29,7,0.973,9,88
2017-07,37,20~67,优,17,34,7,0.935,12,65
2017-08,36,25~67,优,16,31,6,1.113,11,63
2017-09,34,25~52,优,14,30,6,1.12,10,64
2017-10,40,25~63,优,17,36,5,0.958,10,74
2017-11,44,30~59,优,18,40,8,0.773,14,81
2017-12,49,28~67,优,22,50,11,0.719,19,82
2018-01,49,24~74,优,25,45,12,0.629,16,88
2018-02,63,49~80,良,36,60,11,0.582,10,114
2018-03,80,55~99,良,42,73,8,0.755,15,133
2018-04,87,48~102,良,36,68,6,0.7,14,144
