‘¬∑›,AQI,∑∂Œß,÷ ¡øµ»º∂,PM2.5,PM10,SO2,CO,NO2,O3
2013-05,77,48~111,¡º,0,103,30,0,23,0
2013-06,61,42~85,¡º,0,72,40,0,21,0
2013-07,51,32~85,¡º,0,53,34,0,20,0
2013-08,42,32~62,”≈,0,40,35,0,18,0
2013-09,64,38~150,¡º,0,76,38,0,22,0
2013-10,96,57~167,¡º,0,142,56,0,36,0
2013-11,91,57~158,¡º,0,125,44,0,45,0
2013-12,154,68~305,÷–∂»Œ€»æ,102,184,61,1.403,57,54
2014-01,205,102~360,÷ÿ∂»Œ€»æ,161,221,58,1.568,60,59
2014-02,106,39~230,«·∂»Œ€»æ,71,99,30,0.95,31,46
2014-03,106,63~170,«·∂»Œ€»æ,76,124,35,0.89,37,91
2014-04,98,57~156,¡º,59,96,29,0.524,28,108
2014-05,112,59~233,«·∂»Œ€»æ,70,126,25,0.519,21,136
2014-06,130,52~263,«·∂»Œ€»æ,84,94,11,0.58,19,160
2014-07,84,34~155,¡º,52,76,15,0.487,15,126
2014-08,84,36~186,¡º,57,88,26,0.597,26,109
2014-09,82,26~183,¡º,54,79,20,0.753,23,92
2014-10,125,54~249,«·∂»Œ€»æ,92,135,21,0.794,33,105
2014-11,112,57~366,«·∂»Œ€»æ,82,127,21,0.917,43,63
2014-12,104,57~201,«·∂»Œ€»æ,70,135,34,0.868,40,58
2015-01,150,72~272,÷–∂»Œ€»æ,115,170,31,1.181,52,60
2015-02,128,63~203,«·∂»Œ€»æ,93,156,25,1.018,40,81
2015-03,102,67~244,«·∂»Œ€»æ,71,123,19,0.813,31,93
2015-04,98,60~152,¡º,64,100,17,0.71,29,113
2015-05,119,62~237,«·∂»Œ€»æ,85,127,16,0.706,20,132
2015-06,78,28~145,¡º,47,80,15,0.63,17,106
2015-07,66,37~107,¡º,37,63,16,0.584,17,106
2015-08,72,40~111,¡º,34,65,18,0.813,23,120
2015-09,81,44~120,¡º,47,87,17,0.843,29,123
2015-10,104,40~214,«·∂»Œ€»æ,70,117,21,0.894,32,111
2015-11,87,38~186,¡º,64,93,17,0.933,24,48
2015-12,147,50~341,«·∂»Œ€»æ,111,166,19,1.135,47,52
2016-01,148,63~367,«·∂»Œ€»æ,112,164,17,1.342,45,55
2016-02,119,47~240,«·∂»Œ€»æ,83,135,26,1.007,27,95
2016-03,105,49~198,«·∂»Œ€»æ,72,126,18,0.748,33,117
2016-04,77,33~132,¡º,39,81,14,0.76,26,121
2016-05,81,43~141,¡º,39,80,13,0.571,19,129
2016-06,62,29~120,¡º,31,57,15,0.62,16,107
2016-07,51,30~118,¡º,21,41,10,0.503,12,92
2016-08,67,33~124,¡º,37,63,10,0.568,17,102
2016-09,94,44~132,¡º,45,77,14,0.6,27,137
2016-10,59,30~112,¡º,39,62,9,0.661,31,60
2016-11,96,33~267,¡º,72,112,12,0.883,36,57
2016-12,131,68~389,«·∂»Œ€»æ,100,152,21,1.229,46,63
2017-01,129,52~227,«·∂»Œ€»æ,96,146,23,1.181,43,66
2017-02,100,57~175,¡º,73,112,16,0.857,31,92
2017-03,96,62~201,¡º,68,117,18,0.858,37,101
2017-04,83,49~108,¡º,42,78,15,0.883,25,117
2017-05,96,37~290,¡º,39,77,9,0.671,20,139
2017-06,75,36~161,¡º,39,62,9,0.66,17,124
2017-07,58,25~115,¡º,28,52,7,0.577,12,90
2017-08,66,28~132,¡º,30,57,7,0.632,15,115
2017-09,71,29~142,¡º,28,60,9,0.673,20,115
2017-10,68,29~153,¡º,42,76,11,0.671,28,93
2017-11,100,59~230,«·∂»Œ€»æ,71,123,13,0.92,42,85
2017-12,128,56~359,«·∂»Œ€»æ,96,147,14,1.358,43,78
2018-01,125,58~238,«·∂»Œ€»æ,93,143,11,1.265,43,77
2018-02,104,60~183,«·∂»Œ€»æ,74,131,12,1.125,33,94
2018-03,92,58~135,¡º,58,96,12,0.855,26,114
2018-04,95,59~111,¡º,49,124,14,0.7,18,127
