‘¬∑›,AQI,∑∂Œß,÷ ¡øµ»º∂,PM2.5,PM10,SO2,CO,NO2,O3
2014-12,112,112~112,«·∂»Œ€»æ,79,174,37,2.6,32,82
2015-01,112,65~207,«·∂»Œ€»æ,60,144,24,1.613,21,95
2015-02,129,54~353,«·∂»Œ€»æ,55,185,20,1.061,14,60
2015-03,216,53~493,÷ÿ∂»Œ€»æ,89,286,10,0.633,13,83
2015-04,168,50~384,÷–∂»Œ€»æ,75,205,10,0.667,12,108
2015-05,107,44~500,«·∂»Œ€»æ,40,116,7,0.723,8,110
2015-06,101,46~195,«·∂»Œ€»æ,27,110,4,0.877,8,140
2015-07,137,64~485,«·∂»Œ€»æ,46,184,9,0.932,10,115
2015-08,131,50~500,«·∂»Œ€»æ,46,189,7,1.147,10,96
2015-09,95,43~349,¡º,27,127,3,1.127,10,86
2015-10,191,49~500,÷–∂»Œ€»æ,65,281,3,0.9,11,81
2015-11,116,87~154,«·∂»Œ€»æ,51,182,3,1.523,15,74
2015-12,99,58~155,¡º,66,125,5,1.277,17,53
2016-01,134,75~312,«·∂»Œ€»æ,75,203,6,1.497,22,58
2016-02,290,90~500,÷ÿ∂»Œ€»æ,139,425,5,1.286,14,71
2016-03,257,33~500,÷ÿ∂»Œ€»æ,202,190,11,1.277,14,73
2016-04,192,59~500,÷–∂»Œ€»æ,94,242,5,1.1,11,106
2016-05,209,57~500,÷ÿ∂»Œ€»æ,151,523,6,1.226,9,113
2016-06,101,64~407,«·∂»Œ€»æ,29,126,5,1.22,9,126
2016-07,82,50~137,¡º,18,85,5,0.858,11,122
2016-08,69,0~207,¡º,13,58,3,0.981,13,108
2016-09,60,40~128,¡º,16,69,4,1.19,13,91
2016-10,166,55~500,÷–∂»Œ€»æ,53,247,4,1.568,21,85
2016-11,128,48~500,«·∂»Œ€»æ,49,189,3,1.22,22,77
2016-12,123,88~157,«·∂»Œ€»æ,82,185,4,1.606,27,69
2017-01,63,36~114,¡º,36,70,3,1.206,14,80
2017-02,198,48~500,÷–∂»Œ€»æ,56,368,5,1.221,14,90
2017-03,166,56~500,÷–∂»Œ€»æ,54,244,3,0.848,13,121
2017-04,147,75~500,«·∂»Œ€»æ,54,152,5,0.787,15,154
2017-05,152,101~472,÷–∂»Œ€»æ,52,119,5,0.8,11,187
2017-06,86,55~165,¡º,23,77,4,0.817,14,133
2017-07,86,55~170,¡º,16,66,5,0.803,11,139
2017-08,95,28~155,¡º,18,72,6,1.071,7,147
2017-09,124,52~500,«·∂»Œ€»æ,43,149,6,0.893,9,125
2017-10,171,0~491,÷–∂»Œ€»æ,65,239,6,1.094,14,89
2017-11,100,69~191,«·∂»Œ€»æ,45,150,6,1.267,22,89
2017-12,103,58~500,«·∂»Œ€»æ,58,127,3,1.616,19,63
2018-01,144,95~377,«·∂»Œ€»æ,58,228,12,1.245,16,74
2018-02,144,64~292,«·∂»Œ€»æ,49,231,3,1.104,13,93
2018-03,288,66~500,÷ÿ∂»Œ€»æ,131,767,3,0.974,12,109
2018-04,403,98~500,—œ÷ÿŒ€»æ,372,1455,4,0.788,11,108
