‘¬∑›,AQI,∑∂Œß,÷ ¡øµ»º∂,PM2.5,PM10,SO2,CO,NO2,O3
2014-12,72,72~72,¡º,25,95,9,0.2,26,34
2015-01,91,45~187,¡º,65,103,17,0.939,30,49
2015-02,75,28~160,¡º,55,84,10,0.861,12,42
2015-03,70,23~141,¡º,49,77,11,0.723,17,46
2015-04,70,36~102,¡º,49,80,10,0.903,20,57
2015-05,90,51~164,¡º,66,101,7,0.787,16,75
2015-06,56,27~95,¡º,37,55,13,0.747,15,74
2015-07,58,33~119,¡º,40,56,12,0.645,13,62
2015-08,66,38~92,¡º,44,67,19,0.674,15,67
2015-09,64,37~83,¡º,42,74,13,0.533,17,83
2015-10,85,28~147,¡º,62,104,13,0.745,24,79
2015-11,88,23~173,¡º,64,101,14,0.927,18,47
2015-12,143,60~314,«·∂»Œ€»æ,107,170,16,1.048,34,31
2016-01,92,36~198,¡º,67,91,16,1.158,32,36
2016-02,75,27~147,¡º,52,81,16,0.759,26,49
2016-03,82,30~204,¡º,57,88,14,0.955,37,75
2016-04,69,47~112,¡º,42,79,11,0.743,30,109
2016-05,74,45~121,¡º,46,81,11,0.645,25,117
2016-06,68,39~101,¡º,36,61,12,0.68,27,113
2016-07,60,40~82,¡º,31,56,11,0.59,23,104
2016-08,79,45~122,¡º,35,68,11,0.623,34,130
2016-09,87,35~131,¡º,42,59,14,0.67,38,141
2016-10,56,38~103,¡º,32,47,13,0.723,37,68
2016-11,73,38~150,¡º,47,73,16,0.773,49,65
2016-12,96,52~134,¡º,68,105,15,1.019,65,61
2017-01,96,40~189,¡º,69,102,17,1.052,49,68
2017-02,86,48~133,¡º,63,96,15,0.843,41,96
2017-03,82,50~130,¡º,53,90,12,0.732,48,113
2017-04,87,44~112,¡º,44,81,9,0.773,36,129
2017-05,98,45~205,¡º,45,81,8,0.719,31,146
2017-06,87,37~154,¡º,35,64,10,0.607,31,141
2017-07,60,34~100,¡º,26,52,13,0.442,26,105
2017-08,57,31~99,¡º,23,46,14,0.523,24,102
2017-09,65,32~113,¡º,29,56,15,0.653,28,107
2017-10,68,34~135,¡º,42,76,11,0.639,40,96
2017-11,91,47~155,¡º,63,112,7,0.767,53,82
2017-12,107,50~254,«·∂»Œ€»æ,78,124,8,0.89,53,63
2018-01,98,46~179,¡º,71,104,8,0.868,37,85
2018-02,80,37~129,¡º,56,93,9,0.775,32,89
2018-03,74,44~114,¡º,45,75,7,0.665,32,116
2018-04,86,53~104,¡º,45,96,6,0.6,30,127
