‘¬∑›,AQI,∑∂Œß,÷ ¡øµ»º∂,PM2.5,PM10,SO2,CO,NO2,O3
2014-12,178,178~178,÷–∂»Œ€»æ,135,211,33,1,33,44
2015-01,99,49~173,¡º,74,99,21,0.961,27,33
2015-02,80,55~163,¡º,59,86,20,0.921,23,45
2015-03,77,42~123,¡º,55,89,13,0.713,23,40
2015-04,64,36~99,¡º,42,73,11,0.603,29,56
2015-05,59,24~108,¡º,39,66,11,0.471,25,70
2015-06,43,25~72,”≈,25,44,9,0.437,21,58
2015-07,56,24~84,¡º,35,61,10,0.481,28,67
2015-08,54,23~93,¡º,34,60,13,0.565,29,49
2015-09,46,27~94,”≈,27,45,12,0.533,26,59
2015-10,60,29~110,¡º,41,66,16,0.655,25,70
2015-11,59,38~102,¡º,39,65,17,0.76,25,65
2015-12,63,29~182,¡º,43,66,25,0.877,28,58
2016-01,74,36~122,¡º,53,85,26,1.094,30,63
2016-02,81,47~199,¡º,58,86,15,0.962,24,66
2016-03,73,29~113,¡º,50,89,12,0.903,28,66
2016-04,61,36~94,¡º,37,73,11,0.757,29,63
2016-05,59,26~79,¡º,33,70,12,0.632,23,72
2016-06,47,27~62,”≈,21,48,17,0.64,22,65
2016-07,48,26~59,”≈,20,49,22,0.558,23,77
2016-08,56,33~77,¡º,31,61,25,0.787,30,88
2016-09,62,36~89,¡º,39,71,23,0.82,32,72
2016-10,57,32~80,¡º,34,65,17,0.742,24,56
2016-11,68,35~99,¡º,47,81,24,0.84,33,60
2016-12,89,35~142,¡º,66,98,26,1.155,29,52
2017-01,71,40~139,¡º,51,74,24,1.055,27,53
2017-02,76,43~123,¡º,55,80,22,0.839,22,65
2017-03,78,46~153,¡º,56,88,19,0.945,28,89
2017-04,70,39~110,¡º,45,88,16,0.777,25,105
2017-05,64,40~94,¡º,32,69,15,0.594,23,108
2017-06,50,31~79,¡º,25,50,17,0.65,24,85
2017-07,47,25~78,”≈,22,51,16,0.516,24,76
2017-08,49,26~70,”≈,22,54,16,0.59,23,75
2017-09,52,34~79,¡º,30,57,17,0.513,20,67
2017-10,49,29~99,”≈,31,51,19,0.613,24,53
2017-11,76,33~125,¡º,54,87,23,0.823,27,71
2017-12,83,38~217,¡º,59,95,33,1.103,35,65
2018-01,72,34~117,¡º,50,80,29,1.01,28,74
2018-02,79,34~113,¡º,58,81,29,1.004,23,81
2018-03,74,38~139,¡º,50,86,20,0.832,25,92
2018-04,68,39~94,¡º,40,80,18,0.675,19,96
