‘¬∑›,AQI,∑∂Œß,÷ ¡øµ»º∂,PM2.5,PM10,SO2,CO,NO2,O3
2014-12,62,62~62,¡º,45,70,11,0.5,30,109
2015-01,60,29~113,¡º,40,62,29,0.965,29,85
2015-02,56,41~73,¡º,29,51,29,0.986,20,104
2015-03,72,53~99,¡º,27,49,22,0.99,18,126
2015-04,63,35~88,¡º,19,35,27,1.043,18,114
2015-05,79,44~101,¡º,21,37,23,0.99,18,134
2015-06,57,41~93,¡º,17,30,24,0.92,17,107
2015-07,66,38~105,¡º,24,38,25,0.981,19,117
2015-08,55,35~89,¡º,22,35,19,0.739,19,99
2015-09,42,26~60,”≈,23,36,19,0.907,21,71
2015-10,51,32~84,¡º,30,49,28,0.99,22,88
2015-11,53,35~78,¡º,28,51,32,1.35,28,90
2015-12,55,39~112,¡º,33,53,29,1.281,27,70
2016-01,57,38~83,¡º,36,57,29,1.219,26,94
2016-02,55,36~109,¡º,30,44,25,1.234,19,92
2016-03,63,46~84,¡º,21,39,24,1.223,21,115
2016-04,61,39~83,¡º,20,36,25,0.943,21,110
2016-05,68,36~101,¡º,22,39,22,1,19,120
2016-06,56,29~95,¡º,19,31,28,1.007,18,96
2016-07,44,23~95,”≈,20,34,27,0.984,18,79
2016-08,61,36~106,¡º,23,34,30,0.881,17,108
2016-09,51,32~80,¡º,24,37,45,1.09,21,71
2016-10,53,25~82,¡º,27,43,34,0.871,22,81
2016-11,47,29~65,”≈,26,42,32,0.957,26,79
2016-12,57,30~93,¡º,38,57,32,0.913,31,70
2017-01,56,34~85,¡º,34,53,27,0.897,28,95
2017-02,54,35~69,¡º,29,49,23,0.85,25,97
2017-03,63,39~80,¡º,20,36,18,0.703,23,112
2017-04,67,40~115,¡º,22,39,16,0.807,23,117
2017-05,68,35~99,¡º,22,38,17,0.768,21,117
2017-06,55,30~93,¡º,20,32,13,0.717,20,100
2017-07,62,25~123,¡º,25,39,17,0.835,21,107
2017-08,52,29~102,¡º,17,27,12,0.694,16,96
2017-09,40,24~64,”≈,16,25,14,0.763,19,76
2017-10,35,22~55,”≈,18,27,15,0.755,22,62
2017-11,44,28~62,”≈,25,40,18,0.987,30,74
2017-12,53,27~88,¡º,35,54,17,1.029,31,74
2018-01,57,30~92,¡º,31,49,18,0.948,29,89
2018-02,62,39~108,¡º,29,44,16,1.118,21,101
2018-03,71,48~95,¡º,21,34,18,1.074,19,124
2018-04,72,41~90,¡º,19,36,18,0.988,18,124
