‘¬∑›,AQI,∑∂Œß,÷ ¡øµ»º∂,PM2.5,PM10,SO2,CO,NO2,O3
2013-12,100,23~291,«·∂»Œ€»æ,73,97,37,1.73,56,38
2014-01,125,26~402,«·∂»Œ€»æ,94,123,51,1.948,65,37
2014-02,184,33~428,÷–∂»Œ€»æ,148,155,56,2.171,69,42
2014-03,130,35~319,«·∂»Œ€»æ,94,138,34,1.39,62,83
2014-04,127,65~279,«·∂»Œ€»æ,89,145,16,0.927,57,129
2014-05,107,46~205,«·∂»Œ€»æ,61,118,15,0.839,47,149
2014-06,116,50~179,«·∂»Œ€»æ,54,74,6,0.79,39,168
2014-07,140,39~252,«·∂»Œ€»æ,89,100,6,0.939,39,170
2014-08,120,46~200,«·∂»Œ€»æ,62,88,5,0.839,43,172
2014-09,99,43~200,¡º,65,88,6,0.983,49,106
2014-10,154,28~381,÷–∂»Œ€»æ,118,148,9,1.339,70,54
2014-11,117,29~342,«·∂»Œ€»æ,86,127,16,1.567,65,37
2014-12,86,21~267,¡º,58,95,28,1.552,53,42
2015-01,126,28~378,«·∂»Œ€»æ,97,120,34,1.91,66,39
2015-02,127,36~334,«·∂»Œ€»æ,93,114,26,1.457,51,60
2015-03,127,40~281,«·∂»Œ€»æ,86,146,20,1.194,53,87
2015-04,107,38~212,«·∂»Œ€»æ,71,118,9,0.76,43,124
2015-05,105,42~203,«·∂»Œ€»æ,55,97,8,0.745,37,153
2015-06,111,35~231,«·∂»Œ€»æ,60,70,6,1.303,35,156
2015-07,122,41~200,«·∂»Œ€»æ,61,74,4,0.823,35,177
2015-08,104,37~202,«·∂»Œ€»æ,45,66,3,0.79,31,159
2015-09,83,34~201,¡º,50,59,5,0.837,43,109
2015-10,106,27~344,«·∂»Œ€»æ,74,86,6,0.955,55,74
2015-11,153,37~450,÷–∂»Œ€»æ,119,85,12,1.983,62,25
2015-12,187,23~485,÷–∂»Œ€»æ,152,172,20,2.865,76,26
2016-01,97,32~316,¡º,68,88,20,1.584,53,42
2016-02,71,34~238,¡º,44,59,15,0.903,35,68
2016-03,132,37~365,«·∂»Œ€»æ,93,136,18,1.229,57,79
2016-04,106,43~209,«·∂»Œ€»æ,69,118,10,0.803,44,116
2016-05,111,49~234,«·∂»Œ€»æ,54,90,8,0.665,38,160
2016-06,126,50~189,«·∂»Œ€»æ,59,70,5,0.767,35,183
2016-07,118,40~177,«·∂»Œ€»æ,69,74,3,0.916,33,159
2016-08,94,34~179,¡º,47,60,3,0.832,35,135
2016-09,86,0~211,¡º,55,73,3,0.76,43,104
2016-10,116,29~292,«·∂»Œ€»æ,85,101,4,1.155,56,47
2016-11,133,28~315,«·∂»Œ€»æ,100,134,11,1.797,68,28
2016-12,168,54~431,÷–∂»Œ€»æ,133,159,17,2.51,80,28
2017-01,147,34~470,«·∂»Œ€»æ,114,146,18,2.158,64,41
2017-02,101,37~295,«·∂»Œ€»æ,70,85,18,1.282,53,65
2017-03,95,40~272,¡º,63,89,11,0.861,49,85
2017-04,89,41~165,¡º,53,108,7,0.667,48,100
2017-05,135,54~500,«·∂»Œ€»æ,59,137,7,0.642,36,159
2017-06,123,51~199,«·∂»Œ€»æ,42,78,6,0.73,38,181
2017-07,116,40~205,«·∂»Œ€»æ,52,77,3,0.839,34,170
2017-08,84,35~155,¡º,38,58,3,0.758,35,128
2017-09,97,39~185,¡º,57,98,4,0.88,49,120
2017-10,84,25~220,¡º,57,67,3,0.874,45,46
2017-11,75,30~202,¡º,45,73,5,0.86,49,45
2017-12,76,27~225,¡º,44,66,8,0.984,49,42
2018-01,66,29~175,¡º,34,64,8,0.832,42,52
2018-02,81,36~219,¡º,50,74,10,0.857,34,76
2018-03,135,46~500,«·∂»Œ€»æ,90,130,10,1.087,58,88
2018-04,112,43~272,«·∂»Œ€»æ,70,112,6,0.725,39,104
