‘¬∑›,AQI,∑∂Œß,÷ ¡øµ»º∂,PM2.5,PM10,SO2,CO,NO2,O3
2013-12,116,34~210,«·∂»Œ€»æ,85,121,19,1.37,25,111
2014-01,110,61~198,«·∂»Œ€»æ,81,117,17,1.581,20,123
2014-02,61,36~139,¡º,37,64,9,1.236,9,73
2014-03,53,26~75,¡º,28,58,11,0.99,8,63
2014-04,53,34~99,¡º,21,51,13,1.143,7,87
2014-05,52,29~77,¡º,14,46,12,1.281,11,94
2014-06,45,32~106,”≈,11,40,10,1.063,9,84
2014-07,40,29~62,”≈,10,34,11,1.027,8,71
2014-08,37,24~79,”≈,6,27,11,1.106,11,70
2014-09,46,24~82,”≈,17,35,8,1.023,12,86
2014-10,84,41~138,¡º,49,81,13,1.171,15,134
2014-11,64,18~117,¡º,39,63,12,1.163,15,94
2014-12,77,29~126,¡º,56,81,18,1.377,24,92
2015-01,78,24~146,¡º,56,80,13,1.281,22,105
2015-02,83,30~161,¡º,60,75,7,1.1,17,96
2015-03,56,33~89,¡º,32,49,6,1.081,15,85
2015-04,64,24~121,¡º,31,53,7,1.023,15,107
2015-05,52,38~73,¡º,14,35,6,0.965,12,101
2015-06,41,26~53,”≈,9,29,8,0.943,10,82
2015-07,46,25~80,”≈,15,35,8,0.906,9,88
2015-08,56,27~115,¡º,17,40,9,0.968,9,100
2015-09,44,32~74,”≈,20,36,9,1.143,12,81
2015-10,62,32~103,¡º,41,63,12,1.032,16,99
2015-11,49,30~83,”≈,27,46,10,1.14,14,81
2015-12,50,26~149,¡º,33,48,11,1.11,17,65
2016-01,55,28~97,¡º,37,50,9,1.123,19,69
2016-02,71,28~176,¡º,51,66,9,0.959,15,79
2016-03,59,34~110,¡º,38,56,9,0.987,16,91
2016-04,61,38~90,¡º,29,49,8,0.95,11,108
2016-05,63,38~118,¡º,18,38,7,0.881,9,113
2016-06,43,31~60,”≈,10,26,6,0.807,6,86
2016-07,35,23~50,”≈,10,30,8,0.594,7,68
2016-08,44,32~76,”≈,16,32,8,0.7,10,84
2016-09,60,27~103,¡º,25,43,11,0.75,12,108
2016-10,67,30~102,¡º,29,46,12,0.748,12,117
2016-11,53,20~110,¡º,25,40,11,0.743,14,95
2016-12,78,53~109,¡º,49,70,12,1.113,19,126
2017-01,78,35~130,¡º,49,63,9,1.268,16,117
2017-02,68,44~104,¡º,43,58,9,1.189,13,109
2017-03,55,30~105,¡º,32,52,8,1.19,13,86
2017-04,52,33~99,¡º,25,41,8,1.033,12,93
2017-05,48,24~116,”≈,20,34,8,0.897,10,91
2017-06,42,29~88,”≈,8,29,7,0.81,9,81
2017-07,32,20~64,”≈,7,27,8,0.79,9,62
2017-08,32,20~50,”≈,7,28,7,0.613,10,61
2017-09,38,25~55,”≈,12,31,8,0.74,12,75
2017-10,62,26~176,¡º,29,50,11,1.084,14,108
2017-11,63,25~144,¡º,38,59,10,1.137,18,92
2017-12,85,28~148,¡º,61,83,14,1.181,24,104
2018-01,76,33~133,¡º,52,69,12,1.206,22,102
2018-02,77,28~178,¡º,55,74,10,0.954,17,86
2018-03,61,30~117,¡º,28,50,9,0.81,14,107
2018-04,62,45~95,¡º,29,67,10,1,14,96
