‘¬∑›,AQI,∑∂Œß,÷ ¡øµ»º∂,PM2.5,PM10,SO2,CO,NO2,O3
2014-12,76,76~76,¡º,23,101,22,1,28,86
2015-01,109,57~256,«·∂»Œ€»æ,81,119,43,0.874,52,52
2015-02,98,61~163,¡º,72,113,28,0.739,38,65
2015-03,93,48~206,¡º,67,105,19,0.916,35,77
2015-04,65,36~124,¡º,40,78,23,0.817,30,78
2015-05,71,45~138,¡º,44,83,20,0.842,22,93
2015-06,64,29~117,¡º,40,67,16,0.997,19,73
2015-07,65,39~106,¡º,42,69,22,1.039,17,99
2015-08,59,29~87,¡º,37,60,25,0.955,16,92
2015-09,74,31~138,¡º,51,79,22,1.34,18,90
2015-10,84,37~173,¡º,57,96,33,1.594,21,70
2015-11,63,31~109,¡º,43,61,23,1.197,23,31
2015-12,103,47~189,«·∂»Œ€»æ,74,115,42,1.271,28,32
2016-01,134,42~274,«·∂»Œ€»æ,99,146,25,1.668,38,65
2016-02,85,37~170,¡º,56,100,17,1.303,29,74
2016-03,96,46~175,¡º,67,119,25,1.313,36,82
2016-04,70,46~122,¡º,46,81,20,1.377,25,89
2016-05,65,28~117,¡º,36,72,18,1.206,19,97
2016-06,59,34~91,¡º,29,53,21,1.187,16,102
2016-07,55,34~78,¡º,29,48,15,1.206,12,93
2016-08,62,30~92,¡º,39,58,10,0.916,20,102
2016-09,75,40~108,¡º,48,70,14,1.297,32,106
2016-10,51,30~100,¡º,32,47,12,1.226,29,53
2016-11,74,32~198,¡º,52,77,13,1.43,37,39
2016-12,109,55~251,«·∂»Œ€»æ,82,109,16,1.452,45,38
2017-01,104,44~226,«·∂»Œ€»æ,76,101,17,1.51,36,47
2017-02,82,44~127,¡º,59,79,18,1.393,36,65
2017-03,75,40~145,¡º,53,72,20,1.274,37,86
2017-04,69,41~109,¡º,39,69,18,1.153,31,98
2017-05,69,38~100,¡º,34,55,21,0.977,24,116
2017-06,78,44~120,¡º,39,55,19,0.89,25,130
2017-07,74,42~128,¡º,31,45,16,0.852,21,126
2017-08,68,34~110,¡º,33,49,14,0.929,23,116
2017-09,52,34~95,¡º,28,44,14,1.007,27,83
2017-10,47,25~83,”≈,28,42,15,0.942,32,50
2017-11,72,40~149,¡º,50,76,18,1.047,44,59
2017-12,95,59~201,¡º,69,100,23,1.197,57,50
2018-01,102,50~175,«·∂»Œ€»æ,75,98,22,1.274,45,62
2018-02,87,42~165,¡º,60,99,20,1.2,37,69
2018-03,78,37~125,¡º,55,89,14,1.042,36,92
2018-04,76,50~99,¡º,38,93,12,0.95,26,108
