‘¬∑›,AQI,∑∂Œß,÷ ¡øµ»º∂,PM2.5,PM10,SO2,CO,NO2,O3
2013-12,195,61~386,÷–∂»Œ€»æ,155,243,61,1.62,87,37
2014-01,166,65~347,÷–∂»Œ€»æ,129,201,46,1.374,73,56
2014-02,105,24~242,«·∂»Œ€»æ,78,109,24,1.021,44,66
2014-03,107,55~256,«·∂»Œ€»æ,75,141,33,0.826,62,107
2014-04,93,47~144,¡º,60,108,22,0.697,53,125
2014-05,134,70~270,«·∂»Œ€»æ,85,172,26,0.887,56,177
2014-06,130,49~216,«·∂»Œ€»æ,90,128,20,0.813,45,161
2014-07,98,35~169,¡º,65,92,13,0.816,36,128
2014-08,59,26~126,¡º,42,59,11,0.758,31,64
2014-09,77,36~142,¡º,51,82,13,0.733,37,105
2014-10,96,60~176,¡º,67,120,17,0.79,54,105
2014-11,111,37~243,«·∂»Œ€»æ,82,132,21,1.037,60,58
2014-12,98,65~148,¡º,63,136,30,1.065,58,41
2015-01,129,46~281,«·∂»Œ€»æ,96,154,30,1.313,66,40
2015-02,101,29~212,«·∂»Œ€»æ,73,115,21,1.175,44,70
2015-03,83,31~186,¡º,56,96,20,1.113,49,83
2015-04,87,44~153,¡º,50,95,20,0.92,56,123
2015-05,95,45~145,¡º,52,90,18,0.887,47,141
2015-06,89,28~185,¡º,46,77,14,0.863,39,132
2015-07,77,28~146,¡º,36,64,12,0.713,36,117
2015-08,93,30~166,¡º,33,65,14,0.745,38,147
2015-09,84,50~145,¡º,30,62,15,0.733,44,138
2015-10,92,42~201,¡º,56,112,22,0.932,61,119
2015-11,84,39~190,¡º,57,88,17,1.087,53,59
2015-12,131,60~241,«·∂»Œ€»æ,94,143,25,1.21,65,49
2016-01,111,47~234,«·∂»Œ€»æ,79,124,26,1.345,58,58
2016-02,100,47~153,«·∂»Œ€»æ,69,116,22,1.345,47,93
2016-03,110,42~200,«·∂»Œ€»æ,77,133,21,1.216,57,95
2016-04,86,41~143,¡º,45,89,18,0.993,45,131
2016-05,97,51~235,¡º,43,88,15,1.039,37,141
2016-06,80,43~152,¡º,37,62,17,0.94,34,124
2016-07,76,34~140,¡º,30,56,18,1.006,30,115
2016-08,97,39~203,¡º,26,54,16,0.829,31,152
2016-09,102,32~179,«·∂»Œ€»æ,33,67,14,0.817,37,154
2016-10,56,33~109,¡º,25,47,11,1.019,39,74
2016-11,72,30~123,¡º,43,84,18,1.227,51,64
2016-12,96,40~158,¡º,66,113,23,1.306,65,75
2017-01,89,47~206,¡º,59,96,20,1.19,51,72
2017-02,86,46~128,¡º,60,95,20,1.229,53,91
2017-03,77,54~114,¡º,47,90,18,1.119,54,103
2017-04,92,45~122,¡º,42,94,18,1.17,51,133
2017-05,110,34~194,«·∂»Œ€»æ,35,89,18,0.994,45,157
2017-06,107,40~197,«·∂»Œ€»æ,31,61,13,0.88,37,162
2017-07,79,33~145,¡º,18,46,13,0.945,34,126
2017-08,63,35~126,¡º,16,40,12,0.916,33,110
2017-09,71,35~137,¡º,26,49,10,0.887,40,110
2017-10,64,32~127,¡º,31,56,10,0.723,43,96
2017-11,82,46~125,¡º,49,104,19,0.873,60,69
2017-12,109,52~304,«·∂»Œ€»æ,77,131,18,1.081,67,51
2018-01,124,37~271,«·∂»Œ€»æ,90,123,14,1.074,61,56
2018-02,86,34~183,¡º,59,99,13,0.864,47,74
2018-03,74,41~112,¡º,48,86,13,0.745,52,95
2018-04,81,53~104,¡º,43,105,13,0.675,47,118
