‘¬∑›,AQI,∑∂Œß,÷ ¡øµ»º∂,PM2.5,PM10,SO2,CO,NO2,O3
2013-12,148,30~204,«·∂»Œ€»æ,111,162,41,1.577,63,97
2014-01,147,66~250,«·∂»Œ€»æ,112,162,35,1.532,57,93
2014-02,72,24~157,¡º,52,72,15,1.225,34,58
2014-03,69,33~116,¡º,49,78,15,1.306,40,42
2014-04,61,41~94,¡º,38,70,14,1.16,32,67
2014-05,61,35~95,¡º,33,64,13,1.074,29,93
2014-06,57,29~125,¡º,29,57,13,0.937,26,93
2014-07,44,19~69,”≈,21,47,12,0.829,25,67
2014-08,50,27~90,¡º,21,53,11,0.771,27,76
2014-09,56,27~108,¡º,33,63,12,0.86,29,91
2014-10,95,41~167,¡º,70,113,18,1.013,44,124
2014-11,71,22~147,¡º,49,84,15,0.96,41,64
2014-12,97,29~182,¡º,71,120,24,1.065,50,73
2015-01,96,30~207,¡º,71,112,18,1.165,46,80
2015-02,99,35~211,¡º,73,97,13,1.1,36,65
2015-03,56,23~115,¡º,39,59,10,1.003,30,57
2015-04,68,33~112,¡º,43,82,13,0.947,31,102
2015-05,53,32~79,¡º,28,56,9,0.829,25,88
2015-06,43,28~56,”≈,19,43,8,0.697,21,75
2015-07,53,19~106,¡º,29,57,11,0.79,26,88
2015-08,58,24~98,¡º,34,68,13,0.803,29,88
2015-09,49,27~89,”≈,29,53,11,0.903,27,75
2015-10,79,33~127,¡º,53,105,18,1.039,41,98
2015-11,56,33~92,¡º,34,61,13,1.043,34,52
2015-12,62,31~128,¡º,41,67,15,1.003,38,40
2016-01,63,35~110,¡º,43,70,13,1.216,40,40
2016-02,82,28~285,¡º,60,89,16,1.014,32,72
2016-03,68,40~113,¡º,47,80,12,1.055,38,56
2016-04,61,37~103,¡º,38,66,9,0.913,29,83
2016-05,52,34~89,¡º,27,54,10,0.829,26,79
2016-06,43,27~64,”≈,17,37,8,0.723,22,79
2016-07,40,23~75,”≈,19,41,9,0.694,21,67
2016-08,49,23~91,”≈,27,49,10,0.752,26,88
2016-09,62,25~101,¡º,39,66,14,0.793,31,101
2016-10,59,29~94,¡º,36,62,15,0.852,32,91
2016-11,49,27~75,”≈,29,51,13,0.89,35,61
2016-12,79,38~130,¡º,57,91,19,1.074,50,75
2017-01,82,30~186,¡º,59,84,14,1.235,39,65
2017-02,67,35~120,¡º,47,67,15,1.114,31,75
2017-03,53,29~95,¡º,33,52,11,1.19,35,49
2017-04,55,37~89,¡º,32,57,11,1.023,32,81
2017-05,51,30~91,¡º,28,50,9,0.935,34,87
2017-06,41,28~70,”≈,19,38,8,0.903,27,69
2017-07,44,24~92,”≈,23,43,8,0.968,28,75
2017-08,43,27~85,”≈,19,39,8,0.939,28,72
2017-09,49,30~77,”≈,24,45,9,0.957,30,89
2017-10,59,30~119,¡º,35,58,11,1.016,34,97
2017-11,71,33~128,¡º,48,76,12,1.14,46,69
2017-12,82,43~150,¡º,58,86,19,1.194,55,75
2018-01,80,33~172,¡º,54,82,14,1.294,51,64
2018-02,73,28~144,¡º,52,72,12,1.104,36,80
2018-03,64,42~95,¡º,40,65,11,1,40,91
2018-04,75,40~103,¡º,39,86,13,0.888,36,114
