月份,AQI,范围,质量等级,PM2.5,PM10,SO2,CO,NO2,O3
2014-12,63,63~63,良,45,65,30,1.3,10,64
2015-01,64,26~111,良,45,66,23,1.503,13,74
2015-02,62,29~116,良,42,61,17,1.546,14,76
2015-03,47,20~84,优,25,43,18,1.316,12,79
2015-04,60,25~105,良,31,53,20,1.163,14,102
2015-05,53,37~78,良,21,50,12,0.852,14,80
2015-06,40,24~72,优,18,36,6,0.643,9,70
2015-07,34,19~81,优,19,27,11,0.71,9,63
2015-08,38,18~84,优,20,29,14,0.832,12,72
2015-09,51,24~102,良,24,35,16,0.863,12,91
2015-10,50,23~107,优,29,40,17,0.977,12,86
2015-11,37,23~59,优,22,31,15,1.03,20,47
2015-12,39,22~62,优,23,33,16,1.087,20,41
2016-01,40,24~68,优,23,36,16,1.116,21,44
2016-02,48,24~140,优,30,42,14,0.979,14,72
2016-03,57,26~98,良,37,45,7,1.081,23,81
2016-04,52,29~86,良,26,37,7,1.327,20,87
2016-05,50,30~87,优,25,34,8,1.158,15,89
2016-06,35,24~50,优,16,29,7,0.997,13,66
2016-07,47,19~86,优,21,38,9,0.881,13,87
2016-08,47,27~93,优,22,37,10,0.945,13,89
2016-09,51,21~84,良,25,40,12,0.903,15,90
2016-10,36,25~60,优,19,32,12,0.794,17,63
2016-11,38,20~60,优,23,37,16,0.78,22,54
2016-12,56,26~113,良,38,54,19,0.926,29,64
2017-01,51,25~169,良,34,47,12,0.955,22,60
2017-02,46,24~74,优,30,41,12,0.921,23,77
2017-03,45,21~82,优,26,40,11,0.881,24,67
2017-04,59,27~95,良,27,44,10,0.82,22,100
2017-05,56,31~122,良,22,39,10,0.729,18,104
2017-06,35,23~62,优,13,25,8,0.82,14,66
2017-07,42,17~103,优,14,29,7,0.661,13,80
2017-08,46,20~75,优,17,32,8,0.71,12,89
2017-09,58,33~110,良,21,36,9,0.693,16,106
2017-10,58,31~95,良,23,37,10,0.677,17,105
2017-11,47,18~87,优,26,39,12,0.74,22,77
2017-12,57,18~82,良,38,51,14,0.752,31,79
2018-01,45,18~93,优,29,39,11,0.784,26,69
2018-02,61,20~276,良,41,50,11,0.689,18,80
2018-03,54,32~75,良,27,42,10,0.719,21,93
2018-04,64,44~80,良,33,62,9,0.65,20,113
