‘¬∑›,AQI,∑∂Œß,÷ ¡øµ»º∂,PM2.5,PM10,SO2,CO,NO2,O3
2013-12,135,15~305,«·∂»Œ€»æ,103,151,57,1.437,56,51
2014-01,137,44~335,«·∂»Œ€»æ,104,150,37,1.394,45,55
2014-02,52,10~98,¡º,36,54,18,0.929,23,46
2014-03,62,16~101,¡º,42,74,21,0.952,30,63
2014-04,59,32~105,¡º,40,68,22,1.053,26,81
2014-05,81,35~158,¡º,56,98,24,1.071,29,90
2014-06,74,23~164,¡º,47,76,23,1.203,25,99
2014-07,58,25~107,¡º,33,64,20,1.039,25,87
2014-08,58,32~81,¡º,31,59,20,0.948,25,97
2014-09,70,33~145,¡º,44,75,24,0.957,26,103
2014-10,104,37~213,«·∂»Œ€»æ,76,108,27,1.081,37,110
2014-11,76,15~162,¡º,55,79,22,1.017,34,48
2014-12,68,30~108,¡º,48,59,32,0.852,36,39
2015-01,91,14~204,¡º,67,102,28,1.194,42,39
2015-02,72,20~134,¡º,52,82,15,1,29,51
2015-03,54,23~78,¡º,34,60,15,0.958,29,46
2015-04,61,27~93,¡º,33,72,20,0.9,31,83
2015-05,75,38~159,¡º,45,81,30,1.116,27,112
2015-06,59,32~91,¡º,24,51,29,0.977,24,102
2015-07,55,32~117,¡º,27,59,24,0.929,21,94
2015-08,67,29~96,¡º,30,75,29,0.887,23,109
2015-09,63,28~99,¡º,32,62,27,0.75,22,104
2015-10,79,29~142,¡º,53,94,30,0.706,34,93
2015-11,53,24~109,¡º,32,53,24,0.887,32,56
2015-12,96,33~214,¡º,68,99,23,1.006,40,49
2016-01,85,35~204,¡º,59,91,17,1,40,51
2016-02,95,41~315,¡º,67,106,19,0.914,35,96
2016-03,98,41~180,¡º,69,119,24,1.065,48,99
2016-04,63,35~122,¡º,34,68,16,0.937,35,95
2016-05,60,36~91,¡º,30,63,15,0.919,28,97
2016-06,60,28~96,¡º,22,49,14,0.807,21,106
2016-07,59,25~104,¡º,23,56,17,0.752,20,102
2016-08,64,33~102,¡º,23,52,10,0.803,18,112
2016-09,70,24~118,¡º,35,75,14,0.887,26,111
2016-10,56,28~85,¡º,29,59,14,1.023,30,70
2016-11,67,28~140,¡º,43,79,18,1.19,41,56
2016-12,107,37~233,«·∂»Œ€»æ,79,128,22,1.429,52,63
2017-01,100,33~231,«·∂»Œ€»æ,74,114,18,1.31,38,61
2017-02,88,27~156,¡º,63,109,16,1.207,39,81
2017-03,66,35~110,¡º,37,76,12,1.029,39,76
2017-04,78,33~123,¡º,39,94,19,1.127,46,115
2017-05,93,39~144,¡º,37,86,16,1.145,38,143
2017-06,52,30~115,¡º,18,38,10,0.9,27,91
2017-07,65,29~110,¡º,26,60,16,0.897,26,110
2017-08,53,32~77,¡º,18,45,14,0.987,23,97
2017-09,67,30~117,¡º,27,58,12,1.063,25,113
2017-10,60,24~114,¡º,33,61,12,1.068,31,100
2017-11,94,38~207,¡º,67,108,16,1.227,57,72
2017-12,87,40~158,¡º,60,100,17,1.139,56,64
2018-01,73,32~148,¡º,48,76,13,1.158,46,48
2018-02,73,25~114,¡º,47,84,10,1.157,40,74
2018-03,69,32~123,¡º,38,78,11,1.158,49,84
2018-04,70,38~98,¡º,35,92,14,0.963,43,99
