‘¬∑›,AQI,∑∂Œß,÷ ¡øµ»º∂,PM2.5,PM10,SO2,CO,NO2,O3
2013-12,169,43~336,÷–∂»Œ€»æ,132,185,54,1.273,58,60
2014-01,126,45~290,«·∂»Œ€»æ,94,133,33,0.945,43,72
2014-02,86,35~246,¡º,61,79,15,0.761,21,85
2014-03,97,45~205,¡º,70,112,32,0.771,44,97
2014-04,82,52~138,¡º,55,83,22,0.637,38,118
2014-05,109,58~243,«·∂»Œ€»æ,74,129,33,0.832,49,147
2014-06,90,37~208,¡º,62,83,17,0.617,28,124
2014-07,86,41~158,¡º,50,71,21,0.648,30,124
2014-08,70,36~169,¡º,41,62,19,0.645,24,114
2014-09,66,37~115,¡º,37,59,20,0.593,22,113
2014-10,86,56~147,¡º,52,88,26,0.661,39,123
2014-11,91,43~192,¡º,66,100,30,0.76,47,90
2014-12,104,52~220,«·∂»Œ€»æ,75,129,49,1.032,53,55
2015-01,127,34~271,«·∂»Œ€»æ,96,135,42,1.135,47,60
2015-02,97,37~243,¡º,70,105,23,0.907,33,83
2015-03,85,40~196,¡º,58,90,31,0.961,39,99
2015-04,84,45~152,¡º,55,93,33,0.97,42,124
2015-05,80,45~148,¡º,41,71,25,0.587,28,132
2015-06,92,41~177,¡º,47,76,27,0.733,33,141
2015-07,83,35~190,¡º,43,64,28,0.752,31,131
2015-08,80,26~202,¡º,38,55,26,0.655,25,129
2015-09,75,44~183,¡º,35,52,24,0.597,26,127
2015-10,91,49~172,¡º,58,94,34,0.806,41,131
2015-11,79,36~162,¡º,57,78,24,0.81,40,76
2015-12,115,49~254,«·∂»Œ€»æ,85,123,34,0.987,48,62
2016-01,101,34~209,«·∂»Œ€»æ,73,106,36,0.961,40,73
2016-02,89,42~189,¡º,64,96,29,0.821,36,83
2016-03,87,46~137,¡º,59,86,32,0.748,42,100
2016-04,88,48~179,¡º,51,89,28,0.747,43,126
2016-05,96,44~172,¡º,46,78,25,0.755,37,145
2016-06,78,44~171,¡º,34,55,21,0.693,35,121
2016-07,88,26~188,¡º,34,61,21,0.648,32,137
2016-08,68,27~142,¡º,22,38,20,0.577,19,117
2016-09,75,27~160,¡º,33,53,23,0.73,27,123
2016-10,47,34~65,”≈,23,38,16,0.555,25,87
2016-11,74,36~148,¡º,50,73,24,0.773,46,75
2016-12,90,31~192,¡º,64,87,28,0.861,45,70
2017-01,79,37~183,¡º,56,70,18,0.839,29,79
2017-02,86,36~148,¡º,61,75,21,0.993,36,95
2017-03,76,47~124,¡º,46,69,21,1.058,39,118
2017-04,93,48~174,¡º,41,83,24,0.927,42,144
2017-05,103,40~202,«·∂»Œ€»æ,34,76,23,0.632,37,153
2017-06,92,36~201,¡º,31,62,21,0.62,30,145
2017-07,98,42~202,¡º,33,65,24,0.748,47,147
2017-08,86,39~161,¡º,28,60,18,0.729,31,136
2017-09,68,34~183,¡º,25,47,20,0.587,30,115
2017-10,53,36~82,¡º,21,40,16,0.497,24,98
2017-11,69,36~118,¡º,40,75,24,0.857,51,81
2017-12,86,39~232,¡º,59,88,23,1.113,58,62
2018-01,96,32~254,¡º,67,83,18,0.923,44,70
2018-02,73,41~156,¡º,49,70,18,0.993,39,85
2018-03,71,38~111,¡º,35,63,18,0.952,49,96
2018-04,77,45~112,¡º,32,74,17,0.563,44,112
