‘¬∑›,AQI,∑∂Œß,÷ ¡øµ»º∂,PM2.5,PM10,SO2,CO,NO2,O3
2013-05,82,52~129,¡º,0,113,13,0,23,0
2013-06,80,26~142,¡º,0,110,10,0,26,0
2013-07,59,33~101,¡º,0,69,5,0,15,0
2013-08,65,51~121,¡º,0,79,9,0,26,0
2013-09,81,37~149,¡º,0,111,14,0,33,0
2013-10,124,55~194,«·∂»Œ€»æ,0,197,23,0,55,0
2013-11,135,58~330,«·∂»Œ€»æ,77,148,39,5.55,50,21
2013-12,206,97~323,÷ÿ∂»Œ€»æ,157,166,65,3.213,47,89
2014-01,274,145~431,÷ÿ∂»Œ€»æ,225,308,46,3.623,32,47
2014-02,150,64~265,÷–∂»Œ€»æ,111,143,29,1.396,14,62
2014-03,121,35~200,«·∂»Œ€»æ,88,152,28,1.077,26,65
2014-04,92,32~137,¡º,55,103,24,0.9,22,80
2014-05,111,66~186,«·∂»Œ€»æ,69,161,26,0.726,18,87
2014-06,104,83~159,«·∂»Œ€»æ,65,114,32,1.077,16,153
2014-07,91,45~120,¡º,31,65,16,0.755,10,145
2014-08,93,61~179,¡º,42,80,25,1.071,15,150
2014-09,72,26~193,¡º,46,73,24,1.133,18,82
2014-10,112,67~190,«·∂»Œ€»æ,79,142,30,1.555,23,70
2014-11,121,62~305,«·∂»Œ€»æ,87,151,28,1.587,24,52
2014-12,128,69~203,«·∂»Œ€»æ,92,170,29,1.697,31,43
2015-01,159,63~244,÷–∂»Œ€»æ,120,188,38,1.884,32,47
2015-02,142,82~217,«·∂»Œ€»æ,106,186,29,1.646,26,69
2015-03,116,64~198,«·∂»Œ€»æ,83,149,24,1.597,31,76
2015-04,100,46~182,«·∂»Œ€»æ,61,144,33,0.953,26,99
2015-05,101,60~193,«·∂»Œ€»æ,67,144,25,0.99,22,126
2015-06,89,41~143,¡º,54,118,18,0.623,17,115
2015-07,86,57~140,¡º,54,107,24,0.561,19,122
2015-08,81,52~113,¡º,53,102,23,0.697,19,125
2015-09,82,53~128,¡º,54,102,20,0.98,22,119
2015-10,106,44~202,«·∂»Œ€»æ,71,143,20,1.239,39,119
2015-11,78,25~138,¡º,57,88,20,1.507,32,48
2015-12,141,55~256,«·∂»Œ€»æ,103,170,34,1.69,42,53
2016-01,155,71~294,÷–∂»Œ€»æ,116,195,33,2.035,42,49
2016-02,114,46~274,«·∂»Œ€»æ,77,152,33,1.586,30,88
2016-03,109,66~289,«·∂»Œ€»æ,64,163,27,1.097,36,100
2016-04,94,60~175,¡º,52,133,29,1.043,32,120
2016-05,94,48~136,¡º,45,93,23,0.748,25,147
2016-06,98,59~151,¡º,42,73,23,0.92,25,155
2016-07,88,47~139,¡º,38,58,17,1.042,16,144
2016-08,97,52~144,¡º,38,64,16,1.029,16,155
2016-09,93,43~142,¡º,45,89,20,0.927,26,129
2016-10,58,29~102,¡º,35,59,16,0.881,26,77
2016-11,98,33~208,¡º,69,133,23,1.373,32,59
2016-12,143,65~358,«·∂»Œ€»æ,109,189,26,1.445,40,64
2017-01,147,45~257,«·∂»Œ€»æ,110,189,23,1.91,37,68
2017-02,118,65~209,«·∂»Œ€»æ,83,154,19,1.629,32,94
2017-03,99,52~162,¡º,66,131,21,1.116,29,110
2017-04,89,47~136,¡º,43,105,17,0.98,25,124
2017-05,117,45~402,«·∂»Œ€»æ,40,108,18,0.884,25,156
2017-06,108,51~187,«·∂»Œ€»æ,42,82,12,1.07,23,165
2017-07,88,40~167,¡º,29,56,13,1.026,17,143
2017-08,94,38~133,¡º,30,56,9,1.277,21,150
2017-09,75,33~130,¡º,32,58,10,1.327,26,122
2017-10,58,30~93,¡º,35,64,8,1.365,34,83
2017-11,109,64~221,«·∂»Œ€»æ,77,145,15,1.547,52,68
2017-12,142,55~296,«·∂»Œ€»æ,107,168,16,1.748,57,63
2018-01,159,57~327,÷–∂»Œ€»æ,122,157,12,1.665,52,69
2018-02,139,59~304,«·∂»Œ€»æ,98,156,11,1.382,43,79
2018-03,100,54~158,¡º,70,111,8,1.168,35,99
2018-04,90,45~138,¡º,43,129,9,0.9,30,97
