‘¬∑›,AQI,∑∂Œß,÷ ¡øµ»º∂,PM2.5,PM10,SO2,CO,NO2,O3
2014-12,128,128~128,«·∂»Œ€»æ,97,122,28,0.3,24,20
2015-01,80,35~163,¡º,59,78,25,0.474,17,19
2015-02,81,37~138,¡º,54,100,20,0.582,18,23
2015-03,60,25~107,¡º,29,72,21,1.061,11,19
2015-04,63,27~192,¡º,25,80,24,1.097,11,25
2015-05,46,19~93,”≈,16,51,15,0.997,8,19
2015-06,38,27~64,”≈,14,37,14,0.673,9,46
2015-07,51,31~76,¡º,20,55,15,0.519,14,56
2015-08,52,32~80,¡º,21,55,19,0.758,16,78
2015-09,49,23~72,”≈,19,53,19,0.743,15,61
2015-10,66,26~115,¡º,31,84,24,1.129,27,49
2015-11,58,31~124,¡º,33,69,35,1.386,25,34
2015-12,83,31~158,¡º,59,99,43,2.068,25,24
2016-01,99,62~178,¡º,74,123,28,2.274,12,32
2016-02,97,36~157,¡º,61,134,37,2.424,17,20
2016-03,66,32~125,¡º,37,76,20,1.081,26,74
2016-04,66,46~103,¡º,21,69,13,0.4,22,112
2016-05,61,43~81,¡º,19,47,8,0.677,19,112
2016-06,64,0~84,¡º,16,46,11,0.95,17,112
2016-07,66,49~89,¡º,15,39,11,1.026,17,119
2016-08,65,49~83,¡º,19,53,17,0.974,18,116
2016-09,63,47~84,¡º,22,67,20,0.933,25,109
2016-10,58,30~94,¡º,32,67,14,1.21,27,55
2016-11,66,30~126,¡º,37,76,20,1.92,31,42
2016-12,71,37~118,¡º,48,82,25,2.339,35,35
2017-01,109,80~159,«·∂»Œ€»æ,81,135,34,2.694,44,59
2017-02,87,43~124,¡º,64,110,23,1.504,37,76
2017-03,65,47~95,¡º,43,77,10,1.087,23,83
2017-04,60,39~93,¡º,23,62,10,0.73,18,100
2017-05,70,49~104,¡º,21,58,9,0.861,19,122
2017-06,70,47~95,¡º,19,49,8,0.713,18,123
2017-07,75,57~90,¡º,19,46,9,0.703,17,129
2017-08,64,44~83,¡º,18,43,12,0.597,19,116
2017-09,67,28~93,¡º,23,74,11,0.74,24,104
2017-10,68,29~101,¡º,35,88,18,1.223,36,72
2017-11,73,34~135,¡º,41,95,15,1.437,30,35
2017-12,66,36~100,¡º,47,72,16,1.474,30,37
2018-01,87,40~163,¡º,64,99,23,1.981,36,44
2018-02,82,40~135,¡º,60,100,27,1.825,34,73
2018-03,50,25~105,”≈,27,55,16,0.848,17,66
2018-04,62,39~95,¡º,25,75,17,0.6,15,89
