‘¬∑›,AQI,∑∂Œß,÷ ¡øµ»º∂,PM2.5,PM10,SO2,CO,NO2,O3
2013-12,103,103~103,«·∂»Œ€»æ,51,156,104,1.5,62,33
2014-01,106,32~243,«·∂»Œ€»æ,78,107,93,1.097,55,43
2014-02,68,27~122,¡º,46,62,45,0.929,35,73
2014-03,78,53~116,¡º,51,96,51,0.832,37,94
2014-04,73,41~125,¡º,42,82,24,0.637,29,113
2014-05,92,51~178,¡º,40,92,27,0.565,34,145
2014-06,77,39~125,¡º,36,56,20,0.533,27,129
2014-07,93,39~169,¡º,42,64,16,0.629,24,148
2014-08,84,40~168,¡º,39,66,16,0.532,31,139
2014-09,68,34~106,¡º,31,60,15,0.63,29,116
2014-10,75,39~144,¡º,39,89,21,0.629,32,108
2014-11,123,46~230,«·∂»Œ€»æ,91,143,48,1.28,41,59
2014-12,108,54~258,«·∂»Œ€»æ,78,133,81,1.594,34,35
2015-01,98,33~235,¡º,71,111,66,1.548,27,42
2015-02,85,42~146,¡º,61,100,58,1.429,30,58
2015-03,68,36~111,¡º,43,85,45,0.955,30,72
2015-04,73,40~116,¡º,40,95,26,0.703,24,94
2015-05,66,39~113,¡º,36,80,33,0.665,21,102
2015-06,74,42~118,¡º,36,72,31,0.52,18,124
2015-07,74,34~140,¡º,29,60,20,0.5,18,125
2015-08,82,27~180,¡º,34,63,13,0.526,28,134
2015-09,74,35~151,¡º,31,62,39,0.6,32,119
2015-10,87,42~156,¡º,57,88,16,0.619,35,114
2015-11,90,32~192,¡º,66,95,24,0.987,37,64
2015-12,150,41~337,«·∂»Œ€»æ,115,160,56,1.765,59,39
2016-01,121,47~320,«·∂»Œ€»æ,90,132,60,1.6,50,43
2016-02,95,31~186,¡º,69,101,44,1.255,36,57
2016-03,82,43~168,¡º,50,107,26,0.826,36,72
2016-04,97,41~365,¡º,54,134,19,0.69,32,93
2016-05,108,48~204,«·∂»Œ€»æ,42,83,13,0.532,29,162
2016-06,115,46~179,«·∂»Œ€»æ,31,52,10,0.477,18,175
2016-07,91,27~148,¡º,33,51,9,0.487,15,145
2016-08,72,28~205,¡º,22,45,11,0.487,19,119
2016-09,99,35~195,¡º,38,70,15,0.517,25,155
2016-10,67,38~117,¡º,40,71,9,0.626,32,92
2016-11,92,31~195,¡º,64,117,21,1.173,46,57
2016-12,112,39~250,«·∂»Œ€»æ,83,135,34,1.497,51,46
2017-01,106,39~258,«·∂»Œ€»æ,77,120,31,1.539,43,59
2017-02,85,0~222,¡º,59,98,25,1.064,33,76
2017-03,76,48~119,¡º,50,93,17,0.803,39,98
2017-04,90,60~153,¡º,45,105,13,0.68,38,136
2017-05,114,47~188,«·∂»Œ€»æ,34,100,9,0.51,25,163
2017-06,105,53~207,«·∂»Œ€»æ,25,54,6,0.463,20,164
2017-07,97,32~168,¡º,29,63,5,0.603,17,153
2017-08,77,33~159,¡º,21,44,5,0.568,19,128
2017-09,90,36~157,¡º,26,54,7,0.593,27,144
2017-10,58,28~107,¡º,31,54,7,0.577,32,93
2017-11,74,30~189,¡º,46,82,15,0.89,46,65
2017-12,88,52~169,¡º,58,115,27,1.365,57,46
2018-01,87,34~202,¡º,56,112,25,1.352,51,51
2018-02,67,45~107,¡º,42,77,18,0.925,31,82
2018-03,72,35~111,¡º,41,81,10,0.835,32,113
2018-04,75,50~123,¡º,34,86,8,0.638,28,109
