‘¬∑›,AQI,∑∂Œß,÷ ¡øµ»º∂,PM2.5,PM10,SO2,CO,NO2,O3
2013-12,70,27~110,¡º,48,74,22,0.803,42,94
2014-01,75,34~140,¡º,53,74,23,0.81,48,101
2014-02,48,21~83,”≈,30,45,13,0.668,33,76
2014-03,67,35~105,¡º,42,72,20,0.648,48,92
2014-04,64,52~86,¡º,40,67,18,0.707,38,100
2014-05,61,30~104,¡º,40,59,13,0.803,40,88
2014-06,49,26~94,”≈,27,45,10,0.523,22,86
2014-07,44,27~71,”≈,21,41,14,0.545,27,84
2014-08,56,23~92,¡º,32,53,16,0.658,33,101
2014-09,52,35~81,¡º,28,49,10,0.557,23,96
2014-10,58,38~85,¡º,37,60,10,0.632,23,96
2014-11,55,33~86,¡º,36,57,12,0.68,30,71
2014-12,59,31~96,¡º,41,64,14,0.616,36,61
2015-01,69,24~124,¡º,49,72,13,0.723,39,66
2015-02,55,30~94,¡º,39,56,8,0.786,25,73
2015-03,51,27~90,¡º,33,52,8,0.635,33,73
2015-04,50,28~78,¡º,28,52,10,0.527,33,83
2015-05,51,32~87,¡º,33,53,11,0.597,30,64
2015-06,40,26~61,”≈,23,40,9,0.393,24,62
2015-07,41,24~68,”≈,21,37,10,0.477,25,72
2015-08,42,28~64,”≈,20,37,10,0.484,31,67
2015-09,48,30~60,”≈,27,47,8,0.613,25,80
2015-10,49,30~73,”≈,29,51,8,0.603,22,73
2015-11,48,30~65,”≈,25,51,7,0.657,23,47
2015-12,53,34~78,¡º,29,55,9,0.687,32,39
2016-01,56,34~89,¡º,34,53,9,0.761,36,40
2016-02,51,25~94,¡º,34,52,7,0.628,26,50
2016-03,63,30~133,¡º,43,61,11,0.794,38,61
2016-04,56,32~77,¡º,32,54,11,0.73,36,65
2016-05,46,24~69,”≈,24,45,10,0.613,26,65
2016-06,33,19~50,”≈,14,32,9,0.46,18,48
2016-07,41,16~117,”≈,16,38,11,0.452,22,65
2016-08,51,24~82,¡º,23,43,14,0.584,34,87
2016-09,52,28~79,¡º,22,39,9,0.623,27,94
2016-10,45,29~90,”≈,21,40,10,0.535,27,73
2016-11,61,33~144,¡º,34,63,13,0.62,37,71
2016-12,65,39~98,¡º,40,71,15,0.7,44,67
2017-01,60,35~98,¡º,39,59,12,0.69,37,71
2017-02,61,38~99,¡º,36,54,11,0.618,38,81
2017-03,75,44~132,¡º,40,73,14,0.668,56,86
2017-04,63,30~108,¡º,31,63,13,0.593,39,90
2017-05,51,33~87,¡º,25,48,10,0.516,27,84
2017-06,35,20~50,”≈,16,27,8,0.417,23,61
2017-07,33,22~56,”≈,14,27,9,0.348,21,62
2017-08,44,26~65,”≈,20,36,9,0.41,24,84
2017-09,54,29~91,¡º,24,41,10,0.533,23,99
2017-10,51,29~83,¡º,23,46,9,0.503,23,95
2017-11,55,30~80,¡º,26,52,13,0.59,37,81
2017-12,60,34~95,¡º,33,64,12,0.629,39,79
2018-01,55,33~79,¡º,28,50,11,0.671,38,71
2018-02,54,37~92,¡º,30,51,8,0.621,30,78
2018-03,60,38~127,¡º,33,56,11,0.668,44,86
2018-04,62,43~82,¡º,33,74,11,0.575,33,88
