‘¬∑›,AQI,∑∂Œß,÷ ¡øµ»º∂,PM2.5,PM10,SO2,CO,NO2,O3
2014-12,106,106~106,«·∂»Œ€»æ,79,108,25,1.1,26,49
2015-01,100,32~263,¡º,75,104,26,1.035,24,45
2015-02,100,32~226,«·∂»Œ€»æ,68,117,25,0.993,24,57
2015-03,61,38~128,¡º,38,75,22,0.635,22,78
2015-04,63,37~100,¡º,40,74,16,0.793,20,85
2015-05,53,28~175,¡º,24,61,15,0.758,17,76
2015-06,53,32~104,¡º,29,48,10,0.693,16,84
2015-07,56,32~99,¡º,33,53,13,0.806,18,94
2015-08,43,26~73,”≈,22,42,14,0.677,18,64
2015-09,43,24~63,”≈,23,44,10,0.633,23,62
2015-10,54,24~122,¡º,35,57,14,0.632,24,65
2015-11,78,30~297,¡º,54,75,22,1.193,34,51
2015-12,85,26~168,¡º,63,84,31,1.242,34,44
2016-01,73,31~214,¡º,53,70,34,1.094,30,52
2016-02,74,32~179,¡º,53,72,31,1.176,30,62
2016-03,60,32~133,¡º,38,65,13,1.074,20,70
2016-04,62,34~110,¡º,37,70,10,0.67,18,72
2016-05,45,27~80,”≈,23,42,10,0.61,17,73
2016-06,37,20~66,”≈,19,37,10,0.717,20,51
2016-07,38,20~57,”≈,18,38,10,0.697,16,54
2016-08,40,14~78,”≈,16,38,15,0.784,19,51
2016-09,36,16~68,”≈,19,38,11,0.64,16,45
2016-10,46,21~100,”≈,27,48,17,0.639,19,48
2016-11,70,28~148,¡º,50,73,24,0.757,26,41
2016-12,75,37~172,¡º,54,81,25,0.916,29,36
2017-01,95,26~213,¡º,70,94,21,0.939,30,43
2017-02,53,28~108,¡º,37,51,15,0.657,20,63
2017-03,61,34~137,¡º,41,64,13,0.91,24,79
2017-04,64,33~135,¡º,43,72,14,0.657,19,86
2017-05,56,25~177,¡º,24,56,14,0.6,14,93
2017-06,40,19~63,”≈,22,36,7,0.577,16,66
2017-07,46,29~90,”≈,24,43,9,0.687,17,81
2017-08,38,21~62,”≈,19,37,9,0.548,15,58
2017-09,39,29~55,”≈,17,38,10,0.707,17,61
2017-10,95,26~500,¡º,75,108,13,0.981,25,66
2017-11,96,27~476,¡º,74,99,14,0.82,23,52
2017-12,67,29~155,¡º,47,68,19,0.848,25,50
2018-01,67,25~165,¡º,47,64,21,0.884,28,57
2018-02,63,33~155,¡º,43,59,19,0.811,26,76
2018-03,61,44~105,¡º,33,56,10,0.661,21,105
2018-04,71,43~133,¡º,43,76,7,0.613,21,106
