‘¬∑›,AQI,∑∂Œß,÷ ¡øµ»º∂,PM2.5,PM10,SO2,CO,NO2,O3
2013-12,202,202~202,÷ÿ∂»Œ€»æ,152,160,62,1.1,81,68
2014-01,166,63~323,÷–∂»Œ€»æ,128,54,63,1.072,63,106
2014-02,110,38~249,«·∂»Œ€»æ,81,27,36,0.792,38,107
2014-03,108,54~187,«·∂»Œ€»æ,81,70,42,0.826,45,88
2014-04,100,50~170,«·∂»Œ€»æ,67,63,51,0.81,31,113
2014-05,122,55~197,«·∂»Œ€»æ,82,115,39,0.839,38,150
2014-06,115,47~205,«·∂»Œ€»æ,84,77,22,0.8,29,105
2014-07,90,24~222,¡º,55,56,21,0.784,31,111
2014-08,76,36~174,¡º,40,70,24,0.734,24,91
2014-09,64,31~121,¡º,35,62,26,0.667,28,96
2014-10,76,50~143,¡º,50,77,29,0.71,34,100
2014-11,98,45~201,¡º,73,51,33,1.047,42,68
2014-12,101,58~170,«·∂»Œ€»æ,74,89,37,1.055,39,47
2015-01,134,32~281,«·∂»Œ€»æ,102,62,37,1.09,39,61
2015-02,90,37~189,¡º,65,69,24,1.011,27,97
2015-03,74,38~157,¡º,48,58,21,0.842,29,92
2015-04,92,37~148,¡º,47,57,26,0.83,33,134
2015-05,90,40~163,¡º,41,78,24,0.897,31,139
2015-06,72,16~134,¡º,34,71,21,0.827,27,98
2015-07,70,23~195,¡º,29,50,20,0.674,16,95
2015-08,58,20~88,¡º,22,69,19,0.706,25,46
2015-09,60,41~90,¡º,25,64,21,0.727,26,81
2015-10,71,34~152,¡º,46,80,23,0.955,31,82
2015-11,65,35~147,¡º,45,60,22,1.197,22,70
2015-12,113,46~216,«·∂»Œ€»æ,81,96,31,1.245,34,54
2016-01,97,26~228,¡º,71,73,29,0.971,26,32
2016-02,85,21~173,¡º,61,80,25,0.903,19,41
2016-03,97,20~256,¡º,69,90,16,0.952,22,34
2016-04,65,33~109,¡º,37,77,16,0.877,24,42
2016-05,64,29~186,¡º,31,78,15,0.842,21,72
2016-06,55,29~108,¡º,21,55,12,0.717,21,86
2016-07,61,20~167,¡º,24,56,15,0.7,22,85
2016-08,95,43~201,¡º,21,56,14,0.645,26,149
2016-09,90,32~183,¡º,34,65,17,0.693,31,140
2016-10,47,33~75,”≈,21,42,14,0.748,32,68
2016-11,63,32~115,¡º,39,71,15,0.987,37,68
2016-12,101,36~237,«·∂»Œ€»æ,75,100,14,0.81,37,53
2017-01,102,49~216,«·∂»Œ€»æ,76,84,10,0.89,37,64
2017-02,105,46~163,«·∂»Œ€»æ,78,88,15,0.746,33,97
2017-03,81,44~152,¡º,57,83,17,0.771,39,104
2017-04,88,38~139,¡º,43,85,17,0.747,36,130
2017-05,87,37~143,¡º,36,84,17,0.568,33,130
2017-06,70,30~110,¡º,31,67,18,0.913,31,113
2017-07,74,27~150,¡º,20,46,10,0.719,24,124
2017-08,63,35~133,¡º,19,47,9,0.829,25,112
2017-09,72,40~117,¡º,42,58,10,0.65,35,103
2017-10,64,29~114,¡º,37,61,11,0.674,26,100
2017-11,86,52~166,¡º,56,109,14,1.07,32,71
2017-12,114,57~298,«·∂»Œ€»æ,84,114,13,0.942,40,63
2018-01,141,37~316,«·∂»Œ€»æ,107,138,12,0.9,43,61
2018-02,106,46~249,«·∂»Œ€»æ,71,118,11,0.714,62,59
2018-03,84,48~129,¡º,57,105,10,0.781,40,111
2018-04,91,57~120,¡º,47,118,10,0.738,40,126
