‘¬∑›,AQI,∑∂Œß,÷ ¡øµ»º∂,PM2.5,PM10,SO2,CO,NO2,O3
2013-12,222,71~411,÷ÿ∂»Œ€»æ,180,195,41,1.867,48,36
2014-01,196,90~401,÷–∂»Œ€»æ,155,164,32,1.577,39,39
2014-02,112,27~316,«·∂»Œ€»æ,85,88,18,1.018,23,41
2014-03,103,66~153,«·∂»Œ€»æ,78,107,21,0.932,32,50
2014-04,90,46~137,¡º,67,82,15,0.847,29,54
2014-05,109,61~204,«·∂»Œ€»æ,76,148,18,0.858,29,67
2014-06,124,50~314,«·∂»Œ€»æ,94,127,20,1.083,23,80
2014-07,82,30~160,¡º,58,97,11,0.919,21,58
2014-08,75,41~133,¡º,54,83,12,0.923,17,55
2014-09,76,26~160,¡º,54,84,15,0.877,19,46
2014-10,103,63~253,«·∂»Œ€»æ,75,130,17,1.016,29,50
2014-11,126,31~402,«·∂»Œ€»æ,95,121,23,1.22,29,30
2014-12,94,55~150,¡º,68,100,28,1.01,33,28
2015-01,134,53~264,«·∂»Œ€»æ,102,121,27,1.194,36,34
2015-02,111,29~240,«·∂»Œ€»æ,84,105,26,1.05,25,45
2015-03,88,22~184,¡º,63,88,21,0.99,24,51
2015-04,85,51~131,¡º,58,101,23,0.91,27,62
2015-05,88,47~156,¡º,62,101,14,0.968,30,71
2015-06,69,23~121,¡º,45,74,11,0.94,29,88
2015-07,59,22~132,¡º,40,61,9,0.797,25,77
2015-08,63,33~89,¡º,39,74,9,0.842,28,96
2015-09,64,36~82,¡º,41,73,10,0.893,30,94
2015-10,97,33~203,¡º,70,115,14,1.174,44,85
2015-11,89,28~192,¡º,65,83,17,1.247,39,46
2015-12,147,60~293,«·∂»Œ€»æ,113,145,19,1.432,46,36
2016-01,119,55~253,«·∂»Œ€»æ,88,108,20,1.168,42,48
2016-02,108,39~261,«·∂»Œ€»æ,80,107,21,1.062,37,82
2016-03,117,36~211,«·∂»Œ€»æ,87,120,22,1.1,44,98
2016-04,78,51~130,¡º,50,91,15,0.987,49,111
2016-05,83,39~181,¡º,48,94,12,0.845,38,121
2016-06,73,43~112,¡º,42,64,10,0.877,38,114
2016-07,67,34~126,¡º,36,63,11,0.742,31,106
2016-08,84,43~140,¡º,37,76,12,0.813,39,133
2016-09,84,29~139,¡º,45,90,14,0.837,51,131
2016-10,59,29~99,¡º,34,53,11,0.842,42,54
2016-11,82,38~153,¡º,55,85,16,1.12,55,55
2016-12,118,48~180,«·∂»Œ€»æ,86,115,17,1.258,74,51
2017-01,120,53~252,«·∂»Œ€»æ,87,107,17,1.242,61,59
2017-02,115,49~162,«·∂»Œ€»æ,86,98,17,1.118,65,84
2017-03,91,63~143,¡º,63,94,15,0.919,63,89
2017-04,92,43~132,¡º,52,93,12,0.883,52,117
2017-05,108,47~186,«·∂»Œ€»æ,50,97,11,0.765,48,154
2017-06,102,34~199,«·∂»Œ€»æ,43,68,10,0.743,37,158
2017-07,75,30~171,¡º,33,60,10,0.626,30,126
2017-08,62,33~97,¡º,27,50,9,0.758,33,107
2017-09,67,35~120,¡º,37,61,10,0.937,44,98
2017-10,71,32~145,¡º,41,67,12,0.894,51,89
2017-11,101,39~175,«·∂»Œ€»æ,67,109,14,0.997,73,69
2017-12,126,42~285,«·∂»Œ€»æ,94,124,14,1.181,68,52
2018-01,119,32~234,«·∂»Œ€»æ,88,92,9,1.177,53,60
2018-02,90,33~185,¡º,64,91,8,0.918,43,73
2018-03,73,34~105,¡º,49,77,7,0.81,44,96
2018-04,79,42~112,¡º,44,100,6,0.75,38,113
