‘¬∑›,AQI,∑∂Œß,÷ ¡øµ»º∂,PM2.5,PM10,SO2,CO,NO2,O3
2013-12,68,68~68,¡º,22,87,17,0.7,16,57
2014-01,122,49~271,«·∂»Œ€»æ,91,128,38,1.797,38,52
2014-02,130,53~283,«·∂»Œ€»æ,96,137,47,2.386,41,73
2014-03,79,54~148,¡º,56,92,29,1.413,31,91
2014-04,81,51~148,¡º,49,106,20,1.077,35,111
2014-05,64,31~165,¡º,28,61,11,0.987,29,107
2014-06,67,31~161,¡º,27,58,9,0.81,33,115
2014-07,77,32~177,¡º,43,67,6,0.9,25,119
2014-08,78,51~105,¡º,32,64,12,0.7,30,133
2014-09,57,38~91,¡º,24,58,11,0.613,31,96
2014-10,149,34~498,«·∂»Œ€»æ,117,169,20,1.058,47,103
2014-11,116,54~455,«·∂»Œ€»æ,87,135,31,1.043,39,62
2014-12,102,53~213,«·∂»Œ€»æ,72,105,41,1.048,36,56
2015-01,123,41~265,«·∂»Œ€»æ,92,127,55,1.39,45,59
2015-02,112,49~296,«·∂»Œ€»æ,82,120,50,1.241,42,88
2015-03,80,41~143,¡º,49,93,28,0.868,30,114
2015-04,87,46~163,¡º,43,95,18,0.697,30,131
2015-05,94,39~424,¡º,32,87,14,0.603,26,126
2015-06,88,43~152,¡º,26,51,11,0.583,32,141
2015-07,83,41~138,¡º,28,55,17,0.703,29,138
2015-08,57,30~95,¡º,20,40,13,0.655,25,103
2015-09,57,38~82,¡º,26,59,19,0.713,34,90
2015-10,105,33~302,«·∂»Œ€»æ,73,114,23,0.91,42,91
2015-11,145,41~491,«·∂»Œ€»æ,116,146,45,1.183,44,72
2015-12,133,36~304,«·∂»Œ€»æ,101,134,51,1.361,47,61
2016-01,100,39~268,«·∂»Œ€»æ,73,97,56,1.187,40,68
2016-02,63,44~122,¡º,39,58,33,0.81,26,94
2016-03,78,44~132,¡º,46,83,28,0.7,29,117
2016-04,78,46~122,¡º,34,80,17,0.567,25,124
2016-05,85,42~139,¡º,27,56,14,0.526,25,137
2016-06,88,46~178,¡º,23,43,12,0.523,29,144
2016-07,68,33~109,¡º,24,42,12,0.645,25,119
2016-08,63,19~113,¡º,24,48,15,0.565,24,110
2016-09,47,24~69,”≈,22,45,11,0.583,26,79
2016-10,69,25~133,¡º,46,75,18,0.81,37,69
2016-11,89,41~236,¡º,64,89,26,1.123,33,65
2016-12,104,47~206,«·∂»Œ€»æ,76,102,40,1.406,37,61
2017-01,135,44~422,«·∂»Œ€»æ,104,130,41,1.639,43,80
2017-02,91,48~200,¡º,64,79,30,1.221,30,107
2017-03,84,43~182,¡º,60,86,26,1.074,34,114
2017-04,98,47~248,¡º,59,103,15,0.95,29,135
2017-05,108,30~500,«·∂»Œ€»æ,29,96,11,0.803,23,139
2017-06,74,35~136,¡º,25,48,10,0.723,30,124
2017-07,72,41~110,¡º,27,50,8,0.703,19,124
2017-08,45,26~101,”≈,14,30,7,0.639,16,84
2017-09,47,30~81,”≈,17,43,9,0.767,24,84
2017-10,102,36~216,«·∂»Œ€»æ,72,106,17,1.139,38,85
2017-11,100,40~500,¡º,80,113,17,1.06,26,65
2017-12,93,44~214,¡º,67,94,30,1.306,37,54
2018-01,73,39~119,¡º,51,75,27,1.223,32,66
2018-02,81,44~150,¡º,57,80,28,1.204,29,86
2018-03,93,49~198,¡º,62,97,22,1.106,32,120
2018-04,87,62~133,¡º,62,101,17,0.988,26,123
