‘¬∑›,AQI,∑∂Œß,÷ ¡øµ»º∂,PM2.5,PM10,SO2,CO,NO2,O3
2014-12,226,226~226,÷ÿ∂»Œ€»æ,176,244,82,4,73,34
2015-01,186,69~258,÷–∂»Œ€»æ,144,201,78,3.655,60,41
2015-02,167,58~499,÷–∂»Œ€»æ,89,233,37,2.748,38,67
2015-03,96,65~165,¡º,54,142,20,1.087,35,86
2015-04,110,58~435,«·∂»Œ€»æ,55,152,11,0.882,26,104
2015-05,89,58~252,¡º,52,121,7,0.674,20,109
2015-06,80,37~500,¡º,30,87,5,1.233,23,110
2015-07,74,51~158,¡º,28,89,7,0.84,21,112
2015-08,85,54~279,¡º,40,112,12,0.803,29,108
2015-09,76,43~458,¡º,30,87,5,0.6,27,94
2015-10,85,53~144,¡º,48,120,9,1.239,42,68
2015-11,117,56~199,«·∂»Œ€»æ,86,140,25,2.343,52,38
2015-12,151,77~269,÷–∂»Œ€»æ,115,145,28,3.832,53,28
2016-01,172,89~315,÷–∂»Œ€»æ,133,199,33,5.071,59,32
2016-02,156,82~500,÷–∂»Œ€»æ,84,234,18,1.39,43,83
2016-03,177,73~500,÷–∂»Œ€»æ,85,277,11,1.119,35,114
2016-04,118,80~362,«·∂»Œ€»æ,51,135,6,0.803,26,155
2016-05,118,62~500,«·∂»Œ€»æ,66,174,7,0.748,23,128
2016-06,121,58~429,«·∂»Œ€»æ,43,118,8,1.113,23,157
2016-07,101,61~388,«·∂»Œ€»æ,38,106,8,0.881,24,135
2016-08,87,53~448,¡º,37,109,6,1.042,30,102
2016-09,79,61~107,¡º,32,105,5,0.757,36,108
2016-10,143,65~500,«·∂»Œ€»æ,68,215,8,1.061,39,80
2016-11,114,69~146,«·∂»Œ€»æ,75,172,25,2.45,61,56
2016-12,174,77~238,÷–∂»Œ€»æ,132,202,41,3.429,68,33
2017-01,158,84~211,÷–∂»Œ€»æ,118,168,32,3.155,59,39
2017-02,140,0~482,«·∂»Œ€»æ,89,213,26,2.125,54,66
2017-03,120,76~500,«·∂»Œ€»æ,58,177,14,1.094,42,73
2017-04,111,54~500,«·∂»Œ€»æ,56,162,12,0.787,30,102
2017-05,121,61~500,«·∂»Œ€»æ,60,172,10,0.694,26,111
2017-06,102,54~305,«·∂»Œ€»æ,44,127,8,0.727,27,126
2017-07,93,64~135,¡º,35,95,7,0.716,27,145
2017-08,98,65~500,¡º,36,120,5,0.877,31,131
2017-09,111,67~500,«·∂»Œ€»æ,44,160,6,0.887,38,103
2017-10,108,71~390,«·∂»Œ€»æ,56,157,8,1.197,46,71
2017-11,117,65~182,«·∂»Œ€»æ,82,161,16,2.083,68,55
2017-12,180,82~218,÷–∂»Œ€»æ,136,201,25,3.394,70,33
2018-01,117,72~173,«·∂»Œ€»æ,87,148,26,2.665,56,37
2018-02,94,60~132,¡º,59,134,17,1.761,47,46
2018-03,132,55~453,«·∂»Œ€»æ,49,186,10,1.006,42,53
2018-04,272,77~500,÷ÿ∂»Œ€»æ,150,579,9,0.75,25,55
