‘¬∑›,AQI,∑∂Œß,÷ ¡øµ»º∂,PM2.5,PM10,SO2,CO,NO2,O3
2014-12,55,55~55,¡º,35,55,185,2.6,21,41
2015-01,104,41~220,«·∂»Œ€»æ,77,101,150,4.219,32,32
2015-02,70,47~93,¡º,49,84,114,3.739,28,35
2015-03,59,46~76,¡º,37,68,90,3.639,28,35
2015-04,66,47~109,¡º,32,81,56,3.073,23,52
2015-05,73,54~138,¡º,45,81,41,2.581,25,74
2015-06,83,50~176,¡º,55,86,44,2.087,26,96
2015-07,81,45~143,¡º,55,73,38,2.058,33,120
2015-08,62,40~120,¡º,40,60,36,1.758,22,91
2015-09,71,49~113,¡º,46,63,33,2.423,29,64
2015-10,61,44~119,¡º,34,63,27,2.097,23,44
2015-11,80,49~112,¡º,51,71,88,2.807,23,35
2015-12,93,53~155,¡º,58,93,107,2.69,23,27
2016-01,81,46~127,¡º,43,95,102,2.748,19,25
2016-02,78,38~120,¡º,36,84,73,2.417,19,37
2016-03,79,52~146,¡º,35,108,53,1.526,26,44
2016-04,60,42~86,¡º,24,69,18,1.433,23,58
2016-05,73,32~148,¡º,40,85,30,1.052,22,66
2016-06,66,39~107,¡º,38,62,27,1.273,20,102
2016-07,72,45~136,¡º,41,60,20,1.316,18,115
2016-08,63,32~87,¡º,41,61,31,1.003,20,88
2016-09,65,43~102,¡º,42,68,34,1.037,23,76
2016-10,72,35~106,¡º,45,89,39,1.316,25,49
2016-11,132,66~202,«·∂»Œ€»æ,93,201,132,1.44,34,37
2016-12,151,73~217,÷–∂»Œ€»æ,112,199,191,2.029,45,31
2017-01,142,75~266,«·∂»Œ€»æ,105,181,181,2.094,45,42
2017-02,111,55~196,«·∂»Œ€»æ,80,142,140,1.954,46,61
2017-03,87,52~150,¡º,55,115,76,1.542,46,75
2017-04,80,57~163,¡º,37,107,29,0.857,47,89
2017-05,106,53~417,«·∂»Œ€»æ,38,127,25,0.916,45,129
2017-06,90,54~121,¡º,40,80,33,0.957,49,142
2017-07,84,41~131,¡º,39,84,37,1.361,41,136
2017-08,72,49~122,¡º,37,76,29,1.532,41,109
2017-09,78,62~103,¡º,41,101,29,1.473,49,101
2017-10,77,33~138,¡º,51,94,29,1.626,43,55
2017-11,107,65~152,«·∂»Œ€»æ,75,154,85,2.023,48,53
2017-12,125,54~192,«·∂»Œ€»æ,93,159,127,2.21,49,41
2018-01,120,56~263,«·∂»Œ€»æ,88,145,98,2.203,49,42
2018-02,100,61~194,¡º,68,132,84,1.829,35,64
2018-03,94,62~159,¡º,60,127,38,1.845,46,93
2018-04,97,78~142,¡º,44,144,20,1.25,40,102
