‘¬∑›,AQI,∑∂Œß,÷ ¡øµ»º∂,PM2.5,PM10,SO2,CO,NO2,O3
2013-12,83,83~83,¡º,61,99,34,0.8,57,87
2014-01,128,47~241,«·∂»Œ€»æ,91,132,39,0.919,58,92
2014-02,85,26~255,¡º,61,85,20,0.754,39,79
2014-03,92,48~189,¡º,64,108,35,0.816,52,94
2014-04,73,39~140,¡º,47,80,23,0.737,46,105
2014-05,98,36~178,¡º,65,126,23,0.768,39,128
2014-06,81,36~158,¡º,55,84,12,0.66,35,125
2014-07,94,45~172,¡º,48,77,17,0.726,25,141
2014-08,78,23~134,¡º,48,74,14,0.748,32,114
2014-09,75,29~163,¡º,39,68,10,0.593,30,120
2014-10,83,50~182,¡º,50,97,18,0.645,39,115
2014-11,89,42~189,¡º,66,95,23,0.793,51,67
2014-12,104,56~155,«·∂»Œ€»æ,75,131,38,0.865,56,44
2015-01,118,28~197,«·∂»Œ€»æ,88,131,28,1.019,55,53
2015-02,84,24~203,¡º,60,92,16,1.036,34,73
2015-03,76,35~151,¡º,49,77,21,0.903,41,90
2015-04,86,39~145,¡º,59,93,26,1.21,39,120
2015-05,84,48~122,¡º,48,72,17,0.942,30,133
2015-06,78,35~147,¡º,45,64,16,0.707,26,124
2015-07,80,21~191,¡º,38,57,15,0.577,23,127
2015-08,93,24~194,¡º,41,62,15,0.765,24,146
2015-09,85,37~161,¡º,39,63,15,0.89,31,139
2015-10,82,44~153,¡º,55,95,20,0.919,44,112
2015-11,80,34~149,¡º,54,80,19,1.13,48,52
2015-12,121,63~259,«·∂»Œ€»æ,87,128,28,1.168,56,45
2016-01,100,42~195,«·∂»Œ€»æ,71,106,24,1.035,52,51
2016-02,82,38~140,¡º,58,96,19,0.866,33,74
2016-03,87,39~144,¡º,61,102,22,0.99,44,94
2016-04,86,49~161,¡º,45,81,19,0.893,42,131
2016-05,86,38~159,¡º,42,77,16,0.945,35,128
2016-06,77,33~142,¡º,33,58,14,0.927,31,125
2016-07,69,30~125,¡º,32,61,18,0.923,25,112
2016-08,66,30~118,¡º,23,50,13,0.616,21,113
2016-09,72,21~130,¡º,32,66,11,0.72,29,112
2016-10,59,34~79,¡º,28,61,9,0.623,39,69
2016-11,79,31~149,¡º,50,100,15,0.81,50,57
2016-12,97,53~183,¡º,66,119,19,1.026,59,55
2017-01,81,36~169,¡º,53,89,14,0.929,44,54
2017-02,82,40~135,¡º,58,91,16,0.925,37,84
2017-03,73,47~138,¡º,48,89,14,0.732,41,95
2017-04,93,56~148,¡º,46,101,19,0.837,45,131
2017-05,100,44~173,¡º,35,85,16,0.723,35,149
2017-06,83,35~156,¡º,31,61,14,0.75,32,131
2017-07,86,35~182,¡º,29,60,15,0.755,27,140
2017-08,71,29~160,¡º,25,49,10,0.787,23,122
2017-09,70,35~167,¡º,27,55,10,0.73,32,110
2017-10,63,38~117,¡º,26,60,10,0.723,41,94
2017-11,82,48~111,¡º,44,94,13,0.807,61,68
2017-12,102,57~273,«·∂»Œ€»æ,67,122,19,1.155,65,53
2018-01,104,33~256,«·∂»Œ€»æ,70,107,13,1.11,61,52
2018-02,80,40~196,¡º,53,93,11,0.868,40,77
2018-03,72,42~114,¡º,43,76,12,0.823,49,97
2018-04,84,56~120,¡º,37,103,12,0.788,44,111
