‘¬∑›,AQI,∑∂Œß,÷ ¡øµ»º∂,PM2.5,PM10,SO2,CO,NO2,O3
2013-05,50,26~70,”≈,0,56,10,0,13,0
2013-06,82,27~190,¡º,0,88,13,0,41,0
2013-07,42,14~82,”≈,0,45,7,0,17,0
2013-08,52,20~120,¡º,0,53,17,0,11,0
2013-09,74,38~153,¡º,0,99,9,0,16,0
2013-10,132,54~209,«·∂»Œ€»æ,0,212,5,0,32,0
2013-11,108,57~166,«·∂»Œ€»æ,14,165,12,0.17,24,12
2013-12,205,87~356,÷ÿ∂»Œ€»æ,158,250,58,2.113,75,50
2014-01,163,83~320,÷–∂»Œ€»æ,122,213,51,3.206,56,56
2014-02,104,72~217,«·∂»Œ€»æ,70,122,36,3.554,21,58
2014-03,96,70~198,¡º,61,119,46,2.865,45,81
2014-04,96,75~134,¡º,59,131,39,3.133,47,88
2014-05,110,70~169,«·∂»Œ€»æ,71,135,40,1.913,36,107
2014-06,121,59~250,«·∂»Œ€»æ,88,138,30,1.237,31,126
2014-07,84,51~138,¡º,45,76,17,1.01,18,132
2014-08,72,43~99,¡º,49,83,17,1.197,18,98
2014-09,85,37~202,¡º,58,94,19,1.753,15,93
2014-10,182,72~464,÷–∂»Œ€»æ,143,190,35,3.016,21,85
2014-11,157,32~480,÷–∂»Œ€»æ,119,165,28,3.753,27,33
2014-12,113,21~229,«·∂»Œ€»æ,77,131,42,2.968,40,33
2015-01,165,75~364,÷–∂»Œ€»æ,128,170,42,2.739,45,38
2015-02,141,60~250,«·∂»Œ€»æ,107,148,33,2.618,30,57
2015-03,100,59~178,«·∂»Œ€»æ,66,111,19,2.545,19,60
2015-04,86,47~134,¡º,57,106,17,1.65,22,83
2015-05,97,56~137,¡º,69,114,13,1.445,29,103
2015-06,96,24~236,¡º,65,115,9,1.877,20,102
2015-07,78,41~127,¡º,54,75,8,1.874,14,93
2015-08,69,42~92,¡º,40,65,9,1.132,13,119
2015-09,95,51~172,¡º,67,99,13,1.287,17,105
2015-10,144,48~252,«·∂»Œ€»æ,108,167,26,1.874,23,74
2015-11,118,55~242,«·∂»Œ€»æ,87,116,16,2.387,17,48
2015-12,170,57~500,÷–∂»Œ€»æ,134,193,28,2.69,36,47
2016-01,182,64~415,÷–∂»Œ€»æ,141,194,28,2.081,39,43
2016-02,154,41~313,÷–∂»Œ€»æ,115,172,33,1.39,33,66
2016-03,120,62~233,«·∂»Œ€»æ,85,148,25,1.342,30,100
2016-04,94,59~146,¡º,61,122,22,1.147,28,116
2016-05,87,49~132,¡º,45,90,16,0.852,21,132
2016-06,87,51~120,¡º,38,68,10,0.947,21,143
2016-07,70,40~116,¡º,30,50,7,0.829,18,120
2016-08,81,40~137,¡º,37,64,14,0.939,20,133
2016-09,101,35~155,«·∂»Œ€»æ,47,99,24,1.197,31,152
2016-10,58,25~123,¡º,35,60,17,1.232,29,67
2016-11,102,48~214,«·∂»Œ€»æ,71,127,22,1.797,34,59
2016-12,155,65~440,÷–∂»Œ€»æ,121,178,32,2.423,44,58
2017-01,143,71~240,«·∂»Œ€»æ,106,171,23,2.552,40,53
2017-02,139,64~223,«·∂»Œ€»æ,103,155,27,1.525,37,84
2017-03,101,69~175,«·∂»Œ€»æ,69,124,26,1.081,37,104
2017-04,96,59~130,¡º,50,106,19,1.16,27,129
2017-05,127,49~430,«·∂»Œ€»æ,52,121,17,1.026,25,159
2017-06,111,46~174,«·∂»Œ€»æ,39,81,11,0.927,27,169
2017-07,73,30~121,¡º,29,55,7,0.955,20,122
2017-08,78,28~128,¡º,31,60,9,1.013,21,130
2017-09,74,25~138,¡º,34,68,13,1.017,27,122
2017-10,69,24~144,¡º,46,83,14,1.068,35,93
2017-11,108,58~205,«·∂»Œ€»æ,74,145,21,1.107,48,81
2017-12,146,66~330,«·∂»Œ€»æ,109,170,19,1.3,49,66
2018-01,134,58~334,«·∂»Œ€»æ,98,162,15,1.223,36,66
2018-02,128,70~309,«·∂»Œ€»æ,89,152,17,1.286,32,83
2018-03,94,58~149,¡º,62,109,12,0.929,28,111
2018-04,101,53~163,«·∂»Œ€»æ,43,145,12,0.875,26,116
