‘¬∑›,AQI,∑∂Œß,÷ ¡øµ»º∂,PM2.5,PM10,SO2,CO,NO2,O3
2014-12,56,56~56,¡º,40,61,18,0.8,25,34
2015-01,73,43~162,¡º,51,82,28,0.965,35,44
2015-02,78,42~137,¡º,55,89,24,0.807,30,67
2015-03,60,42~110,¡º,38,70,19,0.674,22,87
2015-04,75,44~228,¡º,42,94,17,0.473,20,98
2015-05,58,35~101,¡º,28,60,14,0.368,21,101
2015-06,55,33~86,¡º,31,52,7,0.353,19,83
2015-07,66,43~117,¡º,40,58,4,0.455,19,97
2015-08,54,33~98,¡º,27,61,3,0.261,20,72
2015-09,51,29~73,¡º,23,57,4,0.233,18,67
2015-10,49,27~78,”≈,24,53,5,0.281,16,58
2015-11,58,36~78,¡º,37,66,7,0.517,20,45
2015-12,64,35~117,¡º,43,65,7,0.671,24,44
2016-01,72,30~172,¡º,52,70,9,0.765,30,46
2016-02,58,36~160,¡º,41,56,8,0.531,23,68
2016-03,55,31~161,¡º,28,62,6,0.494,19,78
2016-04,52,40~73,¡º,25,53,5,0.403,17,90
2016-05,64,38~147,¡º,35,73,5,0.361,18,100
2016-06,60,40~89,¡º,29,66,5,0.327,20,90
2016-07,64,35~99,¡º,28,64,4,0.329,17,104
2016-08,60,33~82,¡º,18,69,5,0.365,19,73
2016-09,58,0~120,¡º,26,66,6,0.373,19,55
2016-10,39,28~67,”≈,20,36,9,0.348,17,59
2016-11,39,26~82,”≈,23,36,8,0.363,21,54
2016-12,43,30~69,”≈,26,40,6,0.623,24,53
2017-01,51,28~109,¡º,33,50,8,0.823,26,56
2017-02,45,35~61,”≈,22,34,5,0.696,19,82
2017-03,48,42~57,”≈,21,35,4,0.568,18,94
2017-04,57,45~107,¡º,16,42,3,0.377,13,104
2017-05,74,35~500,¡º,18,76,2,0.306,12,100
2017-06,55,36~95,¡º,14,55,2,0.357,13,96
2017-07,63,45~113,¡º,13,60,2,0.552,13,107
2017-08,54,24~114,¡º,19,46,2,0.377,12,88
2017-09,38,27~54,”≈,9,24,2,0.337,12,75
2017-10,35,29~43,”≈,11,22,2,0.335,13,70
2017-11,31,24~46,”≈,14,25,4,0.413,13,56
2017-12,42,25~69,”≈,28,38,5,0.626,23,47
2018-01,38,26~67,”≈,23,32,6,0.587,18,58
2018-02,46,35~69,”≈,29,40,6,0.582,19,73
2018-03,50,44~67,¡º,17,30,5,0.448,15,96
2018-04,60,46~109,¡º,13,40,3,0.338,9,101
