‘¬∑›,AQI,∑∂Œß,÷ ¡øµ»º∂,PM2.5,PM10,SO2,CO,NO2,O3
2013-12,112,37~182,«·∂»Œ€»æ,78,154,95,4.323,59,27
2014-01,91,38~302,¡º,61,123,98,4.039,60,31
2014-02,85,22~229,¡º,60,97,76,3.457,51,35
2014-03,94,28~199,¡º,45,139,75,2.51,47,49
2014-04,96,53~230,¡º,40,141,32,2.143,44,63
2014-05,91,40~165,¡º,37,133,25,1.49,39,68
2014-06,72,28~110,¡º,26,86,23,1.173,33,101
2014-07,80,49~131,¡º,32,100,18,0.745,39,122
2014-08,72,48~104,¡º,25,88,19,0.842,39,107
2014-09,70,34~109,¡º,29,89,19,0.827,40,85
2014-10,96,33~160,¡º,51,142,34,1.394,51,62
2014-11,87,32~139,¡º,51,121,58,1.897,50,43
2014-12,105,45~257,«·∂»Œ€»æ,71,131,81,2.371,43,39
2015-01,87,34~170,¡º,59,119,97,2.619,54,34
2015-02,93,32~247,¡º,51,123,71,1.882,41,51
2015-03,86,33~151,¡º,38,123,49,1.419,38,70
2015-04,74,33~251,¡º,27,96,22,0.853,34,81
2015-05,74,43~105,¡º,25,98,14,0.655,26,100
2015-06,71,41~138,¡º,21,72,11,0.657,27,113
2015-07,89,45~135,¡º,27,83,14,0.771,31,145
2015-08,79,47~120,¡º,21,76,12,0.629,33,131
2015-09,64,35~101,¡º,27,71,12,0.667,34,102
2015-10,78,33~147,¡º,39,103,23,0.877,42,80
2015-11,104,37~305,«·∂»Œ€»æ,76,124,35,1.78,44,43
2015-12,136,28~263,«·∂»Œ€»æ,102,158,53,2.561,59,32
2016-01,87,35~190,¡º,60,103,50,1.865,43,49
2016-02,75,37~232,¡º,47,86,43,1.403,33,68
2016-03,98,41~419,¡º,49,132,35,1.239,41,86
2016-04,79,41~124,¡º,28,107,19,0.887,35,106
2016-05,96,45~258,¡º,33,119,15,0.739,33,129
2016-06,77,43~144,¡º,24,59,14,0.803,32,131
2016-07,87,35~143,¡º,24,58,8,0.752,32,142
2016-08,73,40~117,¡º,18,50,8,0.729,31,124
2016-09,61,38~108,¡º,24,60,11,0.767,45,93
2016-10,71,35~101,¡º,37,89,20,1.023,52,73
2016-11,112,35~192,«·∂»Œ€»æ,73,152,53,1.877,61,48
2016-12,93,37~169,¡º,65,107,64,2.277,61,48
2017-01,105,43~437,«·∂»Œ€»æ,70,117,66,2.474,58,55
2017-02,92,44~180,¡º,63,95,54,1.954,51,77
2017-03,71,43~147,¡º,41,76,42,1.31,44,95
2017-04,75,45~141,¡º,29,91,22,0.913,42,112
2017-05,108,55~500,«·∂»Œ€»æ,40,158,14,0.687,40,130
2017-06,99,49~190,¡º,27,83,14,0.723,38,151
2017-07,105,50~167,«·∂»Œ€»æ,28,81,13,0.797,38,163
2017-08,79,38~122,¡º,25,63,12,0.829,34,132
2017-09,76,47~144,¡º,29,87,16,0.883,45,119
2017-10,86,28~159,¡º,57,102,20,1.145,49,74
2017-11,95,32~200,¡º,57,124,34,1.587,54,55
2017-12,88,34~165,¡º,58,116,41,1.819,54,43
2018-01,76,35~152,¡º,41,93,35,1.523,48,56
2018-02,81,40~247,¡º,43,98,34,1.364,40,76
2018-03,122,50~500,«·∂»Œ€»æ,59,183,27,1.365,49,94
2018-04,132,52~500,«·∂»Œ€»æ,41,197,17,0.988,31,86
