月份,AQI,范围,质量等级,PM2.5,PM10,SO2,CO,NO2,O3
2014-12,115,115~115,轻度污染,57,179,41,1.5,20,49
2015-01,155,120~322,中度污染,71,251,59,1.9,23,39
2015-02,188,106~342,中度污染,78,284,275,4.148,21,57
2015-03,325,127~476,严重污染,97,422,77,3.27,28,83
2015-04,247,115~500,重度污染,103,339,54,1.191,27,93
2015-05,230,65~500,重度污染,108,410,41,0.706,21,104
2015-06,242,62~500,重度污染,101,441,34,0.597,18,116
2015-07,247,68~500,重度污染,126,421,49,0.506,25,106
2015-08,261,66~500,重度污染,120,441,35,0.726,21,76
2015-09,117,58~500,轻度污染,57,165,30,0.727,24,91
2015-10,141,79~400,轻度污染,72,216,33,0.868,30,81
2015-11,118,68~280,轻度污染,81,178,87,1.747,48,67
2015-12,90,35~132,良,64,104,71,1.558,36,54
2016-01,156,73~500,中度污染,92,217,83,1.629,35,50
2016-02,228,99~500,重度污染,152,273,58,1.772,28,53
2016-03,292,67~500,重度污染,177,433,49,0.907,29,69
2016-04,220,61~500,重度污染,142,310,31,0.933,20,94
2016-05,322,78~500,严重污染,215,620,28,0.939,20,100
2016-06,191,74~496,中度污染,88,278,28,0.887,18,113
2016-07,226,74~500,重度污染,103,338,34,0.974,21,115
2016-08,91,41~343,良,37,120,19,0.758,18,102
2016-09,84,45~265,良,34,110,14,0.987,19,106
2016-10,187,56~500,中度污染,87,279,43,1.587,27,87
2016-11,183,69~500,中度污染,82,279,90,2.28,33,68
2016-12,109,76~160,轻度污染,72,166,82,2.552,47,64
2017-01,83,51~149,良,59,99,45,1.426,37,55
2017-02,159,76~500,中度污染,56,232,43,1.618,33,66
2017-03,205,72~500,重度污染,82,320,38,1.248,28,83
2017-04,290,85~500,重度污染,169,616,31,0.667,17,90
2017-05,245,117~500,重度污染,111,383,33,0.745,21,95
2017-06,225,69~500,重度污染,97,345,27,0.723,17,119
2017-07,215,55~500,重度污染,96,340,31,0.632,17,107
2017-08,209,76~500,重度污染,90,330,36,0.597,17,101
2017-09,183,79~500,中度污染,75,271,34,0.827,20,105
2017-10,243,101~500,重度污染,108,417,27,1.435,26,95
2017-11,127,91~166,轻度污染,68,203,48,2.967,44,92
2017-12,137,65~500,轻度污染,88,193,37,2.823,40,81
2018-01,245,140~500,重度污染,89,369,26,2.648,33,70
2018-02,162,93~398,中度污染,71,257,27,2.793,33,74
2018-03,334,98~500,严重污染,185,785,22,2.068,20,83
2018-04,412,139~500,严重污染,704,2027,35,1.813,18,78
