‘¬∑›,AQI,∑∂Œß,÷ ¡øµ»º∂,PM2.5,PM10,SO2,CO,NO2,O3
2014-12,117,117~117,«·∂»Œ€»æ,56,185,29,1.2,30,72
2015-01,125,40~230,«·∂»Œ€»æ,94,149,21,1.952,41,55
2015-02,108,31~219,«·∂»Œ€»æ,81,121,18,1.511,27,67
2015-03,71,35~144,¡º,50,85,13,1.048,22,74
2015-04,73,44~111,¡º,44,78,13,0.903,17,119
2015-05,91,44~152,¡º,60,97,15,1.103,14,124
2015-06,61,40~86,¡º,34,66,9,1.02,11,94
2015-07,67,35~121,¡º,34,63,13,0.997,12,111
2015-08,88,34~154,¡º,42,67,14,1.31,15,139
2015-09,99,42~137,¡º,47,70,12,1.357,18,157
2015-10,96,41~161,¡º,54,85,15,1.277,21,142
2015-11,60,29~88,¡º,42,62,10,1.073,26,54
2015-12,107,53~209,«·∂»Œ€»æ,77,124,13,0.923,34,56
2016-01,106,64~183,«·∂»Œ€»æ,77,125,11,1.29,33,52
2016-02,88,57~193,¡º,59,112,12,0.831,18,97
2016-03,88,36~143,¡º,60,112,10,0.777,21,109
2016-04,70,30~130,¡º,36,67,7,0.79,18,110
2016-05,69,40~110,¡º,37,66,5,0.765,13,112
2016-06,66,33~116,¡º,31,53,6,0.737,11,113
2016-07,54,22~98,¡º,26,47,6,0.723,9,94
2016-08,81,33~136,¡º,35,61,9,0.884,12,133
2016-09,95,38~150,¡º,43,75,11,0.89,18,147
2016-10,57,26~98,¡º,38,52,8,1.113,24,62
2016-11,74,25~138,¡º,54,79,7,1.15,27,59
2016-12,102,60~139,«·∂»Œ€»æ,77,108,11,1.158,31,71
2017-01,118,45~238,«·∂»Œ€»æ,89,115,9,1.303,24,65
2017-02,92,62~203,¡º,67,89,11,1.046,19,89
2017-03,82,42~217,¡º,56,85,8,1.019,20,96
2017-04,81,34~132,¡º,40,69,8,1.007,16,123
2017-05,97,34~156,¡º,43,74,9,1.065,15,144
2017-06,68,33~112,¡º,35,44,6,1.343,10,116
2017-07,55,32~129,¡º,29,42,6,1.297,8,95
2017-08,54,28~95,¡º,28,35,5,1.158,9,95
2017-09,72,38~146,¡º,37,53,5,1.19,13,115
2017-10,56,28~108,¡º,32,49,6,1.258,17,87
2017-11,80,43~128,¡º,55,79,5,1.443,30,82
2017-12,88,55~148,¡º,65,91,6,1.339,39,66
2018-01,83,35~162,¡º,61,82,3,1.416,33,55
2018-02,81,38~148,¡º,58,87,3,1.264,25,84
2018-03,65,35~148,¡º,36,58,3,1.152,23,102
2018-04,86,53~116,¡º,40,96,3,0.85,19,121
