‘¬∑›,AQI,∑∂Œß,÷ ¡øµ»º∂,PM2.5,PM10,SO2,CO,NO2,O3
2014-12,90,90~90,¡º,45,129,8,1.2,20,31
2015-01,97,55~184,¡º,59,144,16,1.558,20,30
2015-02,115,46~275,«·∂»Œ€»æ,53,174,9,1.346,14,37
2015-03,105,61~303,«·∂»Œ€»æ,46,144,7,0.777,13,46
2015-04,114,42~398,«·∂»Œ€»æ,50,148,4,0.55,12,53
2015-05,67,37~123,¡º,26,85,9,0.594,8,58
2015-06,60,25~109,¡º,25,72,7,0.557,9,58
2015-07,60,36~97,¡º,21,72,5,0.726,9,60
2015-08,76,46~242,¡º,27,98,6,0.884,11,58
2015-09,65,36~100,¡º,19,81,6,0.857,13,50
2015-10,76,48~120,¡º,33,103,7,1,16,42
2015-11,79,43~114,¡º,50,103,9,1.427,19,30
2015-12,74,38~127,¡º,50,90,14,1.387,18,26
2016-01,74,42~118,¡º,46,95,11,1.455,18,30
2016-02,99,52~209,¡º,48,143,7,1.424,15,38
2016-03,108,55~235,«·∂»Œ€»æ,44,164,4,1.11,14,49
2016-04,71,46~177,¡º,28,93,3,0.767,11,58
2016-05,71,32~165,¡º,31,94,4,0.623,10,58
2016-06,76,34~500,¡º,30,94,3,0.727,8,61
2016-07,54,36~100,¡º,21,60,3,0.945,8,58
2016-08,65,36~109,¡º,27,80,3,1.171,15,49
2016-09,66,48~89,¡º,28,81,9,1.263,39,90
2016-10,71,45~109,¡º,30,91,9,1.506,37,92
2016-11,75,39~130,¡º,42,99,15,1.623,48,61
2016-12,77,61~119,¡º,53,98,22,1.839,50,41
2017-01,71,51~102,¡º,39,88,18,1.526,48,49
2017-02,71,38~124,¡º,28,91,13,1.646,41,66
2017-03,89,46~272,¡º,39,125,10,1.326,31,101
2017-04,78,44~152,¡º,27,94,11,1.103,30,113
2017-05,81,61~96,¡º,22,61,9,1.068,19,136
2017-06,81,52~156,¡º,27,74,6,0.683,18,130
2017-07,76,56~90,¡º,21,64,4,0.987,15,130
2017-08,71,51~87,¡º,19,62,5,0.939,16,122
2017-09,72,56~107,¡º,22,80,8,0.94,24,114
2017-10,74,44~114,¡º,31,95,9,1.455,31,98
2017-11,73,37~133,¡º,48,93,9,1.997,37,71
2017-12,82,43~119,¡º,59,89,12,2.587,37,55
2018-01,71,49~94,¡º,45,79,11,2.203,30,62
2018-02,61,45~85,¡º,28,71,9,1.939,25,81
2018-03,108,43~334,«·∂»Œ€»æ,22,150,11,1.455,31,108
2018-04,148,62~415,«·∂»Œ€»æ,29,189,8,1.2,20,118
