‘¬∑›,AQI,∑∂Œß,÷ ¡øµ»º∂,PM2.5,PM10,SO2,CO,NO2,O3
2013-12,171,63~365,÷–∂»Œ€»æ,135,203,141,3.027,74,28
2014-01,179,58~378,÷–∂»Œ€»æ,139,200,155,3.458,71,30
2014-02,184,52~487,÷–∂»Œ€»æ,147,200,141,3.418,67,48
2014-03,165,63~298,÷–∂»Œ€»æ,126,204,105,3.171,72,82
2014-04,134,82~215,«·∂»Œ€»æ,93,180,69,2.377,63,128
2014-05,125,55~223,«·∂»Œ€»æ,77,153,63,2.11,61,157
2014-06,113,61~198,«·∂»Œ€»æ,74,129,44,1.877,49,148
2014-07,132,70~265,«·∂»Œ€»æ,94,152,43,1.739,40,150
2014-08,93,52~218,¡º,63,112,36,1.561,40,127
2014-09,90,32~235,¡º,63,104,34,1.487,46,91
2014-10,141,49~281,«·∂»Œ€»æ,106,175,43,2.071,64,66
2014-11,155,60~434,÷–∂»Œ€»æ,118,191,66,2.407,83,44
2014-12,141,50~347,«·∂»Œ€»æ,106,164,82,2.855,73,39
2015-01,141,55~361,«·∂»Œ€»æ,106,171,85,2.774,75,41
2015-02,132,48~273,«·∂»Œ€»æ,95,163,63,2.1,65,64
2015-03,135,56~318,«·∂»Œ€»æ,94,186,62,2.242,65,93
2015-04,130,58~234,«·∂»Œ€»æ,92,164,46,1.88,60,128
2015-05,124,64~200,«·∂»Œ€»æ,84,144,37,1.452,51,155
2015-06,104,33~191,«·∂»Œ€»æ,70,114,36,1.863,52,139
2015-07,102,54~172,«·∂»Œ€»æ,69,108,39,2.161,48,148
2015-08,95,45~166,¡º,51,92,31,1.9,47,118
2015-09,82,37~130,¡º,40,80,38,1.873,55,107
2015-10,101,37~268,«·∂»Œ€»æ,70,123,38,1.755,61,79
2015-11,140,45~332,«·∂»Œ€»æ,104,152,48,2.457,70,35
2015-12,174,38~372,÷–∂»Œ€»æ,136,188,61,3.055,74,29
2016-01,109,38~392,«·∂»Œ€»æ,79,122,61,2.665,65,46
2016-02,87,39~220,¡º,59,95,44,1.862,48,73
2016-03,125,44~316,«·∂»Œ€»æ,85,164,55,2.065,69,91
2016-04,108,42~226,«·∂»Œ€»æ,61,152,49,2.003,57,118
2016-05,105,58~203,«·∂»Œ€»æ,50,113,37,1.558,50,153
2016-06,127,54~201,«·∂»Œ€»æ,70,119,39,1.957,49,173
2016-07,88,53~131,¡º,55,91,28,2.081,39,126
2016-08,71,34~130,¡º,34,59,30,2.077,44,101
2016-09,100,35~156,¡º,64,107,39,1.973,57,132
2016-10,103,44~234,«·∂»Œ€»æ,73,122,43,2.119,64,67
2016-11,143,47~319,«·∂»Œ€»æ,108,176,56,2.84,72,32
2016-12,189,63~488,÷–∂»Œ€»æ,147,215,68,4.039,84,28
2017-01,154,52~348,÷–∂»Œ€»æ,119,162,55,3.235,72,41
2017-02,130,44~348,«·∂»Œ€»æ,96,144,54,2.5,67,69
2017-03,100,44~195,¡º,70,120,47,1.868,66,92
2017-04,105,60~204,«·∂»Œ€»æ,66,141,44,1.533,60,109
2017-05,137,64~500,«·∂»Œ€»æ,58,168,41,1.713,55,149
2017-06,130,55~207,«·∂»Œ€»æ,49,98,40,1.857,52,188
2017-07,110,55~202,«·∂»Œ€»æ,46,89,32,1.974,47,155
2017-08,92,52~186,¡º,36,73,31,1.794,47,136
2017-09,110,53~169,«·∂»Œ€»æ,54,113,34,1.707,55,155
2017-10,102,52~272,«·∂»Œ€»æ,70,123,29,1.871,62,66
2017-11,93,50~202,¡º,62,118,33,1.59,59,47
2017-12,105,43~286,«·∂»Œ€»æ,75,126,38,1.952,63,43
2018-01,86,35~168,¡º,57,104,37,1.794,60,48
2018-02,101,44~193,«·∂»Œ€»æ,71,116,39,2.032,53,72
2018-03,138,55~395,«·∂»Œ€»æ,95,171,39,2.1,69,95
2018-04,111,55~220,«·∂»Œ€»æ,70,139,35,1.7,51,109
