‘¬∑›,AQI,∑∂Œß,÷ ¡øµ»º∂,PM2.5,PM10,SO2,CO,NO2,O3
2013-05,65,42~82,¡º,0,81,11,0,18,0
2013-06,73,32~102,¡º,0,96,12,0,24,0
2013-07,56,28~99,¡º,0,65,6,0,19,0
2013-08,49,27~65,”≈,0,53,15,0,18,0
2013-09,67,47~107,¡º,0,80,14,0,28,0
2013-10,97,37~134,¡º,0,143,38,0,38,0
2013-11,84,55~140,¡º,0,115,48,0,51,0
2013-12,202,72~395,÷ÿ∂»Œ€»æ,137,201,89,1.142,68,45
2014-01,146,71~310,«·∂»Œ€»æ,110,164,45,1.013,58,55
2014-02,113,56~252,«·∂»Œ€»æ,83,116,35,0.593,34,72
2014-03,112,74~269,«·∂»Œ€»æ,77,143,38,0.577,27,108
2014-04,106,59~188,«·∂»Œ€»æ,70,132,40,0.747,28,125
2014-05,120,75~199,«·∂»Œ€»æ,73,112,25,0.523,25,159
2014-06,109,65~238,«·∂»Œ€»æ,64,80,19,0.707,17,130
2014-07,71,41~105,¡º,40,82,14,0.581,19,108
2014-08,73,49~104,¡º,48,92,18,0.69,23,100
2014-09,93,26~246,¡º,62,101,12,0.817,24,91
2014-10,119,49~225,«·∂»Œ€»æ,84,120,22,0.868,47,111
2014-11,132,60~352,«·∂»Œ€»æ,100,147,30,1.333,57,55
2014-12,108,62~186,«·∂»Œ€»æ,77,124,52,1.074,56,44
2015-01,139,65~278,«·∂»Œ€»æ,105,149,50,1.016,49,44
2015-02,114,52~207,«·∂»Œ€»æ,85,124,42,1.011,35,79
2015-03,108,54~168,«·∂»Œ€»æ,77,129,24,0.81,31,86
2015-04,106,55~193,«·∂»Œ€»æ,75,122,20,0.71,27,119
2015-05,125,69~186,«·∂»Œ€»æ,86,135,25,0.732,27,145
2015-06,96,40~153,¡º,61,108,17,0.657,26,136
2015-07,78,33~114,¡º,51,71,14,0.577,20,118
2015-08,75,49~119,¡º,43,70,15,0.616,19,122
2015-09,77,42~137,¡º,45,80,21,0.667,28,119
2015-10,88,53~149,¡º,57,108,33,0.852,51,96
2015-11,106,38~288,«·∂»Œ€»æ,79,117,23,0.823,38,50
2015-12,180,80~500,÷–∂»Œ€»æ,142,210,59,1.513,58,45
2016-01,175,68~388,÷–∂»Œ€»æ,135,200,46,1.303,50,51
2016-02,148,42~288,«·∂»Œ€»æ,110,174,41,1.128,33,83
2016-03,131,65~240,«·∂»Œ€»æ,94,179,34,0.942,36,113
2016-04,122,68~216,«·∂»Œ€»æ,85,165,35,0.86,33,124
2016-05,109,77~195,«·∂»Œ€»æ,68,127,28,0.665,20,142
2016-06,98,58~147,¡º,54,98,17,0.673,22,146
2016-07,80,42~144,¡º,53,79,11,0.658,16,107
2016-08,78,49~122,¡º,43,72,12,0.745,19,119
2016-09,90,53~128,¡º,38,71,16,0.717,31,140
2016-10,68,49~112,¡º,41,76,12,0.665,35,70
2016-11,102,52~236,«·∂»Œ€»æ,74,126,18,0.893,41,59
2016-12,155,59~416,÷–∂»Œ€»æ,120,173,22,1.352,50,52
2017-01,137,60~231,«·∂»Œ€»æ,102,163,17,1.261,41,54
2017-02,119,60~206,«·∂»Œ€»æ,86,148,19,0.921,36,85
2017-03,93,62~147,¡º,63,123,20,0.745,40,102
2017-04,98,72~155,¡º,61,123,14,0.827,29,121
2017-05,129,60~447,«·∂»Œ€»æ,54,143,11,0.603,27,153
2017-06,117,48~179,«·∂»Œ€»æ,51,101,9,0.64,25,174
2017-07,82,42~163,¡º,43,77,6,0.687,16,117
2017-08,78,35~120,¡º,35,72,6,0.694,21,130
2017-09,85,45~142,¡º,39,80,8,0.73,31,134
2017-10,77,31~122,¡º,50,101,9,0.871,47,90
2017-11,105,56~172,«·∂»Œ€»æ,73,140,16,0.89,55,70
2017-12,134,69~298,«·∂»Œ€»æ,101,148,16,1.2,58,62
2018-01,150,58~339,÷–∂»Œ€»æ,114,166,13,1.381,48,56
2018-02,127,77~276,«·∂»Œ€»æ,91,151,13,1.061,36,80
2018-03,93,54~153,¡º,64,98,11,0.952,37,113
2018-04,95,49~161,¡º,51,129,12,0.9,31,110
