‘¬∑›,AQI,∑∂Œß,÷ ¡øµ»º∂,PM2.5,PM10,SO2,CO,NO2,O3
2014-12,63,63~63,¡º,23,75,7,2.2,18,75
2015-01,100,48~218,¡º,69,111,26,1.977,34,66
2015-02,88,57~145,¡º,61,103,22,1.254,26,92
2015-03,79,34~177,¡º,53,90,19,1.674,25,91
2015-04,75,35~164,¡º,35,83,23,2.24,22,108
2015-05,73,51~104,¡º,34,68,20,1.855,23,122
2015-06,70,34~140,¡º,33,62,17,1.107,22,115
2015-07,76,52~116,¡º,35,60,23,0.823,19,128
2015-08,69,41~135,¡º,27,50,19,1.213,17,117
2015-09,66,45~88,¡º,36,54,23,2.063,22,109
2015-10,73,42~142,¡º,38,64,19,2.526,29,91
2015-11,53,34~89,¡º,29,46,23,1.48,32,48
2015-12,114,52~219,«·∂»Œ€»æ,76,129,25,1.8,40,64
2016-01,99,45~192,¡º,68,108,23,2.487,38,76
2016-02,90,58~195,¡º,48,105,21,2.814,23,96
2016-03,99,53~219,¡º,55,120,27,1.061,34,116
2016-04,77,33~103,¡º,35,70,19,1.08,25,126
2016-05,81,39~126,¡º,31,59,15,0.81,19,130
2016-06,76,48~106,¡º,24,44,19,0.627,19,131
2016-07,64,38~96,¡º,21,37,18,0.658,16,115
2016-08,62,28~102,¡º,22,44,23,0.865,17,112
2016-09,69,39~118,¡º,31,52,14,0.79,25,114
2016-10,49,25~107,”≈,23,46,17,0.784,24,64
2016-11,78,30~155,¡º,47,97,18,0.84,33,55
2016-12,87,51~165,¡º,61,94,21,1.139,39,63
2017-01,90,49~190,¡º,61,98,19,1.103,32,71
2017-02,74,40~129,¡º,49,79,20,1.079,31,87
2017-03,63,38~114,¡º,35,69,13,0.703,28,99
2017-04,69,33~212,¡º,31,72,14,0.777,27,106
2017-05,85,55~314,¡º,35,77,15,0.661,24,121
2017-06,76,40~105,¡º,29,49,18,0.803,23,129
2017-07,57,30~100,¡º,23,41,18,0.716,21,103
2017-08,59,29~90,¡º,25,44,11,0.794,22,103
2017-09,50,25~72,”≈,25,44,14,0.737,24,82
2017-10,43,20~69,”≈,23,42,16,0.739,26,58
2017-11,63,50~97,¡º,39,73,12,0.793,38,68
2017-12,83,54~278,¡º,51,102,18,0.861,40,66
2018-01,79,43~172,¡º,54,82,16,0.923,37,68
2018-02,75,44~176,¡º,47,83,13,0.861,25,93
2018-03,64,38~89,¡º,35,69,24,0.697,30,105
2018-04,81,57~110,¡º,38,107,24,0.575,26,113
