月份,AQI,范围,质量等级,PM2.5,PM10,SO2,CO,NO2,O3
2014-12,222,222~222,重度污染,172,296,94,3,61,53
2015-01,173,86~286,中度污染,131,247,47,2.877,46,58
2015-02,164,87~328,中度污染,109,234,30,1.993,34,69
2015-03,265,95~496,重度污染,120,375,17,1.3,30,91
2015-04,187,51~500,中度污染,97,424,17,0.767,27,98
2015-05,154,59~500,中度污染,117,364,18,0.545,18,98
2015-06,135,52~402,轻度污染,55,194,15,0.46,16,118
2015-07,188,70~500,中度污染,96,276,12,0.577,30,121
2015-08,165,50~500,中度污染,84,250,11,0.571,22,98
2015-09,131,56~500,轻度污染,57,189,13,0.657,24,87
2015-10,245,87~500,重度污染,140,359,15,1.2,41,65
2015-11,214,122~282,重度污染,165,259,14,2.443,53,47
2015-12,223,95~308,重度污染,177,204,18,2.868,52,44
2016-01,211,156~293,重度污染,160,244,20,2.81,48,44
2016-02,320,120~500,严重污染,206,513,15,2.572,38,61
2016-03,330,88~500,严重污染,511,1457,16,2.019,37,71
2016-04,266,61~500,重度污染,165,597,13,1.407,23,99
2016-05,261,73~500,重度污染,226,793,14,0.477,21,109
2016-06,143,75~500,轻度污染,63,212,13,0.47,22,122
2016-07,124,65~365,轻度污染,46,178,14,0.477,22,131
2016-08,97,51~199,良,38,139,10,0.645,27,116
2016-09,102,59~189,轻度污染,46,153,9,0.73,35,100
2016-10,216,90~500,重度污染,106,331,13,1.29,49,77
2016-11,198,103~451,中度污染,130,277,17,2.317,55,58
2016-12,239,133~332,重度污染,189,301,14,3.345,59,37
2017-01,173,67~279,中度污染,133,183,11,2.419,52,51
2017-02,227,70~500,重度污染,152,425,10,1.943,41,50
2017-03,211,63~500,重度污染,171,367,8,0.877,35,67
2017-04,177,46~500,中度污染,97,294,9,0.817,44,83
2017-05,181,54~500,中度污染,115,314,11,0.771,62,96
2017-06,118,68~328,轻度污染,41,145,13,0.557,28,136
2017-07,109,60~500,轻度污染,36,140,11,0.484,15,146
2017-08,114,55~399,轻度污染,40,149,10,0.429,18,141
2017-09,148,72~500,轻度污染,71,244,10,0.573,24,131
2017-10,199,61~500,中度污染,113,280,10,0.845,27,102
2017-11,150,93~249,中度污染,110,236,17,2.067,46,96
2017-12,171,67~409,中度污染,122,227,17,2.616,45,76
2018-01,217,101~430,重度污染,126,331,11,2.565,40,73
2018-02,175,87~315,中度污染,102,283,10,2.036,27,95
2018-03,305,93~500,严重污染,183,727,8,1.239,24,114
2018-04,410,126~500,严重污染,457,2221,7,0.8,22,100
