‘¬∑›,AQI,∑∂Œß,÷ ¡øµ»º∂,PM2.5,PM10,SO2,CO,NO2,O3
2014-12,56,56~56,¡º,31,63,56,1,17,39
2015-01,109,52~212,«·∂»Œ€»æ,81,120,61,1.442,50,44
2015-02,104,42~246,«·∂»Œ€»æ,72,114,49,1.375,39,72
2015-03,89,45~188,¡º,57,115,35,1.155,34,95
2015-04,96,46~143,¡º,57,116,16,1.033,29,119
2015-05,94,41~197,¡º,36,109,14,0.777,26,130
2015-06,80,47~125,¡º,36,74,8,0.803,38,131
2015-07,84,32~128,¡º,38,88,9,0.694,26,137
2015-08,70,28~146,¡º,30,51,10,0.603,19,119
2015-09,64,35~118,¡º,33,62,11,0.793,32,100
2015-10,110,27~301,«·∂»Œ€»æ,79,100,18,0.974,35,73
2015-11,151,59~500,÷–∂»Œ€»æ,124,138,36,1.777,49,44
2015-12,129,49~323,«·∂»Œ€»æ,100,117,56,1.303,50,31
2016-01,90,48~189,¡º,66,86,50,1.081,41,42
2016-02,69,34~133,¡º,45,66,37,0.797,32,64
2016-03,96,33~209,¡º,61,120,28,1.126,34,76
2016-04,76,46~178,¡º,39,98,12,0.827,28,95
2016-05,76,45~131,¡º,36,73,11,0.652,24,124
2016-06,77,35~150,¡º,32,59,10,0.79,25,130
2016-07,69,24~115,¡º,32,53,11,0.823,23,116
2016-08,55,13~87,¡º,27,51,7,0.787,25,97
2016-09,53,23~83,¡º,29,51,9,0.843,28,86
2016-10,69,28~147,¡º,46,74,12,0.939,37,65
2016-11,84,35~259,¡º,61,85,26,1.003,35,54
2016-12,97,38~190,¡º,70,103,47,1.261,44,47
2017-01,99,36~265,¡º,70,106,52,1.381,39,56
2017-02,74,43~165,¡º,50,78,42,1.225,32,68
2017-03,92,33~198,¡º,65,113,39,1.232,38,88
2017-04,79,39~162,¡º,43,99,19,1.127,28,96
2017-05,93,36~500,¡º,32,108,13,0.639,23,118
2017-06,80,42~153,¡º,30,60,15,0.67,30,129
2017-07,86,45~140,¡º,33,61,9,0.703,22,141
2017-08,56,29~102,¡º,23,45,9,0.597,19,98
2017-09,60,34~97,¡º,27,52,18,0.727,36,100
2017-10,86,43~189,¡º,58,95,27,1.177,49,84
2017-11,88,41~169,¡º,60,97,25,1.03,37,58
2017-12,94,46~247,¡º,69,102,42,1.406,48,44
2018-01,88,50~169,¡º,63,86,40,1.177,49,56
2018-02,81,44~153,¡º,55,87,31,1.143,33,72
2018-03,95,45~196,¡º,67,106,24,1.023,33,106
2018-04,94,54~152,¡º,66,115,15,0.763,26,111
