‘¬∑›,AQI,∑∂Œß,÷ ¡øµ»º∂,PM2.5,PM10,SO2,CO,NO2,O3
2014-12,123,123~123,«·∂»Œ€»æ,82,196,73,1.4,51,47
2015-01,78,54~144,¡º,51,94,31,1.223,29,49
2015-02,94,48~206,¡º,59,108,21,1.186,19,53
2015-03,84,35~155,¡º,53,108,18,1.068,22,60
2015-04,98,43~445,¡º,50,129,9,0.653,21,73
2015-05,72,38~143,¡º,36,94,8,0.584,21,83
2015-06,67,34~140,¡º,28,82,6,0.543,17,89
2015-07,78,52~137,¡º,28,71,7,0.51,19,127
2015-08,71,47~144,¡º,25,67,8,0.584,23,117
2015-09,55,29~94,¡º,21,55,5,0.457,19,90
2015-10,71,21~168,¡º,35,92,10,0.719,29,70
2015-11,64,25~91,¡º,37,76,15,1.03,27,46
2015-12,66,33~150,¡º,37,73,21,1.123,35,53
2016-01,76,34~125,¡º,47,94,26,1.106,32,50
2016-02,119,43~406,«·∂»Œ€»æ,47,168,15,0.883,22,58
2016-03,93,35~191,¡º,43,134,13,0.839,26,69
2016-04,76,52~153,¡º,28,101,10,0.58,25,67
2016-05,76,23~166,¡º,28,94,7,0.587,20,69
2016-06,78,58~121,¡º,20,64,6,0.49,25,130
2016-07,76,47~100,¡º,19,53,5,0.481,24,130
2016-08,61,39~102,¡º,24,48,6,0.694,19,109
2016-09,57,44~72,¡º,21,51,6,0.633,29,101
2016-10,61,29~149,¡º,30,70,6,0.732,24,76
2016-11,102,52~500,«·∂»Œ€»æ,49,147,18,1.4,36,65
2016-12,83,57~202,¡º,51,101,18,1.435,36,55
2017-01,89,36~500,¡º,45,111,17,1.171,29,49
2017-02,81,46~153,¡º,47,96,14,1.164,29,70
2017-03,74,45~146,¡º,36,88,10,0.977,28,94
2017-04,77,42~181,¡º,28,99,8,0.79,30,113
2017-05,109,65~482,«·∂»Œ€»æ,42,135,9,1.019,28,130
2017-06,85,57~120,¡º,23,68,9,0.7,25,141
2017-07,81,55~112,¡º,27,76,7,0.561,22,136
2017-08,61,31~91,¡º,22,54,6,0.706,24,107
2017-09,65,51~91,¡º,31,78,6,0.74,31,89
2017-10,54,23~90,¡º,24,64,7,0.835,27,63
2017-11,77,59~109,¡º,40,103,15,1.01,40,72
2017-12,96,42~500,¡º,49,119,16,1.161,37,78
2018-01,78,56~158,¡º,47,89,13,0.987,30,83
2018-02,87,53~500,¡º,41,111,12,0.871,24,99
2018-03,101,34~199,«·∂»Œ€»æ,48,143,9,0.787,30,119
2018-04,172,73~323,÷–∂»Œ€»æ,59,247,9,0.688,24,114
