‘¬∑›,AQI,∑∂Œß,÷ ¡øµ»º∂,PM2.5,PM10,SO2,CO,NO2,O3
2014-12,74,74~74,¡º,43,50,14,1.9,31,129
2015-01,66,47~88,¡º,33,46,21,2,31,118
2015-02,52,31~81,¡º,24,45,19,1.861,26,86
2015-03,43,27~75,”≈,20,31,17,1.181,14,81
2015-04,51,31~76,¡º,24,49,14,1.317,13,86
2015-05,47,36~67,”≈,16,31,13,0.968,12,92
2015-06,45,34~81,”≈,17,37,7,0.767,8,86
2015-07,49,30~94,”≈,19,45,11,1.187,8,88
2015-08,50,38~80,¡º,18,41,5,0.977,9,88
2015-09,46,29~67,”≈,16,32,6,0.843,13,88
2015-10,56,42~73,¡º,24,42,7,1.135,17,103
2015-11,52,41~70,¡º,25,40,6,1.1,19,93
2015-12,52,42~67,¡º,26,39,6,1.413,18,91
2016-01,53,35~120,¡º,27,53,7,1.197,18,82
2016-02,50,35~68,”≈,19,36,8,1.238,17,89
2016-03,50,31~93,¡º,15,30,8,1.345,13,91
2016-04,52,34~78,¡º,12,27,6,0.88,12,100
2016-05,59,42~92,¡º,16,38,5,0.758,10,108
2016-06,54,42~83,¡º,17,36,9,0.81,8,100
2016-07,47,32~63,”≈,18,30,10,1.145,8,92
2016-08,47,36~62,”≈,20,42,8,0.897,13,87
2016-09,56,32~84,¡º,20,53,7,0.95,11,97
2016-10,43,30~75,”≈,16,40,6,1.2,16,75
2016-11,58,41~88,¡º,22,45,7,1.467,17,102
2016-12,59,45~85,¡º,19,38,8,1.606,16,107
2017-01,65,48~79,¡º,27,50,7,1.726,17,115
2017-02,54,35~72,¡º,22,48,7,1.421,14,94
2017-03,47,34~70,”≈,17,45,10,1.045,10,80
2017-04,51,33~81,¡º,11,36,7,0.98,9,96
2017-05,56,38~90,¡º,11,33,6,0.81,8,103
2017-06,54,29~80,¡º,11,39,8,0.977,10,97
2017-07,57,40~82,¡º,12,45,7,1.065,11,106
2017-08,53,38~87,¡º,11,42,5,1.058,17,98
2017-09,57,27~85,¡º,12,42,4,0.93,23,99
2017-10,60,45~87,¡º,17,51,5,1.071,22,105
2017-11,48,23~90,”≈,21,47,5,1.09,20,71
2017-12,50,28~104,”≈,25,48,5,1.368,16,59
2018-01,51,34~70,¡º,28,47,6,1.458,18,80
2018-02,63,40~80,¡º,22,46,6,1.761,15,106
2018-03,53,38~75,¡º,12,30,4,1.194,27,98
2018-04,73,38~97,¡º,12,48,4,0.8,15,122
